DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;25.72;30.11;25.86;NA;18.75;9.58;17.08;30.53;4.14;NA;NA;NA;
1;1;29.12;28.59;26.94;NA;21.97;8.46;39.36;27.12;6.57;NA;NA;NA;
1;2;ND;21.99;8.59;NA;22;3.18;37.02;21.46;0;NA;NA;NA;
1;3;31.4;26.15;14.69;NA;2.26;3.01;37.4;21.01;4.2;NA;NA;NA;
1;4;31.24;29.78;22.47;NA;12.29;10.74;32.59;20.71;14.14;NA;NA;NA;
1;5;22.42;29.76;25.81;NA;22.08;15.74;23.74;15.27;0.02;NA;NA;NA;
1;6;20.66;19.75;11.88;NA;4.58;10.16;20.09;21.07;7.99;NA;NA;NA;
1;7;19.73;12.24;8.53;NA;4.8;6.36;30.98;21.41;6.8;NA;NA;NA;
1;8;26.11;21.83;14.09;NA;8.08;19.83;36.07;23.53;10.26;NA;NA;NA;
1;9;31.8;34.9;26.51;NA;22.97;27.53;44.61;30.28;9.44;NA;NA;NA;
1;10;47.69;50.37;43.73;NA;40.64;48.64;52.67;31.5;20.11;NA;NA;NA;
1;11;66.53;67.94;45.75;NA;38.62;52.68;65.57;43.36;36.86;NA;NA;NA;
1;12;75.07;62.17;61.28;NA;50.8;66.31;68.87;65.25;51.47;NA;NA;NA;
1;13;68.77;63.06;60.76;NA;63.85;73.15;74.15;78.86;39.5;NA;NA;NA;
1;14;63.57;61.14;62.85;NA;63.68;68.41;61.9;70.01;71.78;NA;NA;NA;
1;15;49.3;56.39;58.73;NA;53.06;65.76;68.62;60.3;66.03;NA;NA;NA;
1;16;43.21;46.49;47.46;NA;35.92;45.97;47.44;49.98;49.79;NA;NA;NA;
1;17;39.91;39.63;40;NA;30.62;37.29;37.84;41.76;50.02;NA;NA;NA;
1;18;35.44;28.91;34.8;NA;22.79;27.07;29.14;33.35;37.36;NA;NA;NA;
1;19;25.52;25.7;14.72;NA;10.5;10.58;22.98;29.01;20.22;NA;NA;NA;
