DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;1.05;ND;ND;2.8;ND;1.19;0.56;NA;ND;NA;NA;NA;
1;1;0.93;0.89;1.48;2.54;1.74;1.54;0.31;NA;ND;NA;NA;NA;
1;2;0.78;0.88;1.31;2.42;1.36;1.28;0.23;NA;ND;NA;NA;NA;
1;3;0.77;0.78;0.93;1.98;1.14;1.05;0.22;NA;ND;NA;NA;NA;
1;4;0.92;0.8;0.77;1.88;0.99;0.9;0.37;NA;ND;NA;NA;NA;
1;5;0.99;1.06;1;1.47;1.13;1.2;0.25;NA;ND;NA;NA;NA;
1;6;1.28;1.99;1.11;1.45;1.17;1.03;0.38;NA;ND;NA;NA;NA;
1;7;1.76;1.91;1.59;1.7;1.62;1.47;0.39;NA;ND;NA;NA;NA;
1;8;1.69;0.91;1.44;1.65;1.47;1.19;0.35;NA;ND;NA;NA;NA;
1;9;1.16;0.76;0.75;0.91;0.91;0.64;0.31;NA;ND;NA;NA;NA;
1;10;0.62;0.54;1.1;0.91;0.66;0.67;0.4;NA;ND;NA;NA;NA;
1;11;0.49;0.43;0.85;0.59;0.62;0.53;0.55;NA;ND;NA;NA;NA;
1;12;0.41;0.31;0.8;0.5;0.59;0.48;0.54;NA;ND;NA;NA;NA;
1;13;0.46;0.35;0.75;0.55;0.68;0.55;0.74;NA;ND;NA;NA;NA;
1;14;0.39;0.37;0.67;0.67;0.65;0.68;1.27;NA;ND;NA;NA;NA;
1;15;0.42;0.41;0.9;0.92;0.74;0.98;0.85;NA;ND;NA;NA;NA;
1;16;0.4;0.51;1.05;1.18;0.91;0.88;0.84;NA;ND;NA;NA;NA;
1;17;0.9;0.41;0.83;0.79;0.74;0.87;0.88;NA;ND;NA;NA;NA;
1;18;1.11;0.43;0.89;1.01;0.97;0.77;0.73;NA;ND;NA;NA;NA;
1;19;0.82;0.45;0.83;1.07;1.27;0.8;0.79;NA;ND;NA;NA;NA;
1;20;0.79;0.43;0.78;1.11;0.94;0.69;0.91;NA;ND;NA;NA;NA;
1;21;0.63;0.32;0.71;0.86;0.91;0.68;0.73;NA;ND;NA;NA;NA;
1;22;0.43;0.34;0.62;0.68;0.98;0.51;0.58;NA;ND;NA;NA;NA;
1;23;0.41;0.3;0.59;0.61;0.7;0.43;0.73;NA;ND;NA;NA;NA;
2;0;0.43;0.3;0.54;0.45;0.3;ND;ND;NA;ND;NA;NA;NA;
2;1;0.43;0.26;0.44;0.46;0.2;0.38;0.47;NA;ND;NA;NA;NA;
