DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;ND;ND;0.46;ND;0.59;0.45;0.24;NA;ND;NA;NA;NA;
1;1;0.43;0.12;0.48;ND;0.56;0.44;0.24;NA;ND;NA;NA;NA;
1;2;0.42;0.13;0.49;ND;0.55;0.53;0.24;NA;ND;NA;NA;NA;
1;3;0.37;0.28;0.47;ND;0.65;0.59;0.26;NA;ND;NA;NA;NA;
1;4;0.49;0.41;0.55;ND;0.6;0.6;0.25;NA;ND;NA;NA;NA;
1;5;0.63;0.98;0.62;ND;0.92;0.9;0.33;NA;ND;NA;NA;NA;
1;6;1.73;3.03;1.49;ND;1.47;1.67;0.39;NA;ND;NA;NA;NA;
1;7;1.99;1.59;1.32;ND;1.15;1.06;0.36;NA;ND;NA;NA;NA;
1;8;1.22;0.53;1.13;ND;0.79;0.9;0.31;NA;ND;NA;NA;NA;
1;9;0.67;0.36;0.82;ND;0.65;0.74;0.3;NA;ND;NA;NA;NA;
1;10;0.58;0.29;0.75;ND;0.66;0.58;0.32;NA;ND;NA;NA;NA;
1;11;0.44;0.24;0.81;ND;0.67;0.61;0.33;NA;ND;NA;NA;NA;
1;12;0.45;0.24;0.75;ND;0.68;0.55;0.37;NA;ND;NA;NA;NA;
1;13;0.48;0.24;0.85;ND;0.67;0.54;0.37;NA;ND;NA;NA;NA;
1;14;0.47;0.29;0.82;ND;0.89;0.61;0.45;NA;ND;NA;NA;NA;
1;15;0.53;0.3;0.7;ND;0.97;0.67;0.6;NA;ND;NA;NA;NA;
1;16;0.5;0.32;0.61;ND;1.11;0.69;0.76;NA;ND;NA;NA;NA;
1;17;0.54;0.32;0.86;ND;1.08;1.05;0.83;NA;ND;NA;NA;NA;
1;18;0.66;0.48;1.36;ND;1.13;1.39;0.84;NA;ND;NA;NA;NA;
1;19;0.74;0.52;1.33;ND;1.37;1.24;0.69;NA;ND;NA;NA;NA;
1;20;0.88;0.42;1.26;ND;1.21;1.29;0.62;NA;ND;NA;NA;NA;
1;21;0.8;0.51;1.24;ND;0.96;0.96;0.62;NA;ND;NA;NA;NA;
1;22;0.71;0.45;1.13;ND;1.11;1.02;0.63;NA;ND;NA;NA;NA;
1;23;0.64;0.26;0.88;ND;0.96;0.88;0.74;NA;ND;NA;NA;NA;
2;0;0.51;0.23;ND;ND;ND;ND;ND;NA;ND;NA;NA;NA;
2;1;0.46;0.21;0.78;ND;0.75;0.69;0.44;NA;ND;NA;NA;NA;
2;2;0.55;0.27;0.74;ND;0.64;0.65;0.46;NA;ND;NA;NA;NA;
2;3;0.65;0.37;0.68;ND;0.67;0.61;0.35;NA;ND;NA;NA;NA;
2;4;0.67;0.36;0.75;ND;0.81;0.7;0.39;NA;ND;NA;NA;NA;
2;5;0.83;0.43;0.76;ND;1.2;0.79;0.3;NA;ND;NA;NA;NA;
2;6;1.35;1.2;1.25;ND;1.55;1.21;0.59;NA;ND;NA;NA;NA;
2;7;1.2;1.55;1.58;ND;2.31;2.43;0.55;NA;ND;NA;NA;NA;
2;8;1.32;0.55;2.13;ND;1.16;2.04;0.41;NA;ND;NA;NA;NA;
2;9;0.87;0.39;ND;ND;0.89;0.88;0.38;NA;ND;NA;NA;NA;
2;10;0.58;0.33;ND;ND;ND;0.66;0.35;NA;ND;NA;NA;NA;
2;11;0.5;0.31;0.63;ND;ND;0.61;0.38;NA;ND;NA;NA;NA;
2;12;0.5;0.29;0.63;ND;0.61;0.55;0.37;NA;ND;NA;NA;NA;
2;13;0.49;0.32;0.68;ND;0.57;0.55;0.41;NA;ND;NA;NA;NA;
2;14;0.52;0.35;0.55;ND;0.61;0.57;0.4;NA;ND;NA;NA;NA;
2;15;0.54;0.36;0.7;ND;0.92;0.75;0.41;NA;ND;NA;NA;NA;
2;16;0.58;0.46;0.49;ND;1.12;0.84;0.55;NA;ND;NA;NA;NA;
2;17;0.65;0.43;1;ND;1.45;1.08;0.82;NA;ND;NA;NA;NA;
2;18;0.74;0.48;1.3;ND;1.25;1.39;1.03;NA;ND;NA;NA;NA;
2;19;1.07;0.53;1.23;ND;1.24;1.9;1;NA;ND;NA;NA;NA;
2;20;1.15;0.62;1.42;ND;1.17;1.09;1.17;NA;ND;NA;NA;NA;
2;21;1.09;0.9;1.33;ND;1.37;1.58;1.35;NA;ND;NA;NA;NA;
2;22;0.94;1.01;0.97;ND;1.83;1.8;0.53;NA;ND;NA;NA;NA;
2;23;1.11;1.04;0.92;ND;1.04;1.09;0.37;NA;ND;NA;NA;NA;
3;0;ND;ND;0.4;ND;ND;0.76;0.31;NA;ND;NA;NA;NA;
3;1;0.92;0.58;0.32;ND;0.75;0.57;0.32;NA;ND;NA;NA;NA;
3;2;0.9;0.72;0.28;ND;0.56;0.49;0.29;NA;ND;NA;NA;NA;
3;3;0.79;0.87;0.27;ND;0.61;0.49;0.29;NA;ND;NA;NA;NA;
3;4;0.68;0.54;0.25;ND;0.44;0.51;0.3;NA;ND;NA;NA;NA;
3;5;0.75;0.56;0.26;ND;0.59;0.59;0.41;NA;ND;NA;NA;NA;
3;6;0.82;0.84;0.34;ND;0.76;0.78;0.47;NA;ND;NA;NA;NA;
3;7;0.59;0.64;0.46;ND;0.64;0.86;0.63;NA;ND;NA;NA;NA;
3;8;0.64;0.45;0.59;ND;0.74;0.79;0.51;NA;ND;NA;NA;NA;
3;9;0.6;0.39;0.63;ND;0.64;0.8;0.48;NA;ND;NA;NA;NA;
3;10;0.57;0.28;0.55;ND;0.67;0.69;0.69;NA;ND;NA;NA;NA;
3;11;0.54;0.26;0.56;ND;0.61;0.79;0.82;NA;ND;NA;NA;NA;
3;12;0.57;0.3;0.54;ND;0.72;0.7;0.43;NA;ND;NA;NA;NA;
3;13;0.55;0.47;0.53;ND;0.72;0.61;0.49;NA;ND;NA;NA;NA;
3;14;0.52;0.36;0.39;ND;0.97;0.75;0.59;NA;ND;NA;NA;NA;
3;15;0.53;0.33;0.69;ND;1.26;0.88;0.5;NA;ND;NA;NA;NA;
3;16;0.54;0.32;0.59;ND;1.23;0.81;0.53;NA;ND;NA;NA;NA;
3;17;0.63;0.42;0.83;ND;1.04;0.9;0.66;NA;ND;NA;NA;NA;
3;18;0.75;0.52;1.07;ND;1.28;1.08;0.7;NA;ND;NA;NA;NA;
3;19;1.01;0.51;1.08;ND;1.25;1.21;0.68;NA;ND;NA;NA;NA;
3;20;0.73;0.51;0.81;ND;1.19;1.12;0.74;NA;ND;NA;NA;NA;
3;21;0.74;0.51;0.93;ND;1.04;1.33;0.63;NA;ND;NA;NA;NA;
3;22;0.75;0.57;1.22;ND;0.74;1.11;0.47;NA;ND;NA;NA;NA;
3;23;0.67;0.85;0.6;ND;0.57;0.84;0.37;NA;ND;NA;NA;NA;
4;0;0.65;1.17;ND;ND;0.54;ND;ND;NA;ND;NA;NA;NA;
4;1;0.77;1.16;0.34;ND;0.56;0.58;0.35;NA;ND;NA;NA;NA;
4;2;0.76;0.99;0.31;ND;0.56;0.54;0.34;NA;ND;NA;NA;NA;
4;3;0.78;0.87;0.29;ND;0.58;0.53;0.33;NA;ND;NA;NA;NA;
4;4;0.84;0.77;0.26;ND;0.65;0.53;0.31;NA;ND;NA;NA;NA;
4;5;0.69;0.82;0.27;ND;0.63;0.61;0.32;NA;ND;NA;NA;NA;
4;6;0.73;0.99;0.3;ND;0.56;0.64;0.43;NA;ND;NA;NA;NA;
4;7;0.67;0.39;0.43;ND;0.55;0.71;0.44;NA;ND;NA;NA;NA;
4;8;0.57;0.38;0.56;ND;0.62;0.6;0.48;NA;ND;NA;NA;NA;
4;9;0.54;0.24;0.37;ND;0.58;0.51;0.47;NA;ND;NA;NA;NA;
4;10;0.52;0.26;0.6;ND;0.58;0.53;0.49;NA;ND;NA;NA;NA;
4;11;0.53;0.23;0.52;ND;0.62;0.53;0.45;NA;ND;NA;NA;NA;
4;12;0.51;0.28;0.45;ND;0.64;0.5;0.4;NA;ND;NA;NA;NA;
4;13;0.49;0.26;0.53;ND;0.71;0.5;0.49;NA;ND;NA;NA;NA;
4;14;0.54;0.34;0.51;ND;0.67;0.51;0.45;NA;ND;NA;NA;NA;
4;15;0.55;0.29;0.55;ND;0.86;0.54;0.53;NA;ND;NA;NA;NA;
4;16;0.54;0.3;0.51;ND;1.12;0.76;0.49;NA;ND;NA;NA;NA;
4;17;0.57;0.25;0.35;ND;1.04;0.81;0.57;NA;ND;NA;NA;NA;
4;18;0.59;0.34;0.78;ND;1.07;1;0.7;NA;ND;NA;NA;NA;
4;19;0.65;0.4;1.26;ND;1.27;1.42;0.7;NA;ND;NA;NA;NA;
4;20;0.7;0.41;0.56;ND;1.07;1.47;0.61;NA;ND;NA;NA;NA;
4;21;0.68;0.34;0.59;ND;0.92;1.16;0.5;NA;ND;NA;NA;NA;
4;22;0.61;0.4;0.62;ND;0.86;0.81;0.44;NA;ND;NA;NA;NA;
4;23;0.55;0.28;0.48;ND;0.64;0.66;0.41;NA;ND;NA;NA;NA;
5;0;ND;ND;0.4;ND;ND;0.62;0.38;NA;ND;NA;NA;NA;
5;1;0.56;0.2;0.34;ND;0.53;0.52;0.32;NA;ND;NA;NA;NA;
5;2;0.55;0.22;0.33;ND;0.55;0.52;0.29;NA;ND;NA;NA;NA;
5;3;0.58;0.3;0.34;ND;0.57;0.54;0.28;NA;ND;NA;NA;NA;
5;4;0.61;0.41;0.33;ND;0.59;0.61;0.29;NA;ND;NA;NA;NA;
5;5;0.81;0.54;0.53;ND;0.84;0.73;0.4;NA;ND;NA;NA;NA;
5;6;1.28;0.99;1.51;ND;2.33;2.13;0.51;NA;ND;NA;NA;NA;
5;7;1.32;0.79;2.29;ND;2.14;2.53;0.7;NA;ND;NA;NA;NA;
5;8;1.32;0.51;1.06;ND;1.17;0.83;0.79;NA;ND;NA;NA;NA;
5;9;0.83;0.38;0.65;ND;0.79;0.77;0.42;NA;ND;NA;NA;NA;
5;10;ND;0.34;0.56;ND;0.66;0.72;0.42;NA;ND;NA;NA;NA;
5;11;ND;0.25;0.62;ND;0.69;0.68;0.44;NA;ND;NA;NA;NA;
5;12;ND;0.32;0.66;ND;0.78;0.66;0.44;NA;ND;NA;NA;NA;
5;13;0.23;0.31;0.56;ND;ND;ND;0.67;NA;ND;NA;NA;NA;
5;14;0.13;0.27;0.6;ND;0.93;ND;0.56;NA;ND;NA;NA;NA;
5;15;0.09;0.3;0.65;ND;ND;ND;0.58;NA;ND;NA;NA;NA;
5;16;0.18;0.33;1.39;ND;0.77;0.72;0.61;NA;ND;NA;NA;NA;
5;17;0.32;0.47;1.48;ND;0.97;1;0.69;NA;ND;NA;NA;NA;
5;18;0.46;0.44;2.28;ND;1.21;1.41;0.96;NA;ND;NA;NA;NA;
5;19;0.73;0.41;1.46;ND;1.07;1.12;0.61;NA;ND;NA;NA;NA;
5;20;0.53;0.7;1.5;ND;1.12;1.31;0.64;NA;ND;NA;NA;NA;
5;21;0.54;0.49;1.2;ND;1.1;1.57;0.93;NA;ND;NA;NA;NA;
5;22;0.35;0.64;0.73;ND;0.95;0.89;0.58;NA;ND;NA;NA;NA;
5;23;0.42;0.59;0.74;ND;1;0.89;0.47;NA;ND;NA;NA;NA;
6;0;0.41;0.49;ND;ND;0.69;ND;ND;NA;ND;NA;NA;NA;
6;1;0.34;0.35;0.52;ND;0.57;0.64;0.41;NA;ND;NA;NA;NA;
6;2;0.26;0.38;0.63;ND;0.53;0.56;0.53;NA;ND;NA;NA;NA;
6;3;0.18;0.33;0.58;ND;0.5;0.52;0.49;NA;ND;NA;NA;NA;
6;4;0.15;0.39;0.45;ND;0.58;0.49;0.5;NA;ND;NA;NA;NA;
6;5;0.19;0.54;0.54;ND;0.88;0.82;0.93;NA;ND;NA;NA;NA;
6;6;1.09;1.39;1.4;ND;2.01;1.4;1.42;NA;ND;NA;NA;NA;
6;7;0.95;1.05;1.61;ND;1.93;2.14;1.08;NA;ND;NA;NA;NA;
6;8;0.39;0.53;1.77;ND;1.4;1.47;0.51;NA;ND;NA;NA;NA;
6;9;0.16;0.34;1.17;ND;0.62;0.95;0.44;NA;ND;NA;NA;NA;
6;10;0.05;0.34;0.64;ND;0.69;0.66;0.51;NA;ND;NA;NA;NA;
6;11;0.03;0.31;0.82;ND;0.58;0.6;0.56;NA;ND;NA;NA;NA;
6;12;0.08;0.3;0.88;ND;0.63;0.55;0.48;NA;ND;NA;NA;NA;
6;13;0.12;0.32;0.87;ND;0.51;0.54;0.44;NA;ND;NA;NA;NA;
6;14;0.1;0.35;0.63;ND;0.54;0.18;0.5;NA;ND;NA;NA;NA;
6;15;0.08;0.32;0.44;ND;0.76;0.02;0.61;NA;ND;NA;NA;NA;
6;16;0.08;0.35;0.52;ND;0.76;0.21;0.56;NA;ND;NA;NA;NA;
6;17;0.08;0.39;0.58;ND;0.88;0.77;0.81;NA;ND;NA;NA;NA;
6;18;0.14;0.53;1.33;ND;0.99;1.26;0.9;NA;ND;NA;NA;NA;
6;19;0.28;0.6;1.45;ND;0.96;1.09;0.79;NA;ND;NA;NA;NA;
6;20;0.53;0.64;1.38;ND;0.96;0.82;0.69;NA;ND;NA;NA;NA;
6;21;0.38;0.46;1.12;ND;0.89;0.69;0.63;NA;ND;NA;NA;NA;
6;22;0.32;0.51;1.11;ND;0.95;0.66;0.56;NA;ND;NA;NA;NA;
6;23;0.38;0.59;0.9;ND;0.75;0.63;0.5;NA;ND;NA;NA;NA;
7;0;ND;ND;0.63;ND;ND;0.47;0.44;NA;ND;NA;NA;NA;
7;1;0.24;0.43;0.61;ND;0.55;0.41;0.54;NA;ND;NA;NA;NA;
7;2;0.18;0.38;0.54;ND;0.54;0.33;0.56;NA;ND;NA;NA;NA;
