DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;5.37;3.01;6.28;NA;6.15;6.13;ND;2.02;ND;NA;NA;NA;
1;1;5.95;2.57;7.98;NA;20.48;8.19;ND;2.11;ND;NA;NA;NA;
1;2;6.47;2.87;8.72;NA;39.91;10;ND;3.06;ND;NA;NA;NA;
1;3;5.15;2.91;5.43;NA;35.15;11.48;ND;3.51;ND;NA;NA;NA;
1;4;4.47;3.23;5.44;NA;17.49;10.43;ND;3.49;ND;NA;NA;NA;
1;5;4.84;5.89;5.23;NA;21.01;10.06;ND;5.17;ND;NA;NA;NA;
1;6;6.13;5.47;8.17;NA;73.24;11.83;ND;10.73;ND;NA;NA;NA;
1;7;9.73;6.87;18.22;NA;86.02;24.63;ND;12.42;ND;NA;NA;NA;
1;8;8.92;11.2;21.17;NA;74.04;19.99;ND;27.67;ND;NA;NA;NA;
1;9;9.99;14.73;12.82;NA;18.84;11.46;ND;19.8;ND;NA;NA;NA;
1;10;10.68;10.42;9.71;NA;8.34;8.37;ND;13.21;ND;NA;NA;NA;
1;11;7.93;7.22;11.25;NA;5.01;8.05;ND;8.73;ND;NA;NA;NA;
1;12;4.67;4.46;7.48;NA;8.11;8.09;ND;6.19;ND;NA;NA;NA;
1;13;ND;3.11;5.09;NA;5.11;5.37;ND;4.13;ND;NA;NA;NA;
1;14;2.83;2.75;7.08;NA;4.18;2.95;ND;3.89;ND;NA;NA;NA;
1;15;2.97;3.36;3.78;NA;4.34;4.94;ND;5.94;ND;NA;NA;NA;
1;16;2.89;2.9;8.09;NA;5.11;5.6;ND;5.01;ND;NA;NA;NA;
1;17;2.65;2.5;5.79;NA;4.2;4.92;ND;2.59;ND;NA;NA;NA;
1;18;2.32;2.5;4.25;NA;4.19;4.6;ND;2.25;ND;NA;NA;NA;
1;19;2.39;2.5;6.53;NA;3.52;3.53;ND;1.91;ND;NA;NA;NA;
1;20;3.2;2.37;5.48;NA;3.44;3.05;ND;2.08;ND;NA;NA;NA;
1;21;3.07;2.15;4.39;NA;2.69;3.2;ND;1.84;ND;NA;NA;NA;
1;22;2.72;1.96;4.19;NA;3.45;3.74;ND;2.14;ND;NA;NA;NA;
1;23;2.63;1.84;3.81;NA;2.55;3.57;ND;2.06;ND;NA;NA;NA;
2;0;2.34;1.63;4.9;NA;7.58;3.45;ND;1.76;ND;NA;NA;NA;
2;1;2.17;1.64;4.47;NA;5.4;3.46;ND;1.99;ND;NA;NA;NA;
2;2;2.16;1.7;4.1;NA;4.23;3.1;ND;1.56;ND;NA;NA;NA;
2;3;2.3;1.63;3.7;NA;4.23;3.28;ND;1.54;ND;NA;NA;NA;
2;4;2.26;1.69;3.54;NA;2.63;3.35;ND;1.66;ND;NA;NA;NA;
2;5;2.03;1.67;3.37;NA;6.2;3.47;ND;3.93;ND;NA;NA;NA;
2;6;3.21;2.13;3.89;NA;6.87;3.73;ND;5.65;ND;NA;NA;NA;
2;7;6.95;3.42;5.77;NA;8.9;5.24;ND;5.93;ND;NA;NA;NA;
2;8;4.65;4.24;4.67;NA;4.46;4.31;ND;4.68;ND;NA;NA;NA;
2;9;4.39;4.61;5.57;NA;4.08;2.82;ND;3.64;ND;NA;NA;NA;
2;10;3.62;3.64;5.21;NA;5.88;2.76;ND;2.72;ND;NA;NA;NA;
2;11;2.18;2.17;2.53;NA;3.44;4.27;ND;2.08;ND;NA;NA;NA;
2;12;1.99;2.28;1.63;NA;2.39;3.37;ND;2.11;ND;NA;NA;NA;
2;13;1.88;2.06;1.68;NA;2.27;2.6;ND;2.02;ND;NA;NA;NA;
2;14;1.75;1.73;1.9;NA;2.31;2.57;ND;1.92;ND;NA;NA;NA;
2;15;1.78;1.51;1.64;NA;2.26;1.99;ND;1.72;ND;NA;NA;NA;
2;16;1.7;1.47;2.13;NA;2.82;1.46;ND;1.65;ND;NA;NA;NA;
2;17;1.84;1.52;2.52;NA;2.53;1.37;ND;1.59;ND;NA;NA;NA;
2;18;1.73;1.4;3.52;NA;2.57;1.07;ND;1.63;ND;NA;NA;NA;
2;19;2.11;1.34;4.32;NA;2.51;1.17;ND;1.49;ND;NA;NA;NA;
2;20;2.37;1.25;3.49;NA;3.22;1.04;ND;1.47;ND;NA;NA;NA;
2;21;2.47;1.27;3.37;NA;2.59;1.17;ND;1.55;ND;NA;NA;NA;
2;22;2.6;1.44;4.14;NA;3.58;1.37;ND;1.8;ND;NA;NA;NA;
2;23;2.44;1.25;5.77;NA;3.36;1.88;ND;1.58;ND;NA;NA;NA;
3;0;2.82;1.15;6.76;NA;3.71;2.34;ND;1.64;ND;NA;NA;NA;
3;1;2.36;1.31;3.94;NA;2.76;2.5;ND;1.39;ND;NA;NA;NA;
3;2;2.3;1.24;3;NA;3.88;2.9;ND;1.57;ND;NA;NA;NA;
3;3;1.97;1.09;3.43;NA;6.82;3.1;ND;1.55;ND;NA;NA;NA;
3;4;1.9;1.07;3.71;NA;2.77;3.43;ND;1.7;ND;NA;NA;NA;
3;5;1.99;1.17;5.24;NA;3.32;3.91;ND;1.61;ND;NA;NA;NA;
3;6;2.1;0.96;3.7;NA;6.04;4.1;ND;2.94;ND;NA;NA;NA;
3;7;2.53;1.15;5.19;NA;9.94;4.55;ND;2.57;ND;NA;NA;NA;
3;8;2.95;1.59;9.06;NA;11.6;4.43;ND;3.24;ND;NA;NA;NA;
3;9;2.87;2.04;14.59;NA;4.59;4.12;ND;3.73;ND;NA;NA;NA;
3;10;3.06;2.22;6.27;NA;5.81;2.16;ND;4.26;ND;NA;NA;NA;
3;11;2.52;2.08;3.37;NA;4.03;3.03;ND;3.02;ND;NA;NA;NA;
3;12;2.42;2.33;2.4;NA;2.61;3.88;ND;2.62;ND;NA;NA;NA;
3;13;1.72;2.15;2.24;NA;2.64;3.11;ND;2.26;ND;NA;NA;NA;
3;14;1.8;1.89;2.6;NA;2.99;2.82;ND;2.2;ND;NA;NA;NA;
3;15;1.84;1.34;3.42;NA;2.55;2;ND;1.8;ND;NA;NA;NA;
3;16;1.67;1.21;3.59;NA;2.28;1.78;ND;1.56;ND;NA;NA;NA;
3;17;1.96;1.2;3.82;NA;2.39;2.11;ND;1.72;ND;NA;NA;NA;
3;18;2.16;1.27;4.81;NA;2.47;2.45;ND;1.56;ND;NA;NA;NA;
3;19;1.78;1.31;3.84;NA;3.05;1.91;ND;1.57;ND;NA;NA;NA;
3;20;1.96;1.13;3.38;NA;2.54;3.84;ND;1.43;ND;NA;NA;NA;
3;21;1.84;1.12;4.1;NA;2.21;3.81;ND;1.34;ND;NA;NA;NA;
3;22;2.21;1.24;4.65;NA;2.92;3.76;ND;1.37;ND;NA;NA;NA;
3;23;1.96;1.09;4.75;NA;3.04;3.9;ND;1.18;ND;NA;NA;NA;
4;0;1.86;1.21;3.69;NA;2.64;3.3;ND;1.12;ND;NA;NA;NA;
4;1;1.61;1.13;3.11;NA;1.35;3.2;ND;1.23;ND;NA;NA;NA;
4;2;1.57;0.82;2.64;NA;1.84;3.07;ND;1.23;ND;NA;NA;NA;
4;3;1.72;0.94;2.94;NA;10.14;3.48;ND;1.23;ND;NA;NA;NA;
4;4;1.5;1.02;3.85;NA;15.1;3.66;ND;1.37;ND;NA;NA;NA;
4;5;1.9;1.22;3.09;NA;6.66;3.95;ND;1.37;ND;NA;NA;NA;
4;6;2.73;1.39;4;NA;7.77;4.18;ND;1.56;ND;NA;NA;NA;
4;7;3.78;1.58;14.41;NA;51.5;7.82;ND;3.77;ND;NA;NA;NA;
4;8;5.04;1.78;20.43;NA;28.27;10.34;ND;5.87;ND;NA;NA;NA;
4;9;4.36;2.51;9.32;NA;9.84;6.52;ND;5.29;ND;NA;NA;NA;
4;10;4.07;3.02;6.75;NA;5.27;3.43;ND;3.85;ND;NA;NA;NA;
4;11;3.4;3.49;4.81;NA;4.91;3.8;ND;3.29;ND;NA;NA;NA;
4;12;2.82;2.63;3.95;NA;3.26;4.96;ND;2.85;ND;NA;NA;NA;
4;13;2.37;2.15;3.02;NA;1.76;4.06;ND;2.8;ND;NA;NA;NA;
4;14;2.06;1.96;2.96;NA;2.34;3.05;ND;2.62;ND;NA;NA;NA;
4;15;2.03;1.5;2.78;NA;2.86;2.4;ND;2.23;ND;NA;NA;NA;
4;16;2.01;1.55;3.38;NA;2.61;2.28;ND;1.68;ND;NA;NA;NA;
4;17;1.97;1.38;3.71;NA;2.37;2.31;ND;1.68;ND;NA;NA;NA;
4;18;2.22;1.57;4.7;NA;2.15;2.94;ND;1.57;ND;NA;NA;NA;
4;19;2.29;1.32;4.12;NA;2.39;2.97;ND;1.58;ND;NA;NA;NA;
4;20;2.29;1.46;3.24;NA;2.03;2.31;ND;1.49;ND;NA;NA;NA;
4;21;2.19;1.42;3.19;NA;6.32;3.2;ND;1.27;ND;NA;NA;NA;
4;22;2;1.39;2.81;NA;26.28;6.11;ND;1.31;ND;NA;NA;NA;
4;23;1.91;1.17;2.65;NA;8.94;6.84;ND;1.39;ND;NA;NA;NA;
5;0;1.74;1.29;2.91;NA;24.71;6.01;ND;1.15;ND;NA;NA;NA;
5;1;1.58;1.08;2.87;NA;12.97;5.64;ND;1.25;ND;NA;NA;NA;
5;2;1.6;0.97;2.48;NA;9.35;5.1;ND;1.33;ND;NA;NA;NA;
5;3;1.45;0.95;2.57;NA;9.21;5.71;ND;1.23;ND;NA;NA;NA;
5;4;1.69;0.99;3.26;NA;5.37;5.62;ND;1.15;ND;NA;NA;NA;
5;5;1.83;1.01;3.51;NA;5.26;5.25;ND;1.4;ND;NA;NA;NA;
5;6;2.32;1.03;6.55;NA;5.07;5.66;ND;1.18;ND;NA;NA;NA;
5;7;2.55;1.21;11.65;NA;5.52;8.36;ND;1.48;ND;NA;NA;NA;
5;8;2.74;1.2;10.32;NA;3.83;8.14;ND;1.65;ND;NA;NA;NA;
5;9;3.99;1.59;7.01;NA;3.13;4.89;ND;2.57;ND;NA;NA;NA;
5;10;4.32;2.27;5.69;NA;4;4.46;ND;2.81;ND;NA;NA;NA;
5;11;3.05;2.07;4.82;NA;3.76;3.44;ND;2.52;ND;NA;NA;NA;
5;12;2.67;1.8;3.54;NA;5.37;3.42;ND;2.02;ND;NA;NA;NA;
5;13;2.12;1.72;3.08;NA;2.98;3.34;ND;1.87;ND;NA;NA;NA;
5;14;1.98;1.53;3.14;NA;2.57;2.71;ND;2.03;ND;NA;NA;NA;
5;15;1.73;1.59;3.8;NA;ND;4.24;ND;2.16;ND;NA;NA;NA;
5;16;1.79;1.32;4.44;NA;ND;4.43;ND;7.4;ND;NA;NA;NA;
5;17;2.07;1.23;7.11;NA;3.99;4.67;ND;9.02;ND;NA;NA;NA;
5;18;2.9;1.27;11.29;NA;4.03;3.87;ND;2.71;ND;NA;NA;NA;
5;19;2.9;1.34;7.96;NA;3.07;3.15;ND;2.01;ND;NA;NA;NA;
5;20;2.38;1.01;5.54;NA;3.5;3.24;ND;1.74;ND;NA;NA;NA;
5;21;2.34;1.22;4.22;NA;3.28;3.26;ND;1.59;ND;NA;NA;NA;
5;22;2.33;1.13;4.95;NA;3.47;3.9;ND;1.3;ND;NA;NA;NA;
