DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;35.61;32.37;34.3;NA;7.68;33.82;21.85;37.11;14.73;NA;NA;NA;
1;1;32.11;36;36.42;NA;5.08;23.61;20.95;42.43;25.91;NA;NA;NA;
1;2;30.15;36.96;ND;NA;5.11;11.11;24.42;29.45;23.77;NA;NA;NA;
1;3;28.92;32.66;22.81;NA;23.52;26.23;20.79;29.35;19.58;NA;NA;NA;
1;4;34.27;23.47;18.46;NA;33.84;15.75;6.03;25.55;9.67;NA;NA;NA;
1;5;15.59;30.88;8.82;NA;21.86;16.12;3.66;25.2;2.34;NA;NA;NA;
1;6;5.05;21.56;5.26;NA;9.24;5.17;7.42;28.82;0.92;NA;NA;NA;
1;7;11.11;20.8;11.29;NA;11.47;5.81;10.07;21.94;7.15;NA;NA;NA;
1;8;16.68;25.67;10.39;NA;14.66;9.37;25.75;30.31;17.87;NA;NA;NA;
1;9;34.17;35.67;28.96;NA;25.97;21;44.67;41.21;26.4;NA;NA;NA;
1;10;46.54;49.79;31.3;NA;28.39;29.69;53.6;57.28;12.15;NA;NA;NA;
1;11;50.35;56.49;45.91;NA;44.83;49.35;52.72;65;19.99;NA;NA;NA;
1;12;47.21;54.01;52.14;NA;70.28;60.71;71.98;62.16;45.32;NA;NA;NA;
1;13;59.31;46.68;53.16;NA;48.93;66.66;56.89;56.86;71.38;NA;NA;NA;
1;14;52.07;44.06;45.42;NA;49.23;58.24;60.98;52.67;58.97;NA;NA;NA;
1;15;47.55;44.8;31.07;NA;52.25;53.97;58.74;51.58;47.14;NA;NA;NA;
1;16;44.53;42.16;22.23;NA;39.6;40.81;44.11;41.99;37.15;NA;NA;NA;
1;17;35.75;43.02;12.81;NA;28.01;19.53;24.91;39.47;24.42;NA;NA;NA;
1;18;21.55;35.07;3.85;NA;14.77;17.97;15.71;35.97;28.82;NA;NA;NA;
1;19;16.45;31.6;4.6;NA;16.92;14.34;20.52;33.02;38.42;NA;NA;NA;
1;20;26.03;29.65;10.36;NA;11.01;17.38;21.24;33.54;34.91;NA;NA;NA;
1;21;21.56;31.31;8.78;NA;9.38;18.76;16.16;36.6;30.73;NA;NA;NA;
1;22;20.6;33.75;10.66;NA;6.37;15.2;18.28;36.84;24.64;NA;NA;NA;
1;23;21.79;29.4;28.38;NA;22.65;27.74;28.79;36.85;20.55;NA;NA;NA;
2;0;26.16;28.46;31.91;NA;13.86;25.54;30.25;38.76;34.28;NA;NA;NA;
2;1;25.19;27.65;26.98;NA;23.55;17.27;35.03;37.93;35.3;NA;NA;NA;
2;2;23.98;28.79;36.89;NA;21.19;34.11;37.9;35.76;36.36;NA;NA;NA;
2;3;19.64;28.97;34.01;NA;19.1;17;33.12;33.6;37.26;NA;NA;NA;
2;4;21.56;23.99;34.18;NA;25.58;19.35;30.18;26.52;34.23;NA;NA;NA;
2;5;24;20.16;37.87;NA;26.1;30.39;37.9;23.31;25.25;NA;NA;NA;
2;6;13.05;11.22;11.43;NA;9.47;11.64;38.06;5.34;11.48;NA;NA;NA;
2;7;4.15;6.89;4.61;NA;11.96;11.28;38.14;5.03;11.09;NA;NA;NA;
2;8;7.37;14.92;4.97;NA;16.35;8.36;14;9.91;10.84;NA;NA;NA;
2;9;17.34;21.76;10.46;NA;22.32;9.63;30.73;18.19;11.58;NA;NA;NA;
2;10;42.84;44.12;ND;NA;42.47;ND;49.1;37.38;19.38;NA;NA;NA;
2;11;58.3;54.19;ND;NA;51.81;ND;54.99;53.6;31.86;NA;NA;NA;
2;12;58.75;57.13;ND;NA;44.5;ND;39.67;52.47;47.06;NA;NA;NA;
2;13;64.1;57.83;ND;NA;50.03;55.39;62.96;59.72;56.87;NA;NA;NA;
2;14;48.82;51.4;ND;NA;51.72;54.03;61.38;64.68;55.97;NA;NA;NA;
2;15;46.71;44.35;43.21;NA;ND;40.99;55.34;56.26;46.6;NA;NA;NA;
2;16;40.34;43.75;34.96;NA;ND;33.56;43.39;51.16;39.43;NA;NA;NA;
2;17;31.66;40.89;34.45;NA;ND;34.76;32.2;43.1;38.49;NA;NA;NA;
2;18;21.48;34.23;5.62;NA;18.58;12.46;17.49;23.99;26.15;NA;NA;NA;
2;19;7.75;19.8;1.06;NA;7.94;1.33;22.64;24.06;20.97;NA;NA;NA;
2;20;5.51;15.21;1.74;NA;7.02;1.63;11.73;15.15;8.99;NA;NA;NA;
2;21;9.8;8.66;19.42;NA;6.73;3.17;10.72;9.49;8.54;NA;NA;NA;
2;22;24.61;2.73;18.19;NA;7.53;5.59;14.86;3.18;1;NA;NA;NA;
2;23;30.63;3.62;18.81;NA;7.87;1.89;36.17;15.26;0.68;NA;NA;NA;
3;0;20.06;1.49;7.47;NA;9.01;2.7;44.46;9.33;0.62;NA;NA;NA;
3;1;29.67;4.85;34.96;NA;7.64;1.73;50.31;6.21;0.47;NA;NA;NA;
3;2;16.57;0.78;ND;NA;7.95;15.86;52.35;0.86;0.64;NA;NA;NA;
3;3;2.36;1.77;41.47;NA;16.89;29.89;51.1;0.08;0.9;NA;NA;NA;
3;4;2.78;1.64;49.75;NA;28;30.79;52.96;0.22;0.24;NA;NA;NA;
3;5;3.14;1.79;47.81;NA;27.24;28.53;50.59;0.49;0.35;NA;NA;NA;
3;6;4.63;2.59;37.52;NA;14.92;14.95;46.33;0.7;1.88;NA;NA;NA;
3;7;10.23;5.51;18.03;NA;20.9;26.66;48.69;2.33;4.54;NA;NA;NA;
3;8;15.47;17.62;21.68;NA;28.88;31.93;45.07;6.21;10.39;NA;NA;NA;
3;9;37.14;39.67;ND;NA;47.68;45.54;51.66;18.33;29.5;NA;NA;NA;
3;10;53.4;57.14;ND;NA;63.63;57.96;58.97;36.1;62.2;NA;NA;NA;
3;11;63.62;61.35;47.3;NA;72.73;61.97;61.37;56.91;76.73;NA;NA;NA;
3;12;69.53;68.04;48.78;NA;76.33;53.13;65.13;54.21;67.5;NA;NA;NA;
3;13;63.21;62.66;47.24;NA;63.86;58;68.86;50.16;57.32;NA;NA;NA;
3;14;51.7;57.89;48.4;NA;59.35;52.05;61.48;53.45;57.6;NA;NA;NA;
3;15;47.5;50.3;45.78;NA;53.41;54.99;63;ND;53.43;NA;NA;NA;
3;16;46.67;51.75;43.07;NA;41.22;42.14;50.15;ND;57.4;NA;NA;NA;
3;17;50.54;45.14;35.55;NA;31.76;34.17;24.84;42.57;41.18;NA;NA;NA;
3;18;42.67;38.32;25.52;NA;23.87;10.31;20;36.7;42.94;NA;NA;NA;
3;19;31.4;28.1;25.29;NA;14.3;10.01;16.91;21.7;26.07;NA;NA;NA;
3;20;16.42;25.46;24.98;NA;12.17;14.27;11.91;18.73;23.46;NA;NA;NA;
3;21;4.46;23.24;16.28;NA;10.32;9.27;3.08;31;17.58;NA;NA;NA;
3;22;2.22;ND;2.36;NA;15.07;4.13;20.1;28.95;16.83;NA;NA;NA;
3;23;4.54;ND;5.98;NA;7.99;2.71;23.22;26.83;4.74;NA;NA;NA;
4;0;15.68;5.47;1.63;NA;11.82;2.17;25.98;25.43;15.02;NA;NA;NA;
4;1;9.13;5.59;0.36;NA;5.03;1.18;24.91;22.47;3.22;NA;NA;NA;
4;2;6.71;5.92;0.72;NA;7.1;0.88;37.35;15.07;0.41;NA;NA;NA;
4;3;2.05;6.23;0.42;NA;8.5;0.76;12.64;5.03;0.47;NA;NA;NA;
4;4;1.86;3.62;0.71;NA;6.65;4.57;7.69;6.47;0.18;NA;NA;NA;
4;5;2.51;5.11;0.37;NA;6.22;3.91;15.21;1.16;0.17;NA;NA;NA;
4;6;3.09;7.28;1.45;NA;12.26;1.84;2.49;0.72;1.52;NA;NA;NA;
4;7;5.32;8.64;4.61;NA;15.44;4.66;9.28;2.53;3.28;NA;NA;NA;
4;8;15.16;17.29;10.11;NA;22.4;11.74;36;7.74;10.82;NA;NA;NA;
4;9;41.76;28.35;24.81;NA;45.61;42.24;52.98;18.73;26.16;NA;NA;NA;
4;10;45.2;38.32;35.96;NA;63.07;69.3;64.05;46.27;42.27;NA;NA;NA;
4;11;59.59;60.07;42.1;NA;67.04;51.8;73.56;57.62;68;NA;NA;NA;
4;12;85.68;75.45;69.06;NA;76.23;71.48;82.02;83.24;82.42;NA;NA;NA;
4;13;85.97;73.23;72.26;NA;67.4;73.84;79.83;94;70.4;NA;NA;NA;
4;14;54.95;58.71;79.07;NA;59.26;85.68;75.59;82.47;75.38;NA;NA;NA;
4;15;50.14;61.04;58.62;NA;47.46;74.12;64.65;65.22;56.48;NA;NA;NA;
4;16;49.82;49.83;48.1;NA;41.07;49.11;48.28;53.29;37.19;NA;NA;NA;
4;17;32.72;34.76;20.45;NA;31.19;30.52;35.01;35.36;27.03;NA;NA;NA;
4;18;38.68;30.03;26.02;NA;28.78;23.27;31.13;46.22;38.53;NA;NA;NA;
4;19;35.44;42.8;16.56;NA;26.59;17.35;11.4;19.39;15.77;NA;NA;NA;
4;20;21.66;54.05;1.58;NA;17.19;7.48;22.8;13;6.39;NA;NA;NA;
4;21;25.07;47.84;1.85;NA;8.79;1.37;18.92;5.6;5.33;NA;NA;NA;
4;22;6.35;26.36;3.48;NA;9.08;2.76;23.94;10.43;1.18;NA;NA;NA;
4;23;10.49;3.51;4.09;NA;8.88;7.14;1.95;4.88;1.12;NA;NA;NA;
5;0;5.81;1.52;3.95;NA;8.18;1.02;1.53;0.64;0.92;NA;NA;NA;
5;1;14.57;9.04;9.59;NA;9.58;0.78;4.08;0.47;1.11;NA;NA;NA;
5;2;6.29;5.29;ND;NA;8.06;1.3;3.56;0.16;2.17;NA;NA;NA;
5;3;3;0.99;4.06;NA;9.65;1.14;17.23;0.25;6.18;NA;NA;NA;
5;4;1.75;0.41;4.65;NA;12.7;1.59;48.61;0.13;2.89;NA;NA;NA;
5;5;1.4;0.53;2.82;NA;11.27;1.37;9.16;0.41;0.53;NA;NA;NA;
5;6;4.12;2.42;2.78;NA;12.74;2.57;6.57;0.34;2.36;NA;NA;NA;
5;7;17.71;16.57;12.49;NA;25.85;10.7;30.78;3.48;9.1;NA;NA;NA;
5;8;41.73;29.57;24.19;NA;45.98;32.56;56.15;7.94;15.32;NA;NA;NA;
5;9;59.3;49.96;43.82;NA;64.02;43.21;63.64;25.46;16.97;NA;NA;NA;
5;10;77.9;45.91;50.2;NA;63.05;50.17;69.49;53.53;49.09;NA;NA;NA;
5;11;92.56;77.91;72.73;NA;74.79;82.42;76.53;77.28;44.15;NA;NA;NA;
5;12;97.53;86.48;74.47;NA;86.14;85.98;84.42;87.94;47.82;NA;NA;NA;
5;13;74.87;74.06;86.4;NA;90;89.85;87.1;92.82;60.57;NA;NA;NA;
5;14;66.7;66.59;79.26;NA;72.46;91.5;75.27;87.98;86.06;NA;NA;NA;
5;15;58.81;59.15;63.93;NA;58.81;75.29;62.02;66;82.38;NA;NA;NA;
5;16;54.09;55.03;41.26;NA;46.86;66.71;51.2;59.94;47.81;NA;NA;NA;
5;17;46.7;41.06;28.02;NA;32.57;24.15;37.15;47;36.21;NA;NA;NA;
5;18;33.5;38.07;19.81;NA;33.27;28.6;41.58;39.62;35.02;NA;NA;NA;
5;19;23.05;27.98;15.18;NA;38.88;22.13;35.11;36.6;21.59;NA;NA;NA;
5;20;14.76;25.87;27.98;NA;16.8;14.37;20.74;31.69;19.6;NA;NA;NA;
5;21;16.14;22.56;23.13;NA;21.9;1.3;22.03;28.28;7.75;NA;NA;NA;
