DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;1.25;0.92;0.64;NA;1.24;1.02;ND;NA;ND;NA;NA;NA;
1;1;1.07;1;0.76;NA;1.58;0.93;1.42;NA;ND;NA;NA;NA;
1;2;1.45;1.11;0.76;NA;0.98;0.86;1.03;NA;ND;NA;NA;NA;
1;3;1.53;1.04;0.75;NA;0.79;1.26;0.88;NA;ND;NA;NA;NA;
1;4;1.42;0.9;0.67;NA;0.64;0.75;1.44;NA;ND;NA;NA;NA;
1;5;1.47;0.64;0.72;NA;0.52;0.57;1.13;NA;ND;NA;NA;NA;
1;6;0.98;0.6;0.56;NA;0.49;0.6;0.91;NA;ND;NA;NA;NA;
1;7;0.92;0.64;0.58;NA;0.37;0.55;0.56;NA;ND;NA;NA;NA;
1;8;0.76;0.67;0.53;NA;0.44;0.5;0.4;NA;ND;NA;NA;NA;
1;9;0.68;0.62;0.49;NA;0.41;0.5;0.39;NA;ND;NA;NA;NA;
1;10;0.6;0.62;0.47;NA;0.31;0.49;0.37;NA;ND;NA;NA;NA;
1;11;0.58;0.62;0.46;NA;0.36;0.45;0.34;NA;ND;NA;NA;NA;
1;12;0.57;0.71;0.42;NA;0.4;0.43;0.43;NA;ND;NA;NA;NA;
1;13;0.55;0.68;0.37;NA;0.45;0.45;0.47;NA;ND;NA;NA;NA;
1;14;0.55;0.68;0.37;NA;0.29;0.43;0.44;NA;ND;NA;NA;NA;
1;15;0.55;0.66;0.37;NA;0.37;0.51;0.46;NA;ND;NA;NA;NA;
1;16;0.57;0.66;0.38;NA;0.39;0.47;0.5;NA;ND;NA;NA;NA;
1;17;0.59;0.65;0.47;NA;0.48;0.49;0.54;NA;ND;NA;NA;NA;
1;18;0.62;0.62;0.64;NA;0.48;0.55;0.56;NA;ND;NA;NA;NA;
1;19;0.65;0.6;0.9;NA;0.55;0.61;0.53;NA;ND;NA;NA;NA;
1;20;0.65;0.57;0.63;NA;0.59;0.57;0.54;NA;ND;NA;NA;NA;
1;21;0.7;0.61;0.56;NA;0.47;0.54;0.43;NA;ND;NA;NA;NA;
1;22;0.64;0.62;0.47;NA;0.35;0.47;0.44;NA;ND;NA;NA;NA;
1;23;0.58;0.56;0.42;NA;0.28;0.41;0.35;NA;ND;NA;NA;NA;
2;0;ND;0.51;0.37;NA;0.17;ND;0.32;NA;ND;NA;NA;NA;
2;1;0.56;0.48;0.38;NA;0.07;0.32;0.24;NA;ND;NA;NA;NA;
2;2;0.54;0.45;0.38;NA;0.05;0.33;0.23;NA;ND;NA;NA;NA;
2;3;0.53;0.42;0.39;NA;0.07;0.35;0.22;NA;ND;NA;NA;NA;
2;4;0.53;0.43;0.37;NA;0.04;0.36;0.21;NA;ND;NA;NA;NA;
2;5;0.53;0.42;0.39;NA;0.14;0.35;0.24;NA;ND;NA;NA;NA;
2;6;0.59;0.43;0.43;NA;0.2;0.41;0.29;NA;ND;NA;NA;NA;
2;7;0.74;0.58;0.69;NA;0.32;0.56;0.31;NA;ND;NA;NA;NA;
2;8;0.73;0.55;0.61;NA;0.3;0.52;0.33;NA;ND;NA;NA;NA;
2;9;0.55;0.51;0.57;NA;0.34;0.52;0.32;NA;ND;NA;NA;NA;
2;10;0.61;0.6;0.53;NA;0.37;0.45;0.44;NA;ND;NA;NA;NA;
2;11;0.58;0.63;0.55;NA;0.38;0.41;0.29;NA;ND;NA;NA;NA;
2;12;0.59;0.68;0.56;NA;0.44;0.41;0.26;NA;ND;NA;NA;NA;
2;13;0.59;0.67;0.52;NA;0.65;0.43;0.43;NA;ND;NA;NA;NA;
2;14;0.59;0.67;0.43;NA;0.7;0.42;0.36;NA;ND;NA;NA;NA;
2;15;0.57;0.68;0.44;NA;0.56;0.44;0.32;NA;ND;NA;NA;NA;
2;16;0.62;0.69;0.6;NA;0.56;0.51;0.52;NA;ND;NA;NA;NA;
2;17;0.63;0.69;0.67;NA;0.6;0.55;0.39;NA;ND;NA;NA;NA;
2;18;0.64;0.68;0.99;NA;0.5;0.68;0.44;NA;ND;NA;NA;NA;
2;19;0.86;0.65;1.12;NA;0.37;0.74;0.57;NA;ND;NA;NA;NA;
2;20;0.81;0.58;0.63;NA;0.32;0.73;0.53;NA;ND;NA;NA;NA;
2;21;0.76;0.5;0.57;NA;0.22;0.56;0.54;NA;ND;NA;NA;NA;
2;22;0.71;0.49;0.53;NA;0.12;0.48;0.43;NA;ND;NA;NA;NA;
2;23;0.59;0.46;0.45;NA;0.06;0.39;0.32;NA;ND;NA;NA;NA;
3;0;0.52;0.41;0.4;NA;0.03;0.34;ND;NA;ND;NA;NA;NA;
3;1;0.51;0.41;0.36;NA;0.03;0.35;0.25;NA;ND;NA;NA;NA;
