DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;12.7;3.39;5.77;NA;33.44;17.66;ND;15.01;ND;NA;NA;NA;
1;1;6.48;3.88;4.5;NA;14.23;6.71;ND;4.21;ND;NA;NA;NA;
1;2;6.59;2.92;3.88;NA;7.29;5.7;ND;3.69;ND;NA;NA;NA;
1;3;5.5;2.95;2.7;NA;6.38;6.2;ND;3.66;ND;NA;NA;NA;
1;4;4.65;2.7;2.34;NA;4.2;4.35;ND;3.31;ND;NA;NA;NA;
1;5;4.95;1.68;2.28;NA;4.08;3;ND;2.76;ND;NA;NA;NA;
1;6;3.78;1.61;1.49;NA;3.7;3.59;ND;2.57;ND;NA;NA;NA;
1;7;3.21;1.49;1.41;NA;3.2;3.21;ND;2.48;ND;NA;NA;NA;
1;8;2.84;2.04;1.16;NA;2.72;2.02;ND;2.63;ND;NA;NA;NA;
1;9;2.64;1.48;1.55;NA;1.86;1.7;ND;3.38;ND;NA;NA;NA;
1;10;2.75;1.39;1.35;NA;1.84;1.85;ND;3.02;ND;NA;NA;NA;
1;11;2.74;1.28;1.38;NA;1.29;1.57;ND;2.98;ND;NA;NA;NA;
1;12;2.12;2.44;1.36;NA;1.33;1.6;ND;3.15;ND;NA;NA;NA;
1;13;2.3;2.32;1.65;NA;1.06;1.99;ND;4.19;ND;NA;NA;NA;
1;14;2.24;1.79;1.59;NA;0.95;1.49;ND;3.27;ND;NA;NA;NA;
1;15;1.81;1.56;1.7;NA;0.9;1.12;ND;2.53;ND;NA;NA;NA;
1;16;1.79;1.48;1.55;NA;0.64;1.09;ND;2.27;ND;NA;NA;NA;
1;17;1.9;1.54;1.16;NA;0.67;1.49;ND;4.48;ND;NA;NA;NA;
1;18;1.82;1.47;1.57;NA;0.88;1.58;ND;2.47;ND;NA;NA;NA;
1;19;2.28;1.31;1.74;NA;1.61;1.31;ND;2.23;ND;NA;NA;NA;
1;20;2.36;1.5;1.18;NA;1.11;1.16;ND;2.07;ND;NA;NA;NA;
1;21;2.43;1.19;1.09;NA;1.22;1.11;ND;2.09;ND;NA;NA;NA;
1;22;3.07;1.26;0.92;NA;0.77;0.76;ND;2.1;ND;NA;NA;NA;
1;23;2.14;1.3;0.88;NA;0.9;0.97;ND;2.13;ND;NA;NA;NA;
2;0;1.98;1.1;0.73;NA;0.55;0.76;ND;2.15;ND;NA;NA;NA;
2;1;ND;1.12;0.84;NA;3.26;ND;ND;1.98;ND;NA;NA;NA;
2;2;1.85;0.98;0.77;NA;9.48;2.11;ND;1.94;ND;NA;NA;NA;
2;3;1.76;0.89;1.27;NA;20.26;5.67;ND;2.06;ND;NA;NA;NA;
2;4;1.88;0.86;2.64;NA;10.37;3.38;ND;2.06;ND;NA;NA;NA;
2;5;1.81;1.01;2.51;NA;4;4.13;ND;1.8;ND;NA;NA;NA;
2;6;1.84;0.75;0.87;NA;3.2;2.63;ND;1.85;ND;NA;NA;NA;
2;7;2.42;0.92;1.61;NA;1.56;2.45;ND;9.86;ND;NA;NA;NA;
2;8;2.25;0.91;1.6;NA;1.16;1.62;ND;3.09;ND;NA;NA;NA;
2;9;2.03;0.94;1.86;NA;1.57;2.21;ND;2.29;ND;NA;NA;NA;
2;10;2.27;0.86;1.96;NA;1.52;1.76;ND;2.28;ND;NA;NA;NA;
2;11;1.75;1.04;1.54;NA;1.39;1.21;ND;2.46;ND;NA;NA;NA;
2;12;2.03;1.03;1.71;NA;1.2;1.27;ND;2.67;ND;NA;NA;NA;
2;13;1.94;1.23;1.63;NA;1.22;1.12;ND;2.55;ND;NA;NA;NA;
2;14;1.88;1.13;1.76;NA;1.17;1.09;ND;2.14;ND;NA;NA;NA;
2;15;1.73;1.02;1.71;NA;0.95;1.06;ND;2.15;ND;NA;NA;NA;
2;16;1.89;1.17;2.47;NA;0.95;1.26;ND;1.94;ND;NA;NA;NA;
2;17;1.8;1.2;3.08;NA;0.91;1.15;ND;2.16;ND;NA;NA;NA;
2;18;1.86;1.07;1.52;NA;0.91;1.33;ND;2.26;ND;NA;NA;NA;
2;19;2.78;1.07;1.31;NA;0.82;1.46;ND;2.22;ND;NA;NA;NA;
2;20;2.75;0.85;1.04;NA;0.6;1.18;ND;2.13;ND;NA;NA;NA;
2;21;2;0.75;0.95;NA;0.49;0.8;ND;2.07;ND;NA;NA;NA;
2;22;2.03;0.71;0.86;NA;0.53;0.67;ND;1.96;ND;NA;NA;NA;
2;23;1.84;0.78;0.75;NA;0.55;0.68;ND;1.84;ND;NA;NA;NA;
3;0;1.49;0.55;0.95;NA;0.5;0.58;ND;1.91;ND;NA;NA;NA;
3;1;1.52;0.75;0.61;NA;0.48;0.48;ND;1.97;ND;NA;NA;NA;
3;2;1.57;0.89;0.35;NA;0.52;0.42;ND;2.26;ND;NA;NA;NA;
3;3;1.46;0.65;0.76;NA;0.23;0.8;ND;2.71;ND;NA;NA;NA;
3;4;1.55;0.92;0.78;NA;0.29;1.98;ND;2.12;ND;NA;NA;NA;
3;5;2;0.68;1.12;NA;3.27;0.96;ND;1.92;ND;NA;NA;NA;
3;6;2.1;0.66;5.21;NA;3.75;3.57;ND;1.87;ND;NA;NA;NA;
3;7;2.53;1.07;5.26;NA;6.85;7.17;ND;2.11;ND;NA;NA;NA;
3;8;2.85;0.75;5.12;NA;13.17;7.15;ND;2.21;ND;NA;NA;NA;
3;9;2.44;0.9;3.38;NA;4.97;5.04;ND;1.98;ND;NA;NA;NA;
3;10;3.38;1.17;ND;NA;3.5;6.93;ND;2.21;ND;NA;NA;NA;
3;11;8.5;1.31;3.26;NA;5.67;3.62;ND;2.25;ND;NA;NA;NA;
3;12;10.45;1.07;2.87;NA;3.49;ND;ND;2.14;ND;NA;NA;NA;
3;13;3.27;1.49;ND;NA;3.54;ND;ND;2.24;ND;NA;NA;NA;
3;14;3.15;1.19;ND;NA;3.59;ND;ND;2.3;ND;NA;NA;NA;
3;15;2.79;1.29;ND;NA;2.98;ND;ND;2.18;ND;NA;NA;NA;
3;16;2.64;1.18;ND;NA;3.64;ND;ND;2.18;ND;NA;NA;NA;
3;17;2.61;1.3;6.01;NA;1.66;2.1;ND;2.02;ND;NA;NA;NA;
3;18;2.59;1.39;5.77;NA;1.24;2.26;ND;1.88;ND;NA;NA;NA;
3;19;2.55;0.97;5.35;NA;4.42;1.37;ND;1.84;ND;NA;NA;NA;
3;20;2.61;1.05;4.6;NA;4.66;1.19;ND;1.76;ND;NA;NA;NA;
3;21;2.1;1.11;4.85;NA;2;1.08;ND;1.8;ND;NA;NA;NA;
3;22;1.88;0.86;4.36;NA;2.15;0.77;ND;1.87;ND;NA;NA;NA;
3;23;2;ND;3.91;NA;2.03;0.81;ND;1.74;ND;NA;NA;NA;
4;0;2.09;0.88;3.82;NA;1.19;0.8;ND;1.92;ND;NA;NA;NA;
4;1;ND;0.94;ND;NA;ND;ND;ND;1.92;ND;NA;NA;NA;
4;2;2.42;0.89;4.08;NA;2.08;1.93;ND;2.57;ND;NA;NA;NA;
4;3;2.05;0.92;5.4;NA;1.62;1.62;ND;3.49;ND;NA;NA;NA;
4;4;2.52;0.9;5.98;NA;3.3;1.65;ND;2.39;ND;NA;NA;NA;
4;5;3.2;1.2;6.59;NA;3.48;2.96;ND;3.27;ND;NA;NA;NA;
4;6;4.07;2.58;7.86;NA;10.95;4.83;ND;4.01;ND;NA;NA;NA;
4;7;3.92;3.54;11.01;NA;4.14;5.59;ND;6.22;ND;NA;NA;NA;
4;8;6.39;4.18;10.39;NA;4.18;5.22;ND;12.15;ND;NA;NA;NA;
4;9;8.89;5.47;ND;NA;4.47;4.76;ND;3.17;ND;NA;NA;NA;
4;10;7.23;4.15;ND;NA;9.12;5.91;ND;3.08;ND;NA;NA;NA;
4;11;ND;2.03;4.75;NA;ND;4.65;ND;2.99;ND;NA;NA;NA;
4;12;ND;1.41;3.56;NA;ND;3.11;ND;2.82;ND;NA;NA;NA;
4;13;ND;1.32;2.95;NA;ND;1.69;ND;2.59;ND;NA;NA;NA;
