DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;17.3;0.55;5.8;NA;10.21;0.14;NA;NA;ND;NA;NA;NA;
1;1;9.65;0.64;5.38;NA;6.9;4.28;NA;NA;ND;NA;NA;NA;
1;2;4.36;10.54;2.25;NA;1.32;6.08;NA;NA;ND;NA;NA;NA;
1;3;7.85;5.29;4.01;NA;7.84;4.04;NA;NA;ND;NA;NA;NA;
1;4;5.64;4.53;5.33;NA;7.59;2.64;NA;NA;ND;NA;NA;NA;
1;5;9.06;1.29;3.95;NA;8.63;6.94;NA;NA;ND;NA;NA;NA;
1;6;17.05;26.78;8.8;NA;35.74;14.04;NA;NA;ND;NA;NA;NA;
1;7;17.8;14.63;21.07;NA;51.41;34.96;NA;NA;ND;NA;NA;NA;
1;8;27.81;17.81;41;NA;22.9;36.78;NA;NA;ND;NA;NA;NA;
1;9;20.77;13.61;41.69;NA;19.03;33.42;NA;NA;ND;NA;NA;NA;
1;10;12.9;11.57;34.95;NA;22.65;19.93;NA;NA;ND;NA;NA;NA;
1;11;7.69;0;13.12;NA;26.64;16.14;NA;NA;ND;NA;NA;NA;
1;12;6.45;ND;14.07;NA;14.05;24.16;NA;NA;ND;NA;NA;NA;
1;13;2.08;14.23;ND;NA;13.7;11.61;NA;NA;ND;NA;NA;NA;
1;14;1.01;5.6;ND;NA;7.2;7.25;NA;NA;ND;NA;NA;NA;
1;15;7.54;3.88;ND;NA;9.72;11.03;NA;NA;ND;NA;NA;NA;
1;16;10.58;20.9;ND;NA;10.66;11.7;NA;NA;ND;NA;NA;NA;
1;17;2.19;17.91;12.87;NA;10.59;9.85;NA;NA;ND;NA;NA;NA;
1;18;14.99;33.28;17.84;NA;6.24;14.51;NA;NA;ND;NA;NA;NA;
1;19;3.34;11.19;19.04;NA;13.56;17.89;NA;NA;ND;NA;NA;NA;
1;20;2.27;7.23;15.5;NA;14.26;17.34;NA;NA;ND;NA;NA;NA;
1;21;4.32;8.62;12.02;NA;23.15;11.15;NA;NA;ND;NA;NA;NA;
1;22;6.15;3.98;5.28;NA;5.48;6.81;NA;NA;ND;NA;NA;NA;
1;23;ND;7.42;1.57;NA;4.52;5.4;NA;NA;ND;NA;NA;NA;
2;0;6.73;5.79;0.2;NA;6.92;4.6;NA;NA;ND;NA;NA;NA;
2;1;15.8;4.79;3.6;NA;6.82;9.41;NA;NA;ND;NA;NA;NA;
2;2;4.35;9.65;5.27;NA;9.01;6.61;NA;NA;ND;NA;NA;NA;
2;3;9.17;5.11;3.92;NA;10.28;5.08;NA;NA;ND;NA;NA;NA;
2;4;2.64;9.78;7.95;NA;4.52;4.48;NA;NA;ND;NA;NA;NA;
2;5;13.34;6.5;9.02;NA;11.47;6.01;NA;NA;ND;NA;NA;NA;
2;6;14.63;19.78;14.67;NA;17.74;9.79;NA;NA;ND;NA;NA;NA;
2;7;23.95;18.43;22.6;NA;39.8;10.26;NA;NA;ND;NA;NA;NA;
2;8;13.55;12.85;19.07;NA;33.86;38.1;NA;NA;ND;NA;NA;NA;
2;9;20.27;19.47;33.02;NA;9.43;29.85;NA;NA;ND;NA;NA;NA;
2;10;18.93;8.12;36.61;NA;23.79;24.57;NA;NA;ND;NA;NA;NA;
2;11;16.85;17.89;26.23;NA;26.83;22.23;NA;NA;ND;NA;NA;NA;
2;12;17.82;14.3;25.79;NA;14.6;27.7;NA;NA;ND;NA;NA;NA;
2;13;12.86;7.16;21.37;NA;2.91;8.26;NA;NA;ND;NA;NA;NA;
2;14;8.23;3.2;13.76;NA;10.77;7.85;NA;NA;ND;NA;NA;NA;
2;15;7.1;10.67;5.98;NA;12.86;5.89;NA;NA;ND;NA;NA;NA;
2;16;6.79;3.02;9.77;NA;10.7;8.34;NA;NA;ND;NA;NA;NA;
2;17;5.7;9.79;19.85;NA;8.29;13.39;NA;NA;ND;NA;NA;NA;
2;18;3.08;13.86;22.24;NA;18.48;10.9;NA;NA;ND;NA;NA;NA;
2;19;16.44;16.16;17.65;NA;13.96;18.83;NA;NA;ND;NA;NA;NA;
2;20;8.58;15.67;13.8;NA;15.36;18.75;NA;NA;ND;NA;NA;NA;
2;21;20.79;4.49;7.33;NA;9.08;13.92;NA;NA;ND;NA;NA;NA;
2;22;14.65;ND;10.26;NA;24;3.87;NA;NA;ND;NA;NA;NA;
2;23;ND;ND;9.82;NA;12.48;11.93;NA;NA;ND;NA;NA;NA;
3;0;13.89;5.95;15.41;NA;19.28;9.99;NA;NA;ND;NA;NA;NA;
3;1;12.21;14.83;14.52;NA;18.47;17.39;NA;NA;ND;NA;NA;NA;
3;2;15.12;13.14;15.4;NA;9.13;16.89;NA;NA;ND;NA;NA;NA;
3;3;11.18;3.93;17.29;NA;19.45;18.77;NA;NA;ND;NA;NA;NA;
3;4;14.44;14.3;15.42;NA;20.93;16.02;NA;NA;ND;NA;NA;NA;
3;5;18.09;17.97;20.71;NA;31.43;10.89;NA;NA;ND;NA;NA;NA;
3;6;20.23;27.85;17.96;NA;38.72;17.94;NA;NA;ND;NA;NA;NA;
3;7;30.69;43.25;26.7;NA;24.65;24.84;NA;NA;ND;NA;NA;NA;
3;8;19.85;17.17;30.47;NA;25.23;41.98;NA;NA;ND;NA;NA;NA;
3;9;34.72;22.5;33.32;NA;29.37;34.56;NA;NA;ND;NA;NA;NA;
3;10;32.53;20.42;33.36;NA;27.85;36.65;NA;NA;ND;NA;NA;NA;
3;11;24.37;17.44;40.11;NA;ND;34.15;NA;NA;ND;NA;NA;NA;
3;12;16.98;24.89;31.22;NA;ND;27.51;NA;NA;ND;NA;NA;NA;
3;13;3.29;19.86;21.15;NA;ND;23.14;NA;NA;ND;NA;NA;NA;
3;14;5.49;3.87;15.49;NA;6.88;5.13;NA;NA;ND;NA;NA;NA;
3;15;3.03;0;14.06;NA;ND;11;NA;NA;ND;NA;NA;NA;
3;16;10.6;2.16;21.05;NA;8.95;8.84;NA;NA;ND;NA;NA;NA;
3;17;5.11;5.43;12.78;NA;11.8;7.49;NA;NA;ND;NA;NA;NA;
3;18;2.26;10.85;19.09;NA;15.29;20.65;NA;NA;ND;NA;NA;NA;
3;19;9.92;23.53;16.21;NA;15.47;13.99;NA;NA;ND;NA;NA;NA;
3;20;8.64;18.16;14.36;NA;27.45;8.69;NA;NA;ND;NA;NA;NA;
3;21;4.03;8.72;9.11;NA;25.06;11.25;NA;NA;ND;NA;NA;NA;
3;22;7.67;6.42;6.74;NA;27.64;11.43;NA;NA;ND;NA;NA;NA;
3;23;ND;12.2;9.89;NA;18.4;11.42;NA;NA;ND;NA;NA;NA;
4;0;8.51;18.57;23.6;NA;27.17;22.56;NA;NA;ND;NA;NA;NA;
4;1;7.26;6.92;8.08;NA;12.82;12.18;NA;NA;ND;NA;NA;NA;
4;2;12.02;9.23;9.5;NA;14.01;13.05;NA;NA;ND;NA;NA;NA;
4;3;7.92;7.04;7.6;NA;19.25;8.93;NA;NA;ND;NA;NA;NA;
4;4;12.18;21.61;20.33;NA;25.25;17.27;NA;NA;ND;NA;NA;NA;
4;5;12.91;8.37;21.17;NA;16.36;17.55;NA;NA;ND;NA;NA;NA;
4;6;17.51;18.52;21.87;NA;40.98;25.67;NA;NA;ND;NA;NA;NA;
4;7;21.5;28.61;37.1;NA;63.11;39.56;NA;NA;ND;NA;NA;NA;
4;8;21.91;13.21;32.73;NA;36.04;18.18;NA;NA;ND;NA;NA;NA;
4;9;27.97;26.05;43.95;NA;27.43;23.95;NA;NA;ND;NA;NA;NA;
4;10;29.03;ND;44.01;NA;25.21;34.2;NA;NA;ND;NA;NA;NA;
4;11;26.9;ND;37.35;NA;32.74;32.63;NA;NA;ND;NA;NA;NA;
4;12;15.92;ND;38.12;NA;33.76;32.11;NA;NA;ND;NA;NA;NA;
4;13;5.49;ND;18.89;NA;19.52;22.96;NA;NA;ND;NA;NA;NA;
4;14;8.04;0.89;29.55;NA;8.6;15.7;NA;NA;ND;NA;NA;NA;
4;15;4.66;1.64;25.75;NA;5.16;7.43;NA;NA;ND;NA;NA;NA;
4;16;2.58;0;22.35;NA;10.85;9.77;NA;NA;ND;NA;NA;NA;
4;17;4.27;8.85;18.6;NA;7.31;11.46;NA;NA;ND;NA;NA;NA;
4;18;5.99;12.46;22.33;NA;11.98;10.29;NA;NA;ND;NA;NA;NA;
4;19;9.64;14.11;15.3;NA;19.6;20.47;NA;NA;ND;NA;NA;NA;
4;20;13.19;14.33;14.94;NA;30.53;10.88;NA;NA;ND;NA;NA;NA;
4;21;6.06;11.23;14.05;NA;16.31;15.02;NA;NA;ND;NA;NA;NA;
4;22;3.58;6.01;13.25;NA;9.37;13.13;NA;NA;ND;NA;NA;NA;
4;23;ND;4.73;2.47;NA;9.12;8.23;NA;NA;ND;NA;NA;NA;
5;0;3.33;12.07;0.06;NA;14.32;16.81;NA;NA;ND;NA;NA;NA;
5;1;6.86;4.23;10.53;NA;4.11;7.71;NA;NA;ND;NA;NA;NA;
5;2;6.73;6.62;1.97;NA;9.56;6.42;NA;NA;ND;NA;NA;NA;
5;3;6.8;2.53;3.6;NA;3.53;7.9;NA;NA;ND;NA;NA;NA;
5;4;9.23;6.08;6.06;NA;1.11;5.98;NA;NA;ND;NA;NA;NA;
5;5;8.25;11.84;7.52;NA;19.53;10.06;NA;NA;ND;NA;NA;NA;
5;6;15.09;7.74;13.15;NA;18.54;11.24;NA;NA;ND;NA;NA;NA;
5;7;22.24;27.26;15.82;NA;22.91;18.02;NA;NA;ND;NA;NA;NA;
5;8;33.76;15.02;19.81;NA;28.37;17.95;NA;NA;ND;NA;NA;NA;
5;9;23.79;7.92;10;NA;12.73;10.58;NA;NA;ND;NA;NA;NA;
5;10;25.63;15.56;22.51;NA;27.79;26.04;NA;NA;ND;NA;NA;NA;
5;11;16.84;6.93;20.58;NA;20.38;17.96;NA;NA;ND;NA;NA;NA;
5;12;7.88;6.86;24.31;NA;24.65;19.54;NA;NA;ND;NA;NA;NA;
5;13;6.51;2.81;14.1;NA;12.61;6.43;NA;NA;ND;NA;NA;NA;
