DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;16.02;5.65;19.62;NA;14;4.61;NA;NA;ND;NA;NA;NA;
1;1;9.64;15.16;8.51;NA;3.93;8.41;NA;NA;ND;NA;NA;NA;
1;2;11.9;13.01;3.11;NA;2.47;9.93;NA;NA;ND;NA;NA;NA;
1;3;4.79;5.12;4.61;NA;11.77;8.32;NA;NA;ND;NA;NA;NA;
1;4;10.91;12.39;1.62;NA;8.3;10.53;NA;NA;ND;NA;NA;NA;
1;5;10.65;8.43;4.41;NA;11.76;1.99;NA;NA;ND;NA;NA;NA;
1;6;10.08;6.46;13.11;NA;10.81;7.06;NA;NA;ND;NA;NA;NA;
1;7;7.66;6.37;15.71;NA;17.03;12.34;NA;NA;ND;NA;NA;NA;
1;8;5.91;4.05;14.64;NA;18.48;6.19;NA;NA;ND;NA;NA;NA;
1;9;8.85;1.56;20.2;NA;11.47;11.99;NA;NA;ND;NA;NA;NA;
1;10;15.51;1.18;3.81;NA;1.53;8.31;NA;NA;ND;NA;NA;NA;
1;11;10.74;9.27;3.02;NA;7.66;6.3;NA;NA;ND;NA;NA;NA;
1;12;8.62;6.24;5.42;NA;2.49;8.52;NA;NA;ND;NA;NA;NA;
1;13;16.59;11.2;0.67;NA;4.55;3.73;NA;NA;ND;NA;NA;NA;
1;14;6.97;13.31;8.71;NA;2.2;8.61;NA;NA;ND;NA;NA;NA;
1;15;12;14.2;23.21;NA;14.05;21.88;NA;NA;ND;NA;NA;NA;
1;16;2.73;19.32;4.92;NA;4.18;7.74;NA;NA;ND;NA;NA;NA;
1;17;10.95;17.01;7.94;NA;29.85;9.96;NA;NA;ND;NA;NA;NA;
1;18;8.88;16.2;13.79;NA;14.99;12.6;NA;NA;ND;NA;NA;NA;
1;19;14.8;14.09;11.3;NA;15.9;7.08;NA;NA;ND;NA;NA;NA;
1;20;18.71;11.28;15.68;NA;9.56;31.09;NA;NA;ND;NA;NA;NA;
1;21;13.25;15.1;17.72;NA;25.16;19.72;NA;NA;ND;NA;NA;NA;
1;22;8.28;8.03;15.58;NA;23.84;13.09;NA;NA;ND;NA;NA;NA;
1;23;10.99;5.7;14.17;NA;20.12;11.53;NA;NA;ND;NA;NA;NA;
2;0;9.88;9.49;7.94;NA;22.64;35.97;NA;NA;ND;NA;NA;NA;
2;1;11.17;12.31;16.58;NA;15.46;22.09;NA;NA;ND;NA;NA;NA;
2;2;3.55;4.64;8.38;NA;19.15;10.25;NA;NA;ND;NA;NA;NA;
2;3;6.64;6.59;8.59;NA;0.41;11.82;NA;NA;ND;NA;NA;NA;
2;4;8.79;15.6;6.19;NA;4.56;11.83;NA;NA;ND;NA;NA;NA;
2;5;11.84;15.18;9.54;NA;21.42;11.3;NA;NA;ND;NA;NA;NA;
2;6;14.9;18;17.78;NA;25.35;27.47;NA;NA;ND;NA;NA;NA;
2;7;24.93;25.32;30.09;NA;48.29;38.91;NA;NA;ND;NA;NA;NA;
2;8;39.26;26.69;33.04;NA;15.41;21.67;NA;NA;ND;NA;NA;NA;
2;9;41.24;10.38;25.84;NA;20.65;4.82;NA;NA;ND;NA;NA;NA;
2;10;28.64;17.5;3.1;NA;16.8;16.05;NA;NA;ND;NA;NA;NA;
2;11;15.15;2.11;3.66;NA;11.15;6.4;NA;NA;ND;NA;NA;NA;
2;12;2.28;11.15;5.07;NA;8.41;11.03;NA;NA;ND;NA;NA;NA;
2;13;11.96;10.92;5.24;NA;3.51;2.93;NA;NA;ND;NA;NA;NA;
2;14;19.92;21.24;13.14;NA;8.58;5.61;NA;NA;ND;NA;NA;NA;
2;15;0.86;11.76;7.73;NA;15.88;10.12;NA;NA;ND;NA;NA;NA;
2;16;11.28;6.37;12.54;NA;18.1;10.39;NA;NA;ND;NA;NA;NA;
2;17;10.14;27.64;11.87;NA;15.98;3.63;NA;NA;ND;NA;NA;NA;
2;18;19.89;36.61;12.59;NA;10.41;6.95;NA;NA;ND;NA;NA;NA;
2;19;7.14;28.12;22.48;NA;28.14;23.35;NA;NA;ND;NA;NA;NA;
2;20;16.16;24.58;22.03;NA;16.52;20.82;NA;NA;ND;NA;NA;NA;
