DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;8.06;ND;4.9;NA;31.71;9.16;23.75;16.54;40.39;NA;NA;NA;
1;1;20.45;ND;6.41;NA;18.94;10.55;ND;10.15;30.38;NA;NA;NA;
1;2;12.53;ND;5.74;NA;11.85;ND;11.09;9.57;18.52;NA;NA;NA;
1;3;6.93;ND;3.59;NA;10.29;8.92;14.6;2.63;15.63;NA;NA;NA;
1;4;7.2;ND;0.94;NA;10.48;7.23;9.95;2.51;18.99;NA;NA;NA;
1;5;3.56;ND;1.23;NA;7.09;4.2;8.49;1.37;19.46;NA;NA;NA;
1;6;4.16;ND;2.62;NA;6.41;5.37;9.74;2.02;10.69;NA;NA;NA;
1;7;13.47;ND;14.7;NA;10.38;16.8;18.81;8.72;17.68;NA;NA;NA;
1;8;34.28;ND;32.45;NA;26.28;39.42;30.36;27.61;36.27;NA;NA;NA;
1;9;51.59;ND;37.87;NA;33.12;45.11;40.58;49.5;55.34;NA;NA;NA;
1;10;45.68;ND;40;NA;34.92;46.88;46.36;60.32;54.63;NA;NA;NA;
1;11;50.35;ND;38.01;NA;42.27;52.42;49.6;45.64;42.56;NA;NA;NA;
1;12;49.05;ND;40.28;NA;38.88;48.65;42.35;42.28;35.45;NA;NA;NA;
1;13;43.56;ND;39.63;NA;36.68;46.95;43.19;39.42;35.15;NA;NA;NA;
1;14;43.77;ND;39.44;NA;37.12;46.08;41.41;37;34.59;NA;NA;NA;
1;15;41.12;ND;42.04;NA;36.51;48.96;46.81;41.92;36.92;NA;NA;NA;
1;16;39.12;ND;39.56;NA;33.22;43.29;39.45;43.36;42.59;NA;NA;NA;
1;17;35.19;ND;35.65;NA;28.37;39.1;30.19;37.72;39.03;NA;NA;NA;
1;18;27.78;ND;29.23;NA;24.26;18.69;15.89;30.6;23.23;NA;NA;NA;
1;19;23.09;ND;19.48;NA;18.66;8.75;15;25.92;23;NA;NA;NA;
1;20;10.86;ND;16.3;NA;15.25;8.11;13.65;23.04;23.71;NA;NA;NA;
1;21;7.8;ND;5.46;NA;14.7;3.18;12.78;9.42;18.58;NA;NA;NA;
1;22;7.19;ND;9.8;NA;13.43;11.22;12.67;11.35;10.55;NA;NA;NA;
1;23;8.77;ND;7.91;NA;13.44;13.09;14.06;12.83;5.17;NA;NA;NA;
2;0;8.71;ND;8.29;NA;13.24;13.43;17.23;12.7;10.16;NA;NA;NA;
2;1;8.13;ND;7.72;NA;15.05;13.83;19.16;19.3;ND;NA;NA;NA;
2;2;ND;ND;ND;NA;14.29;10.55;12.9;18.14;5.18;NA;NA;NA;
2;3;9.31;ND;11.68;NA;9.52;15.21;16.78;5.67;8.42;NA;NA;NA;
2;4;7.39;ND;6.85;NA;7.56;7.08;17.33;4.05;7.4;NA;NA;NA;
2;5;1.21;ND;2.18;NA;6.26;4.79;3.45;0.81;5.99;NA;NA;NA;
2;6;2.46;ND;2.52;NA;2.29;2.72;4.86;1.37;4.91;NA;NA;NA;
2;7;9.03;ND;8.47;NA;10.11;9.01;18.17;7.26;9.14;NA;NA;NA;
2;8;19.06;ND;17.2;NA;21.08;19.56;30.26;18.94;21.58;NA;NA;NA;
2;9;34.36;ND;31.53;NA;32.06;34.96;39.37;31.71;33.59;NA;NA;NA;
2;10;46.14;ND;38.82;NA;43.83;48.26;56.23;51.95;48.04;NA;NA;NA;
2;11;42.68;ND;44.04;NA;57.93;62.92;68.92;59.43;62.64;NA;NA;NA;
2;12;36.18;ND;43.03;NA;47.95;66.06;72.34;51.61;75.31;NA;NA;NA;
2;13;38.69;ND;47.11;NA;42.76;60.67;79.43;50.86;62.06;NA;NA;NA;
2;14;37.29;ND;44.24;NA;31.65;55.7;72.85;48.02;52;NA;NA;NA;
2;15;35.2;ND;40.71;NA;27.34;47.13;45.81;40.77;45.68;NA;NA;NA;
2;16;32.17;ND;23.6;NA;25.03;32.47;29.43;33.93;34.23;NA;NA;NA;
2;17;32.56;ND;15.27;NA;21.96;22.81;19.49;28.88;26.4;NA;NA;NA;
2;18;28.6;ND;11.65;NA;16.71;13.82;24.21;28.74;25.45;NA;NA;NA;
2;19;22.85;ND;12.04;NA;13.08;15.13;18.91;28.12;19.22;NA;NA;NA;
2;20;16.12;ND;9.38;NA;3.12;5.81;12.58;28.95;18.8;NA;NA;NA;
2;21;11.7;ND;12.26;NA;14.04;7.72;16.19;29.29;13.84;NA;NA;NA;
2;22;15.97;ND;13.43;NA;14.64;13.54;13.59;29.76;10.16;NA;NA;NA;
2;23;18.65;ND;16.7;NA;15.51;22.16;19.88;30.95;15.6;NA;NA;NA;
3;0;23.19;ND;19.63;NA;7.39;17.26;24.71;30.37;24.31;NA;NA;NA;
3;1;23.31;ND;23.21;NA;9.35;21.49;ND;29.11;24.63;NA;NA;NA;
3;2;20.83;ND;23.24;NA;17.78;ND;22.89;28.8;23.53;NA;NA;NA;
3;3;18.81;ND;24.19;NA;20.6;24.6;21.26;29.98;23.05;NA;NA;NA;
3;4;13.98;ND;23.65;NA;21.15;28.61;19.45;28.69;23.94;NA;NA;NA;
3;5;5;ND;17.49;NA;12.01;11.79;13.58;25.8;21.01;NA;NA;NA;
3;6;4.52;ND;8.2;NA;6.03;10.84;6.19;20.14;14.77;NA;NA;NA;
3;7;6.87;ND;7.51;NA;9.97;15.17;12.76;21.9;15.71;NA;NA;NA;
3;8;14.74;ND;15.71;NA;17.25;19.91;24.86;27.61;17.06;NA;NA;NA;
3;9;25.06;ND;20.51;NA;21.5;34.28;37.99;36.87;26.13;NA;NA;NA;
3;10;32.39;ND;28.2;NA;35.05;39.82;46.96;43.01;34.5;NA;NA;NA;
3;11;30.75;ND;28.86;NA;26.75;42.65;41.16;47.62;46.46;NA;NA;NA;
3;12;34.01;32.95;31.77;NA;35.1;48.32;47.46;40.81;41.52;NA;NA;NA;
3;13;33.43;31.47;29.1;NA;25.56;38.5;42.49;42.38;40.87;NA;NA;NA;
3;14;32.79;29.81;28.45;NA;24.88;41.39;42.22;39.94;40.62;NA;NA;NA;
3;15;29.64;26.94;14.92;NA;21.59;23.04;36.22;33.73;23.08;NA;NA;NA;
3;16;27.07;23.34;8.53;NA;17.13;12.4;31.1;28.27;20.42;NA;NA;NA;
3;17;20.84;17.89;5.84;NA;11.19;8.11;32.17;24.75;13.62;NA;NA;NA;
3;18;13.89;15.06;2.72;NA;7.65;3.15;20.24;20.45;14.28;NA;NA;NA;
3;19;8.2;13.75;5.23;NA;5.66;1.64;9.12;16.54;8.34;NA;NA;NA;
3;20;7.09;9.88;0.1;NA;3.73;0.9;11.82;18.19;12.09;NA;NA;NA;
3;21;7.69;8.48;0.11;NA;8.83;3.14;8.64;14.89;17.32;NA;NA;NA;
3;22;6.78;13.79;8.41;NA;13.61;8.41;24.59;12.52;13.02;NA;NA;NA;
3;23;7.84;11.44;11.69;NA;6.16;9.14;19.19;16.65;11.72;NA;NA;NA;
4;0;12.23;13.99;10.16;NA;1.72;7.78;16.69;17.23;7.98;NA;NA;NA;
4;1;11.91;14.99;10.32;NA;14.88;10.71;19.14;16.24;ND;NA;NA;NA;
4;2;ND;11.3;ND;NA;12.47;13.04;15.57;15.53;2.69;NA;NA;NA;
4;3;10.77;12.76;10.97;NA;9.19;12.51;15.27;17.62;2.57;NA;NA;NA;
4;4;4.75;12.06;10.68;NA;6.96;9.33;15.89;13.64;2.97;NA;NA;NA;
4;5;0.99;6.77;5.35;NA;3.97;1.05;11.68;9.29;2.96;NA;NA;NA;
4;6;1.49;0.85;1.11;NA;2.52;1.31;10.72;2.87;3.99;NA;NA;NA;
4;7;2.32;5.31;0.47;NA;3.48;2.11;14.6;3.15;7.06;NA;NA;NA;
4;8;5.99;6.45;2;NA;5.4;2.73;21.77;8.63;8.13;NA;NA;NA;
4;9;10.53;9.55;5.56;NA;9;7.76;14.67;11.62;9.57;NA;NA;NA;
4;10;15.92;17.6;9.05;NA;12.85;16.23;25.07;16.06;11.32;NA;NA;NA;
4;11;19.03;20.35;15.25;NA;17.4;21.68;35.61;19.28;17.55;NA;NA;NA;
4;12;40.1;37.06;32.9;NA;28.01;38.01;48.51;17.8;33.06;NA;NA;NA;
4;13;57.88;53.63;48.96;NA;40.45;49.09;58.58;47.98;30.86;NA;NA;NA;
4;14;49.76;51.04;46.7;NA;50.98;59.55;72.81;60.62;34.25;NA;NA;NA;
4;15;39.03;ND;40.67;NA;49.06;56.11;52.58;58.91;49.56;NA;NA;NA;
4;16;32.68;ND;28.72;NA;32.17;38.09;50.47;43.24;46.38;NA;NA;NA;
4;17;26.87;36.52;12.43;NA;22.06;24.55;29.24;35.97;30.69;NA;NA;NA;
4;18;20.73;26.85;3.66;NA;7.92;14.77;9.25;24.78;17.41;NA;NA;NA;
4;19;13.16;24.99;0.11;NA;3.2;1.8;9.15;21.21;21.51;NA;NA;NA;
