DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;ND;0.46;0.25;NA;0.47;ND;ND;NA;ND;NA;NA;NA;
1;1;0.42;0.42;0.22;NA;0.47;0.32;0.11;NA;ND;NA;NA;NA;
1;2;0.39;0.28;0.2;NA;0.35;0.3;0.1;NA;ND;NA;NA;NA;
1;3;0.33;0.38;0.18;NA;0.39;0.29;0.11;NA;ND;NA;NA;NA;
1;4;0.34;0.33;0.19;NA;0.53;0.37;0.11;NA;ND;NA;NA;NA;
1;5;0.47;0.97;0.22;NA;0.82;0.49;0.16;NA;ND;NA;NA;NA;
1;6;0.98;2.95;0.58;NA;2.1;0.95;0.34;NA;ND;NA;NA;NA;
1;7;1.12;1.28;0.81;NA;1.72;0.9;0.32;NA;ND;NA;NA;NA;
1;8;0.6;0.43;0.54;NA;1.07;0.6;0.23;NA;ND;NA;NA;NA;
1;9;0.41;0.4;0.52;NA;0.54;0.41;0.19;NA;ND;NA;NA;NA;
1;10;0.39;0.38;0.5;NA;0.55;0.39;0.26;NA;ND;NA;NA;NA;
1;11;0.36;0.5;0.53;NA;0.52;0.43;0.29;NA;ND;NA;NA;NA;
1;12;0.39;0.57;0.51;NA;0.5;0.4;0.27;NA;ND;NA;NA;NA;
1;13;0.38;0.57;0.51;NA;0.51;0.34;0.29;NA;ND;NA;NA;NA;
1;14;0.37;0.48;0.48;NA;0.5;0.35;0.29;NA;ND;NA;NA;NA;
1;15;0.38;0.49;0.52;NA;0.51;0.38;0.35;NA;ND;NA;NA;NA;
1;16;0.34;0.41;0.67;NA;0.52;0.41;0.35;NA;ND;NA;NA;NA;
1;17;0.46;0.5;0.72;NA;0.64;0.39;0.41;NA;ND;NA;NA;NA;
1;18;0.55;0.45;0.81;NA;0.61;0.54;0.41;NA;ND;NA;NA;NA;
1;19;0.61;0.57;0.74;NA;0.84;0.65;0.48;NA;ND;NA;NA;NA;
1;20;0.78;0.61;0.68;NA;0.83;0.55;0.58;NA;ND;NA;NA;NA;
1;21;0.72;0.63;0.52;NA;0.71;0.53;0.51;NA;ND;NA;NA;NA;
1;22;0.8;0.54;0.39;NA;0.66;0.4;0.35;NA;ND;NA;NA;NA;
1;23;0.62;0.46;0.36;NA;0.53;0.34;0.31;NA;ND;NA;NA;NA;
2;0;0.42;ND;ND;NA;ND;0.37;0.29;NA;ND;NA;NA;NA;
2;1;0.38;0.3;0.26;NA;0.43;0.28;0.25;NA;ND;NA;NA;NA;
2;2;0.39;0.29;0.23;NA;0.47;0.26;0.24;NA;ND;NA;NA;NA;
2;3;0.35;0.23;0.3;NA;0.55;0.41;0.22;NA;ND;NA;NA;NA;
2;4;0.4;0.18;0.43;NA;0.84;0.67;0.23;NA;ND;NA;NA;NA;
2;5;0.57;0.25;0.4;NA;0.95;0.67;0.44;NA;ND;NA;NA;NA;
2;6;0.82;0.59;0.45;NA;1.37;1.18;0.64;NA;ND;NA;NA;NA;
2;7;0.78;0.62;1.02;NA;1.16;1.51;0.68;NA;ND;NA;NA;NA;
2;8;0.75;0.5;1.26;NA;1.37;1.71;0.44;NA;ND;NA;NA;NA;
2;9;0.6;0.37;0.8;NA;1.22;0.83;0.32;NA;ND;NA;NA;NA;
2;10;0.46;0.47;0.49;NA;0.73;0.52;0.3;NA;ND;NA;NA;NA;
2;11;0.44;0.43;0.59;NA;0.66;0.45;0.31;NA;ND;NA;NA;NA;
2;12;0.41;0.56;0.47;NA;0.62;0.38;0.3;NA;ND;NA;NA;NA;
2;13;0.37;0.54;0.41;NA;0.6;0.42;0.31;NA;ND;NA;NA;NA;
2;14;0.4;0.65;0.47;NA;0.58;0.35;0.38;NA;ND;NA;NA;NA;
2;15;0.41;0.49;0.4;NA;0.57;0.37;0.34;NA;ND;NA;NA;NA;
2;16;0.4;0.41;0.5;NA;0.54;0.38;0.36;NA;ND;NA;NA;NA;
