DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;1.13;0.68;ND;NA;0.84;ND;ND;NA;ND;NA;NA;NA;
1;1;0.67;0.5;0.48;NA;1.07;1.32;0.33;NA;ND;NA;NA;NA;
1;2;0.72;0.38;0.49;NA;1.23;1.02;0.28;NA;ND;NA;NA;NA;
1;3;0.71;0.32;0.46;NA;1.26;1;0.39;NA;ND;NA;NA;NA;
1;4;0.57;0.51;0.47;NA;1.08;1.07;0.51;NA;ND;NA;NA;NA;
1;5;0.9;0.72;0.8;NA;1.36;1.33;0.58;NA;ND;NA;NA;NA;
1;6;2.41;1.88;0.79;NA;3.42;2.49;0.49;NA;ND;NA;NA;NA;
1;7;2.32;0.98;2.47;NA;2.93;2.65;0.44;NA;ND;NA;NA;NA;
1;8;1.52;0.69;1.89;NA;1.36;1.5;0.36;NA;ND;NA;NA;NA;
1;9;0.5;0.63;1.15;NA;0.7;0.89;0.32;NA;ND;NA;NA;NA;
1;10;0.4;0.55;0.79;NA;0.69;0.72;0.4;NA;ND;NA;NA;NA;
1;11;0.33;0.47;0.56;NA;0.54;0.67;0.38;NA;ND;NA;NA;NA;
1;12;0.3;0.58;0.47;NA;0.5;0.64;0.38;NA;ND;NA;NA;NA;
1;13;0.31;0.53;0.57;NA;0.54;0.61;0.41;NA;ND;NA;NA;NA;
1;14;0.3;0.55;0.5;NA;0.59;0.62;0.45;NA;ND;NA;NA;NA;
1;15;0.29;0.55;0.53;NA;0.72;0.8;0.52;NA;ND;NA;NA;NA;
1;16;0.3;0.52;0.74;NA;0.72;1.05;0.88;NA;ND;NA;NA;NA;
1;17;0.4;0.52;1.11;NA;0.8;1.22;0.62;NA;ND;NA;NA;NA;
1;18;0.53;0.52;1.2;NA;1.15;1.12;0.84;NA;ND;NA;NA;NA;
1;19;0.65;0.53;1.12;NA;1.29;1.55;0.87;NA;ND;NA;NA;NA;
1;20;0.68;0.54;1.14;NA;1.33;1.41;0.6;NA;ND;NA;NA;NA;
1;21;0.84;0.68;0.74;NA;0.89;1.03;0.49;NA;ND;NA;NA;NA;
1;22;0.57;0.57;ND;NA;0.97;0.96;0.43;NA;ND;NA;NA;NA;
1;23;0.54;0.55;ND;NA;0.65;0.94;0.42;NA;ND;NA;NA;NA;
2;0;ND;ND;0.68;NA;ND;0.86;0.63;NA;ND;NA;NA;NA;
2;1;0.39;0.42;0.53;NA;0.41;0.75;0.54;NA;ND;NA;NA;NA;
2;2;0.42;0.43;0.44;NA;0.51;0.82;0.51;NA;ND;NA;NA;NA;
2;3;0.41;0.42;0.49;NA;0.71;0.89;0.45;NA;ND;NA;NA;NA;
