DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;0.37;ND;0.44;NA;0.29;0.47;0.2;NA;ND;NA;NA;NA;
1;1;0.4;0.36;0.41;NA;0.25;0.44;0.18;NA;ND;NA;NA;NA;
1;2;0.3;0.39;0.41;NA;0.21;0.45;0.17;NA;ND;NA;NA;NA;
1;3;0.32;0.42;0.41;NA;0.27;0.46;0.18;NA;ND;NA;NA;NA;
1;4;0.38;0.4;0.41;NA;0.27;0.48;0.19;NA;ND;NA;NA;NA;
1;5;0.43;0.44;0.43;NA;0.27;0.56;0.25;NA;ND;NA;NA;NA;
1;6;0.47;0.73;0.48;NA;0.36;0.69;0.45;NA;ND;NA;NA;NA;
1;7;0.49;0.76;0.58;NA;0.71;0.76;0.5;NA;ND;NA;NA;NA;
1;8;0.52;0.6;0.63;NA;0.55;0.7;0.45;NA;ND;NA;NA;NA;
1;9;0.53;0.58;0.62;NA;0.4;0.59;0.44;NA;ND;NA;NA;NA;
1;10;0.48;0.61;0.62;NA;0.4;0.63;0.42;NA;ND;NA;NA;NA;
1;11;0.47;0.63;0.61;NA;0.41;0.6;0.36;NA;ND;NA;NA;NA;
1;12;0.48;0.65;0.66;NA;0.41;0.65;0.44;NA;ND;NA;NA;NA;
1;13;0.48;0.63;0.69;NA;0.42;0.7;0.44;NA;ND;NA;NA;NA;
1;14;0.44;0.59;0.6;NA;0.46;0.64;0.56;NA;ND;NA;NA;NA;
1;15;0.46;0.6;0.64;NA;0.46;0.61;0.47;NA;ND;NA;NA;NA;
1;16;0.49;0.61;0.63;NA;0.46;0.69;0.47;NA;ND;NA;NA;NA;
1;17;0.49;0.67;0.63;NA;0.51;0.71;0.46;NA;ND;NA;NA;NA;
1;18;0.66;0.76;0.8;NA;0.61;0.93;0.44;NA;ND;NA;NA;NA;
1;19;0.61;0.88;0.76;NA;0.66;1.05;0.43;NA;ND;NA;NA;NA;
1;20;0.8;0.8;0.76;NA;0.67;1.11;0.37;NA;ND;NA;NA;NA;
1;21;0.72;0.62;0.63;NA;0.77;0.82;0.29;NA;ND;NA;NA;NA;
1;22;0.63;0.69;0.52;NA;0.51;0.67;0.25;NA;ND;NA;NA;NA;
1;23;0.43;0.57;0.5;NA;0.3;0.61;0.23;NA;ND;NA;NA;NA;
2;0;ND;0.63;ND;NA;ND;ND;ND;NA;ND;NA;NA;NA;
2;1;0.3;0.6;0.47;NA;0.44;0.54;0.21;NA;ND;NA;NA;NA;
2;2;0.31;0.65;0.45;NA;0.39;0.49;0.2;NA;ND;NA;NA;NA;
2;3;0.38;0.68;0.46;NA;0.35;0.49;0.2;NA;ND;NA;NA;NA;
2;4;0.41;0.6;0.45;NA;0.39;0.54;0.22;NA;ND;NA;NA;NA;
2;5;0.39;0.73;0.48;NA;0.49;0.58;0.23;NA;ND;NA;NA;NA;
2;6;0.38;0.54;0.51;NA;0.99;0.72;0.31;NA;ND;NA;NA;NA;
2;7;0.46;0.59;0.56;NA;0.41;0.67;0.38;NA;ND;NA;NA;NA;
2;8;0.45;0.46;0.65;NA;0.35;0.55;0.42;NA;ND;NA;NA;NA;
2;9;0.41;0.46;0.49;NA;0.37;0.51;0.35;NA;ND;NA;NA;NA;
2;10;0.38;0.49;0.58;NA;0.37;0.49;0.29;NA;ND;NA;NA;NA;
