DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;21.67;19.33;18.49;NA;28.33;22.68;NA;NA;ND;NA;NA;NA;
1;1;13.55;11.03;17.11;NA;18.44;19.09;NA;NA;ND;NA;NA;NA;
1;2;11.25;3.25;15.19;NA;24.58;19.46;NA;NA;ND;NA;NA;NA;
1;3;10.37;10.53;16.66;NA;7.97;13.8;NA;NA;ND;NA;NA;NA;
1;4;4.08;6.26;12.87;NA;15.8;17.23;NA;NA;ND;NA;NA;NA;
1;5;16.4;10.04;9.82;NA;5.81;12.38;NA;NA;ND;NA;NA;NA;
1;6;10.77;15.95;7.54;NA;17.91;4.82;NA;NA;ND;NA;NA;NA;
1;7;9.87;12.31;4.96;NA;19.16;15.87;NA;NA;ND;NA;NA;NA;
1;8;18.73;20.13;7.79;NA;12.64;2.67;NA;NA;ND;NA;NA;NA;
1;9;18.51;7.37;19.31;NA;9.7;3.03;NA;NA;ND;NA;NA;NA;
1;10;19.25;7.06;14.51;NA;7.99;8.71;NA;NA;ND;NA;NA;NA;
1;11;22.13;13.44;13.37;NA;20.39;8.93;NA;NA;ND;NA;NA;NA;
1;12;17.44;20.7;11.83;NA;8.25;12.97;NA;NA;ND;NA;NA;NA;
1;13;19.64;16.43;9.97;NA;4.63;21.38;NA;NA;ND;NA;NA;NA;
1;14;7.68;13.44;28.41;NA;19.95;31.33;NA;NA;ND;NA;NA;NA;
1;15;7.84;19.8;15.45;NA;21.28;18.58;NA;NA;ND;NA;NA;NA;
1;16;10.4;21.67;10.79;NA;5.45;6.59;NA;NA;ND;NA;NA;NA;
1;17;4.36;10.21;0.52;NA;11.34;14;NA;NA;ND;NA;NA;NA;
1;18;11.48;24.3;14.43;NA;18.89;15.66;NA;NA;ND;NA;NA;NA;
1;19;3.85;1.58;16.98;NA;47.3;18.38;NA;NA;ND;NA;NA;NA;
1;20;2.99;8.35;13.32;NA;23.01;17.74;NA;NA;ND;NA;NA;NA;
1;21;6.82;4.28;16.03;NA;19.59;16.8;NA;NA;ND;NA;NA;NA;
1;22;6.32;4.85;10.68;NA;18.41;14.57;NA;NA;ND;NA;NA;NA;
1;23;0;1.63;8.77;NA;ND;6.83;NA;NA;ND;NA;NA;NA;
2;0;3.23;2.81;0.11;NA;0.62;10.18;NA;NA;ND;NA;NA;NA;
2;1;0.79;5.35;7.94;NA;3.88;9.49;NA;NA;ND;NA;NA;NA;
2;2;4.28;7.07;3.47;NA;5.56;3.89;NA;NA;ND;NA;NA;NA;
2;3;1.78;2.75;2.6;NA;6.28;2.8;NA;NA;ND;NA;NA;NA;
2;4;6.41;4.21;5.37;NA;10.5;4.99;NA;NA;ND;NA;NA;NA;
2;5;4.68;7.8;6.92;NA;8.49;7.9;NA;NA;ND;NA;NA;NA;
2;6;14.17;23.68;7.97;NA;24.46;14.39;NA;NA;ND;NA;NA;NA;
2;7;19.21;27.11;19.47;NA;50.25;21.63;NA;NA;ND;NA;NA;NA;
2;8;7.47;12.41;9.81;NA;28.08;6.48;NA;NA;ND;NA;NA;NA;
2;9;16.19;15.34;8.98;NA;17.8;4.6;NA;NA;ND;NA;NA;NA;
2;10;22.75;9.53;22.37;NA;16.08;14.41;NA;NA;ND;NA;NA;NA;
2;11;23.64;6.06;8.76;NA;20.95;9.26;NA;NA;ND;NA;NA;NA;
2;12;18.37;6.1;16.2;NA;14.38;13.98;NA;NA;ND;NA;NA;NA;
2;13;19.48;9.35;20.05;NA;12.57;17.08;NA;NA;ND;NA;NA;NA;
2;14;17.74;25.35;16.34;NA;12.85;14.61;NA;NA;ND;NA;NA;NA;
2;15;3.94;6.92;15.21;NA;8.07;10.19;NA;NA;ND;NA;NA;NA;
2;16;6.77;19.39;16.59;NA;15.34;25.02;NA;NA;ND;NA;NA;NA;
2;17;6.18;28.99;14.2;NA;10.25;15.34;NA;NA;ND;NA;NA;NA;
2;18;9.92;20.11;20.08;NA;22.29;16.09;NA;NA;ND;NA;NA;NA;
2;19;9.27;24.69;22.02;NA;24.37;16.77;NA;NA;ND;NA;NA;NA;
2;20;11.28;22.08;14.59;NA;21.55;23.06;NA;NA;ND;NA;NA;NA;
2;21;9.97;19.44;24.12;NA;26.76;30.47;NA;NA;ND;NA;NA;NA;
2;22;12.01;20.76;28.72;NA;11.92;26.6;NA;NA;ND;NA;NA;NA;
2;23;6.09;22.2;14.65;NA;ND;28.75;NA;NA;ND;NA;NA;NA;
3;0;10.59;13.2;19.63;NA;16.3;7.66;NA;NA;ND;NA;NA;NA;
3;1;16.66;18.99;19.47;NA;32.61;16.81;NA;NA;ND;NA;NA;NA;
3;2;17.67;16.56;15.29;NA;23.18;29.64;NA;NA;ND;NA;NA;NA;
3;3;21.29;20.95;15.7;NA;12.32;27.41;NA;NA;ND;NA;NA;NA;
3;4;10.49;13.52;15.87;NA;15.85;27.68;NA;NA;ND;NA;NA;NA;
3;5;17.69;33.96;14.79;NA;39.48;22.82;NA;NA;ND;NA;NA;NA;
3;6;29.59;44.97;27.33;NA;38.75;30.43;NA;NA;ND;NA;NA;NA;
3;7;32.34;40.48;46.22;NA;49.43;42.74;NA;NA;ND;NA;NA;NA;
3;8;38.49;36.92;59.44;NA;60.49;62.5;NA;NA;ND;NA;NA;NA;
3;9;22.93;28.41;48.04;NA;69.52;63.35;NA;NA;ND;NA;NA;NA;
3;10;21.52;35.19;41.31;NA;23.08;19.06;NA;NA;ND;NA;NA;NA;
3;11;39.35;29.27;20.6;NA;13.67;16.61;NA;NA;ND;NA;NA;NA;
3;12;28.36;13.33;23.64;NA;31.86;23.87;NA;NA;ND;NA;NA;NA;
3;13;23.11;14.47;21.32;NA;12.81;14.13;NA;NA;ND;NA;NA;NA;
3;14;33.88;32.38;28.52;NA;34.1;29.11;NA;NA;ND;NA;NA;NA;
3;15;8.01;29.63;19.54;NA;12.71;22.87;NA;NA;ND;NA;NA;NA;
3;16;7.75;11.54;19.53;NA;29.33;30.5;NA;NA;ND;NA;NA;NA;
3;17;18.33;39.08;24.87;NA;35.35;31.31;NA;NA;ND;NA;NA;NA;
3;18;18.67;25.41;24.38;NA;46.3;32.58;NA;NA;ND;NA;NA;NA;
3;19;25.63;36.17;10.01;NA;46.74;20.17;NA;NA;ND;NA;NA;NA;
3;20;22.21;32.21;20.27;NA;50.65;27.1;NA;NA;ND;NA;NA;NA;
