DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;2.08;0.53;1.65;NA;1.2;1.72;ND;0.86;2.04;NA;NA;NA;
1;1;0.12;0.84;1.93;NA;ND;ND;ND;0.76;2.19;NA;NA;NA;
1;2;0.28;0.42;1.38;NA;2.67;1.64;ND;1.15;3.21;NA;NA;NA;
1;3;0.5;0.17;1.52;NA;2.95;1.99;ND;0.88;5.04;NA;NA;NA;
1;4;0.68;0.05;1.5;NA;3.32;2.12;ND;1.24;3.87;NA;NA;NA;
1;5;1.3;0.28;1.94;NA;2.4;2.36;ND;2.09;4.55;NA;NA;NA;
1;6;1.9;1.72;3.77;NA;3.36;6.45;ND;3.07;7.32;NA;NA;NA;
1;7;2.37;1.67;11.37;NA;5.58;10.51;ND;5.05;14.1;NA;NA;NA;
1;8;4.31;2.04;8.39;NA;4.28;6.13;ND;2.11;14.96;NA;NA;NA;
1;9;4.57;1.98;7.79;NA;4.5;5.53;ND;4.33;3.98;NA;NA;NA;
1;10;2.86;1.8;14.72;NA;5.52;7.29;ND;2.09;1.97;NA;NA;NA;
1;11;2.16;0.99;7.37;NA;6.49;7.38;ND;2.52;17.26;NA;NA;NA;
1;12;0.44;ND;3.97;NA;2.02;3.97;ND;1.52;15.19;NA;NA;NA;
1;13;ND;ND;3.17;NA;2.11;2.65;ND;1.21;11.94;NA;NA;NA;
1;14;0.57;ND;3.28;NA;1.34;1.53;ND;0.82;1.76;NA;NA;NA;
1;15;0.59;0.6;2.9;NA;1.26;1.58;ND;0.89;1.61;NA;NA;NA;
1;16;0.56;1.09;3.51;NA;1.66;1.3;ND;0.67;2.54;NA;NA;NA;
1;17;0.5;1.27;3.69;NA;1.7;1.64;ND;0.67;2.44;NA;NA;NA;
1;18;0.96;1.51;4.4;NA;2.02;1.41;ND;0.84;1.62;NA;NA;NA;
1;19;2.91;2.1;4.79;NA;2.56;2.1;ND;1.01;2.09;NA;NA;NA;
1;20;3.67;4.39;4.09;NA;3.21;2.52;ND;0.99;3.97;NA;NA;NA;
1;21;3.11;4.87;3.94;NA;4.28;2.24;ND;1.16;7.47;NA;NA;NA;
1;22;3.94;4.16;6.1;NA;4.82;2.55;ND;2.1;8.72;NA;NA;NA;
1;23;2.21;6.9;4.9;NA;23.44;6.23;ND;2.09;11.62;NA;NA;NA;
2;0;1.45;3.34;10.13;NA;20.56;7.3;ND;1.9;10.93;NA;NA;NA;
2;1;ND;3.69;ND;NA;20.05;4.88;ND;1.97;9.98;NA;NA;NA;
2;2;2.6;4.3;7.92;NA;41.36;3.62;ND;2.02;9.48;NA;NA;NA;
2;3;1.46;5.88;13.87;NA;82.15;5.62;ND;2.58;8.77;NA;NA;NA;
2;4;1.61;4.08;6.05;NA;70.5;3.91;ND;3.06;10.16;NA;NA;NA;
2;5;1.88;50.11;5.9;NA;129.18;3.97;ND;2.28;9.46;NA;NA;NA;
2;6;2.83;58.23;7.08;NA;113.79;5.95;ND;3.58;11.5;NA;NA;NA;
2;7;6.04;19.76;14.33;NA;33.41;7.54;ND;5.67;15.89;NA;NA;NA;
2;8;5.86;13.92;17.36;NA;16.82;11;ND;12.36;17.64;NA;NA;NA;
2;9;4.7;9.48;9.41;NA;7.16;6.78;ND;9.99;7.64;NA;NA;NA;
2;10;4.31;8.78;9.12;NA;8.96;9.94;ND;3.77;28.03;NA;NA;NA;
2;11;2.87;4.58;4.32;NA;6.09;5.04;ND;2.26;13.13;NA;NA;NA;
2;12;1.5;2.22;5.3;NA;1.5;3.41;ND;3.33;11.71;NA;NA;NA;
2;13;0.66;1.71;3.26;NA;1.14;2.73;ND;1.48;17.21;NA;NA;NA;
2;14;0.47;0.95;2.46;NA;1.23;2.02;ND;0.67;12.51;NA;NA;NA;
2;15;0.69;1.33;2.67;NA;1.02;1.76;ND;0.6;4.49;NA;NA;NA;
2;16;0.52;1.47;3.09;NA;1.36;1.83;ND;0.6;1.19;NA;NA;NA;
2;17;0.58;1.24;2.81;NA;1.45;1.6;ND;0.89;1.34;NA;NA;NA;
2;18;1.2;1.4;2.66;NA;1.29;1.52;ND;1.1;1.91;NA;NA;NA;
2;19;1.91;1.58;2.81;NA;2.09;2.08;ND;0.9;1.92;NA;NA;NA;
2;20;1.4;1.31;2.77;NA;3.32;1.89;ND;0.98;9.84;NA;NA;NA;
2;21;1.08;1.6;2.63;NA;3.02;1.98;ND;1.31;3.35;NA;NA;NA;
2;22;1.18;1.84;3.77;NA;2.15;4.88;ND;1.31;20.99;NA;NA;NA;
2;23;1.09;1.79;6.02;NA;7.93;17.12;ND;0.97;8.55;NA;NA;NA;
3;0;0.99;1.54;9.86;NA;6.29;14.13;ND;1.09;5.97;NA;NA;NA;
3;1;1.07;ND;5.96;NA;ND;ND;ND;0.84;3.59;NA;NA;NA;
