DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;5.96;14.94;0.38;NA;0.24;1.25;10.34;ND;1.31;NA;NA;NA;
1;1;9.15;7.43;2.2;NA;0;0.68;14.23;0.21;ND;NA;NA;NA;
1;2;ND;ND;ND;NA;ND;5.61;6.48;0.2;0.04;NA;NA;NA;
1;3;3.24;3.03;1.55;NA;0.85;2.15;23.57;0.49;0.01;NA;NA;NA;
1;4;2.83;0;1.55;NA;0.51;4.81;3.23;0;1.5;NA;NA;NA;
1;5;0.6;0;0.16;NA;1.02;1.79;1.24;0;0.5;NA;NA;NA;
1;6;2.99;3.55;2.07;NA;3.79;3.02;4.26;1.32;0.85;NA;NA;NA;
1;7;9.63;12.03;8.01;NA;10.57;11.39;12.73;3.03;6.24;NA;NA;NA;
1;8;23.45;26.59;17.45;NA;21.1;15.86;42.29;11.38;16.51;NA;NA;NA;
1;9;39.59;39.01;22.22;NA;41.06;37.2;111.63;31.05;42.8;NA;NA;NA;
1;10;62.87;65.66;53.48;NA;ND;51.8;90.78;57.9;57.8;NA;NA;NA;
1;11;ND;83.22;74.35;NA;ND;69.09;91.95;78.84;52.2;NA;NA;NA;
1;12;72.8;86.65;91.4;NA;91.03;93.69;89.94;88.52;91.35;NA;NA;NA;
1;13;57.39;77.97;84.87;NA;81.18;98.53;90.97;90.4;101.65;NA;NA;NA;
1;14;ND;73.48;79.45;NA;74.77;85.06;88.2;85.29;93.33;NA;NA;NA;
1;15;52.55;64.56;76.04;NA;53.5;69.07;75.72;73.95;75.23;NA;NA;NA;
1;16;46.39;60.13;55.55;NA;38.09;51.79;65.42;61.61;55.89;NA;NA;NA;
1;17;37.65;53.82;19.76;NA;30;37.91;42.66;48.02;40.39;NA;NA;NA;
1;18;28.86;42.29;8.44;NA;29.75;9.98;24.3;38.29;35.97;NA;NA;NA;
1;19;26.51;28.98;3.25;NA;20.25;7.55;17.23;28.05;38.58;NA;NA;NA;
1;20;8.02;26.93;2.92;NA;5.3;1.35;34.23;26.31;16.48;NA;NA;NA;
