DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;16.5;5.41;37.48;NA;10.84;26.56;41.91;5.43;13.96;NA;NA;NA;
1;1;10.7;11.44;44.25;NA;21.76;38.12;43.54;ND;8.02;NA;NA;NA;
1;2;ND;ND;45.21;NA;28.15;ND;44.72;6.74;13.28;NA;NA;NA;
1;3;4.48;8.09;41.65;NA;38.88;31.65;42.58;2.34;15.13;NA;NA;NA;
1;4;3.48;4.36;40.5;NA;29.87;29.21;40.89;3.09;6.79;NA;NA;NA;
1;5;2.46;3.18;37.66;NA;15.44;23.97;40.07;0.76;1.72;NA;NA;NA;
1;6;3.6;5.68;31.25;NA;9.65;20.23;38.51;1.94;2.92;NA;NA;NA;
1;7;22.77;22.31;36.84;NA;20.71;29.86;40.58;6.8;10.47;NA;NA;NA;
1;8;42.42;30.16;41.26;NA;36.68;39.46;43;22.5;33.97;NA;NA;NA;
1;9;48.17;47.73;43.5;NA;42.53;47.34;46.69;42.97;49.61;NA;NA;NA;
1;10;52.09;58.57;45.94;NA;53.64;54.4;50.92;46.32;59.36;NA;NA;NA;
1;11;50.82;67.28;45.61;NA;60.12;53.34;52.79;46.57;59.33;NA;NA;NA;
1;12;56.57;60.58;45.08;NA;54.49;54.57;48.86;47.7;52.14;NA;NA;NA;
1;13;48.62;55.66;43.66;NA;47.7;50.44;48.8;46.56;49.76;NA;NA;NA;
1;14;43.55;51.96;42.58;NA;45.61;45.67;49.04;43.35;49.69;NA;NA;NA;
1;15;33.92;47.32;28.39;NA;32.41;38.27;41.82;38.71;43.71;NA;NA;NA;
1;16;25.82;44.66;21.66;NA;22.01;27.24;34.2;37.86;38.24;NA;NA;NA;
1;17;14.5;42.68;26.9;NA;24.82;32.94;32.15;36.06;37.17;NA;NA;NA;
1;18;12.21;35.23;18.76;NA;16.39;29.07;32.1;34.38;38.08;NA;NA;NA;
1;19;4.45;32.82;15.54;NA;18.26;18.61;27.13;24.73;23.02;NA;NA;NA;
1;20;4.21;24.43;11.51;NA;29.77;18.95;33.69;17.91;28.12;NA;NA;NA;
1;21;5.42;21.92;13.65;NA;22.98;14.87;35.82;10.67;13.5;NA;NA;NA;
1;22;1.63;13.65;28.74;NA;34.34;21.88;41.46;2.61;20.83;NA;NA;NA;
1;23;1.73;24.28;35.55;NA;22.17;27.74;42.94;1.26;21.12;NA;NA;NA;
2;0;4;10.37;38.96;NA;24.17;29.96;44.44;2.51;8.19;NA;NA;NA;
2;1;7.85;3.21;42.43;NA;44.23;33.71;45.79;1.37;18.01;NA;NA;NA;
2;2;10.62;5.46;ND;NA;ND;39.77;ND;1.05;ND;NA;NA;NA;
2;3;5.9;3.84;46;NA;42.28;36.88;48.17;1.06;16.85;NA;NA;NA;
2;4;3.82;8.74;49.04;NA;40.55;37.31;45.65;1.39;18.24;NA;NA;NA;
2;5;3.65;5.72;44.6;NA;32.78;31.74;45.14;0.65;20.17;NA;NA;NA;
2;6;3.77;10.84;43.01;NA;35.02;28.56;37.7;1.84;13.08;NA;NA;NA;
2;7;18.17;23.59;43.11;NA;28.84;27.8;41.31;8.71;19.3;NA;NA;NA;
2;8;41.75;33.81;46.2;NA;37.8;43.27;47.36;32.91;40.79;NA;NA;NA;
2;9;52.15;48.07;52.75;NA;48.12;51.62;49.89;45.08;52.43;NA;NA;NA;
2;10;57.83;61.48;55.18;NA;49.28;55.92;50.56;56.79;55.29;NA;NA;NA;
2;11;61.81;67.51;60.29;NA;59.1;63.09;55.97;54.23;60;NA;NA;NA;
2;12;61.65;63.69;54.54;NA;58.22;59.37;59.64;58.57;61.45;NA;NA;NA;
2;13;61.89;64.93;52.21;NA;56.45;58.76;59.57;54.17;59.92;NA;NA;NA;
2;14;62.05;62.03;53.67;NA;60.91;56.79;59.52;55.8;59.89;NA;NA;NA;
2;15;64.16;65.83;56.43;NA;61.76;61.77;56.04;62.06;60.6;NA;NA;NA;
2;16;61.37;64.89;56.15;NA;51.3;56.26;46.75;55.72;51.85;NA;NA;NA;
