DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;7.72;15.8;28.57;NA;ND;27.09;NA;NA;22.82;NA;NA;NA;
1;1;13.25;17.59;18.13;NA;ND;22.52;NA;NA;15.41;NA;NA;NA;
1;2;12.31;13.87;19.86;NA;ND;18.83;NA;NA;13.03;NA;NA;NA;
1;3;10.73;17.18;12.43;NA;ND;17.21;NA;NA;14.94;NA;NA;NA;
1;4;7.14;16.96;7.17;NA;ND;18.87;NA;NA;26.88;NA;NA;NA;
1;5;14.72;16.83;8.86;NA;ND;12.97;NA;NA;14.61;NA;NA;NA;
1;6;32.51;29.86;18.44;NA;ND;18.82;NA;NA;28.57;NA;NA;NA;
1;7;18.86;5.55;19.67;NA;ND;24.61;NA;NA;15.35;NA;NA;NA;
1;8;18.09;0;31.23;NA;ND;20.17;NA;NA;22.77;NA;NA;NA;
1;9;14.64;14.21;23.64;NA;ND;13.31;NA;NA;37.23;NA;NA;NA;
1;10;11.05;7.23;11.46;NA;ND;7.96;NA;NA;38.04;NA;NA;NA;
1;11;13.75;2.64;17.9;NA;ND;10.87;NA;NA;17.58;NA;NA;NA;
1;12;18.8;3.68;ND;NA;ND;6.03;NA;NA;9.89;NA;NA;NA;
1;13;6.06;9.36;ND;NA;ND;6.7;NA;NA;9.27;NA;NA;NA;
1;14;12.76;14.06;ND;NA;ND;11.14;NA;NA;8.87;NA;NA;NA;
1;15;14.16;7.44;15.42;NA;ND;11.97;NA;NA;9.95;NA;NA;NA;
1;16;8.34;10.95;11.09;NA;ND;10.43;NA;NA;11.83;NA;NA;NA;
1;17;10.79;21.52;16.19;NA;ND;7.22;NA;NA;27.62;NA;NA;NA;
1;18;10.37;20.87;15.7;NA;ND;16.22;NA;NA;5.73;NA;NA;NA;
1;19;15.85;25.44;16.48;NA;ND;21.02;NA;NA;28.89;NA;NA;NA;
1;20;15.81;22.1;19.21;NA;ND;21.35;NA;NA;13.83;NA;NA;NA;
1;21;7.62;8.8;3.27;NA;ND;6.9;NA;NA;13.16;NA;NA;NA;
1;22;10.07;6.77;13.3;NA;ND;7.97;NA;NA;30.68;NA;NA;NA;
1;23;2.69;1.64;10.23;NA;ND;10.16;NA;NA;8.37;NA;NA;NA;
2;0;10.81;1.78;15.16;NA;ND;5.29;NA;NA;17.04;NA;NA;NA;
2;1;13.7;8.26;14.98;NA;ND;12.96;NA;NA;20.74;NA;NA;NA;
2;2;8.86;10.97;16.81;NA;ND;16.77;NA;NA;28.16;NA;NA;NA;
2;3;13.52;6.31;15.53;NA;ND;16.23;NA;NA;12.02;NA;NA;NA;
