DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;2.57;0.73;5.73;NA;ND;15.91;2.95;1.17;19.72;NA;NA;NA;
1;1;1.95;ND;ND;NA;ND;17.73;1.83;0.84;ND;NA;NA;NA;
1;2;1.62;0.76;7.91;NA;ND;13.42;1.62;0.77;26.61;NA;NA;NA;
1;3;1.59;0.83;4.78;NA;ND;10.25;2.1;0.95;7.61;NA;NA;NA;
1;4;1.6;1.69;3.6;NA;ND;7.79;3.41;0.89;7.04;NA;NA;NA;
1;5;1.9;1.74;3.31;NA;ND;6.49;3.32;0.6;5.87;NA;NA;NA;
1;6;3.58;5.25;5.01;NA;ND;6.49;4.77;0.81;8;NA;NA;NA;
1;7;4.05;5.33;5.78;NA;ND;6.76;3.95;3.22;27.36;NA;NA;NA;
1;8;3.88;2.6;6.57;NA;ND;5.37;1.85;22.2;77.9;NA;NA;NA;
1;9;3.25;2.57;3.64;NA;ND;5.44;1.29;19.2;199.42;NA;NA;NA;
1;10;3.88;3.17;2.64;NA;ND;3.69;5.76;6.52;46.41;NA;NA;NA;
1;11;3.24;3.17;ND;NA;ND;3.04;9.88;ND;6.68;NA;NA;NA;
1;12;3.25;1.98;0.63;NA;ND;2.91;5.2;ND;11.62;NA;NA;NA;
1;13;1.86;1.27;0.78;NA;ND;2.6;4.99;1.39;22.9;NA;NA;NA;
1;14;0.95;1.72;ND;NA;ND;2.28;3.38;1.64;22.21;NA;NA;NA;
1;15;0.98;1.77;0.95;NA;ND;2.15;1.79;2.08;12.77;NA;NA;NA;
1;16;1.12;1.65;1.4;NA;ND;2.86;1.32;1.92;9.32;NA;NA;NA;
1;17;1.22;1.6;2.5;NA;ND;3.75;1.17;1.47;3.58;NA;NA;NA;
1;18;1.87;1.81;3.98;NA;ND;3.99;1.27;1.1;7.25;NA;NA;NA;
1;19;1.83;1.68;4.6;NA;ND;5.18;4.66;1.15;11.28;NA;NA;NA;
1;20;2.22;1.38;3.09;NA;ND;5.21;21.13;0.95;3.62;NA;NA;NA;
1;21;4.68;1.29;3.47;NA;ND;4.58;16.84;0.91;8.14;NA;NA;NA;
1;22;4.01;1.95;5.61;NA;ND;5.37;11.59;1.02;15.32;NA;NA;NA;
