DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;5.97;14.24;30.08;NA;34.38;10.68;NA;NA;22.95;NA;NA;NA;
1;1;21.15;13.13;20.36;NA;22.86;17.25;NA;NA;16.55;NA;NA;NA;
1;2;14.13;14.82;20.87;NA;14.17;18.97;NA;NA;22.22;NA;NA;NA;
1;3;12.23;12.77;12.93;NA;17.44;3.58;NA;NA;16.97;NA;NA;NA;
1;4;18.84;13.53;12.15;NA;4.84;13.92;NA;NA;10.88;NA;NA;NA;
1;5;18.45;23.36;9.93;NA;21.31;12.9;NA;NA;8.73;NA;NA;NA;
1;6;48.61;50.98;17.37;NA;47.63;11.27;NA;NA;15.08;NA;NA;NA;
1;7;34.08;14.52;13.07;NA;34.55;10.07;NA;NA;19.82;NA;NA;NA;
1;8;ND;0.11;19.84;NA;31.43;8.6;NA;NA;31.82;NA;NA;NA;
1;9;43.25;3.02;8.25;NA;20.61;10.76;NA;NA;28.76;NA;NA;NA;
1;10;28.98;5.87;10.85;NA;9.05;5.83;NA;NA;5.89;NA;NA;NA;
1;11;16.71;3.82;8.81;NA;ND;6.48;NA;NA;11.85;NA;NA;NA;
1;12;16.31;7.69;9.12;NA;5.02;12.99;NA;NA;4.67;NA;NA;NA;
1;13;10.91;8.64;8.37;NA;8.74;5.78;NA;NA;7.34;NA;NA;NA;
1;14;11.65;15.88;12.85;NA;22.37;20.38;NA;NA;7.02;NA;NA;NA;
1;15;12.32;17.38;13.09;NA;25.15;17.89;NA;NA;16.97;NA;NA;NA;
1;16;12.82;8.4;12.92;NA;10.94;10.37;NA;NA;12.31;NA;NA;NA;
1;17;13.09;29.42;21.58;NA;10.17;15.89;NA;NA;19.39;NA;NA;NA;
1;18;13.14;21.08;21.51;NA;16;19.22;NA;NA;6.37;NA;NA;NA;
1;19;10.38;21.91;24.99;NA;29.13;21.4;NA;NA;17.88;NA;NA;NA;
1;20;12.09;16.37;19.37;NA;19.88;17.72;NA;NA;12.69;NA;NA;NA;
1;21;15.73;17.73;9.54;NA;29.42;21.97;NA;NA;15.42;NA;NA;NA;
1;22;20.65;14.84;15.05;NA;36.87;20.35;NA;NA;19.46;NA;NA;NA;
1;23;21.76;12.14;10.72;NA;39.03;17.5;NA;NA;17.21;NA;NA;NA;
2;0;10.58;15.7;24.25;NA;34.86;23.48;NA;NA;26.13;NA;NA;NA;
2;1;20.07;21.22;21.12;NA;34;17.76;NA;NA;20.76;NA;NA;NA;
2;2;16.72;22.43;16.79;NA;28.86;20.83;NA;NA;13.94;NA;NA;NA;
2;3;24.4;14.33;10.03;NA;17.54;7.84;NA;NA;11.28;NA;NA;NA;
2;4;15.41;16.54;3.16;NA;9.67;3.98;NA;NA;16.39;NA;NA;NA;
2;5;22.1;8.46;2.46;NA;17.28;6.15;NA;NA;10.32;NA;NA;NA;
2;6;42.76;8.33;10.41;NA;50.98;21.4;NA;NA;19.89;NA;NA;NA;
2;7;53.23;21.88;38.53;NA;66.16;22.4;NA;NA;27.34;NA;NA;NA;
2;8;41.26;8.56;39.24;NA;97.03;17.11;NA;NA;27.1;NA;NA;NA;
2;9;27.89;6.36;28.93;NA;45.07;24.41;NA;NA;32.33;NA;NA;NA;
2;10;40.48;6.26;26.43;NA;23.92;37.71;NA;NA;15.5;NA;NA;NA;
2;11;23.78;1.73;19.9;NA;19.44;32.24;NA;NA;16.8;NA;NA;NA;
2;12;16.88;1.85;6.01;NA;13.87;ND;NA;NA;13.86;NA;NA;NA;
2;13;8.64;4.52;2.97;NA;17.03;17.88;NA;NA;18.49;NA;NA;NA;
2;14;18.97;6.33;14.63;NA;13.41;15.16;NA;NA;4.99;NA;NA;NA;
2;15;16.2;22.84;8.28;NA;8.61;9.11;NA;NA;4.25;NA;NA;NA;
2;16;16.94;27.44;13.8;NA;10.88;11.4;NA;NA;7.99;NA;NA;NA;
2;17;15.77;36.97;11.85;NA;4.69;8.37;NA;NA;6.03;NA;NA;NA;
2;18;ND;27.78;28.28;NA;26.25;19.22;NA;NA;19.88;NA;NA;NA;
2;19;39.15;19.83;18.09;NA;31.92;20.66;NA;NA;10.26;NA;NA;NA;
2;20;28.55;19.28;9.97;NA;49.1;13.9;NA;NA;18.16;NA;NA;NA;
2;21;16.84;15.24;9.78;NA;65.64;17.53;NA;NA;28.64;NA;NA;NA;
2;22;11.64;11.79;7.32;NA;64.04;22.38;NA;NA;25;NA;NA;NA;
2;23;7.22;7.29;8.56;NA;51.14;20.49;NA;NA;24.63;NA;NA;NA;
3;0;11.42;5.27;3.19;NA;43.2;13.44;NA;NA;15.63;NA;NA;NA;
3;1;12.28;8.26;12.51;NA;29.1;8.63;NA;NA;29.04;NA;NA;NA;
3;2;5.58;5.09;11.19;NA;17.71;9.61;NA;NA;16.21;NA;NA;NA;
3;3;13.57;14.14;10.42;NA;9.74;4.4;NA;NA;22.12;NA;NA;NA;
3;4;4.64;15.65;4.58;NA;8.81;8.87;NA;NA;11.99;NA;NA;NA;
3;5;8.11;17.45;6.71;NA;11.22;8.44;NA;NA;14.61;NA;NA;NA;
3;6;31.48;37.31;5.21;NA;41.82;8.95;NA;NA;20.53;NA;NA;NA;
3;7;33.04;35.27;8.92;NA;46.92;12.41;NA;NA;20.87;NA;NA;NA;
3;8;22.04;19.42;11.41;NA;27.51;11.77;NA;NA;31.74;NA;NA;NA;
3;9;18.11;6.49;1.66;NA;13.83;6.81;NA;NA;19.77;NA;NA;NA;
3;10;10.34;0.49;5.82;NA;8.17;3.7;NA;NA;8.39;NA;NA;NA;
3;11;9.51;3.3;4.74;NA;4.96;6.43;NA;NA;ND;NA;NA;NA;
3;12;13.09;4.13;10.27;NA;14.04;12.58;NA;NA;ND;NA;NA;NA;
3;13;ND;15.39;14.96;NA;5.9;8.6;NA;NA;9.1;NA;NA;NA;
3;14;14.51;13.22;11.84;NA;12.75;13.92;NA;NA;ND;NA;NA;NA;
3;15;14.3;8.14;9.81;NA;23.39;7.08;NA;NA;1.23;NA;NA;NA;
3;16;12.5;11.2;20.5;NA;18.04;21.04;NA;NA;14.72;NA;NA;NA;
3;17;18.04;26.44;14.48;NA;19.79;18.05;NA;NA;10.94;NA;NA;NA;
3;18;13.12;21.56;8.88;NA;17.72;18.41;NA;NA;11.48;NA;NA;NA;
3;19;6.81;30.39;16.67;NA;26.06;16.93;NA;NA;4.89;NA;NA;NA;
3;20;11.78;22.89;15.01;NA;33.58;25.9;NA;NA;10.36;NA;NA;NA;
3;21;8.2;12.16;12.9;NA;32.54;16.85;NA;NA;17.84;NA;NA;NA;
3;22;12.42;19.74;20.45;NA;31.18;16.51;NA;NA;14.95;NA;NA;NA;
3;23;15.15;13.31;20.2;NA;18.25;16.47;NA;NA;13.36;NA;NA;NA;
4;0;16.86;5.32;8.73;NA;16.8;14.27;NA;NA;11.51;NA;NA;NA;
