DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;13.79;11.59;28.91;NA;29.85;25.14;NA;NA;16.52;NA;NA;NA;
1;1;19.3;7.46;19.78;NA;16.74;17.68;NA;NA;13.07;NA;NA;NA;
1;2;14.28;4.51;14.09;NA;13.9;16.68;NA;NA;12.86;NA;NA;NA;
1;3;7.38;6.71;8.92;NA;11.87;11.44;NA;NA;11.1;NA;NA;NA;
1;4;5.72;1.29;4.91;NA;9.01;4.09;NA;NA;5.1;NA;NA;NA;
1;5;4.22;5.13;3.99;NA;10.59;5.88;NA;NA;4.95;NA;NA;NA;
1;6;3.83;1.61;6.22;NA;5.68;5.36;NA;NA;9.57;NA;NA;NA;
1;7;5.61;2.48;5.23;NA;11.53;10.12;NA;NA;6.97;NA;NA;NA;
1;8;4.82;2.12;9.54;NA;13.59;14.37;NA;NA;4.35;NA;NA;NA;
1;9;0.18;1.3;8.68;NA;24.13;15.21;NA;NA;17.97;NA;NA;NA;
1;10;11.39;1.94;13.78;NA;19.56;17.92;NA;NA;8.64;NA;NA;NA;
1;11;19.81;4.33;21.06;NA;26.61;17.66;NA;NA;26.09;NA;NA;NA;
1;12;20.24;10.52;20.39;NA;10.92;15;NA;NA;19.27;NA;NA;NA;
1;13;6.92;19.45;23.26;NA;24.32;27.15;NA;NA;14.16;NA;NA;NA;
1;14;11.45;5.26;7.59;NA;7.93;10.2;NA;NA;6.86;NA;NA;NA;
1;15;4.99;2.23;8.44;NA;13.26;13.74;NA;NA;1.44;NA;NA;NA;
1;16;8.16;8.77;14.11;NA;25.92;19.89;NA;NA;12.29;NA;NA;NA;
1;17;8.38;11.43;14.28;NA;17.47;11.6;NA;NA;5.01;NA;NA;NA;
1;18;9.61;12.97;14.43;NA;13.57;11.71;NA;NA;5.93;NA;NA;NA;
1;19;14.75;10.26;13.96;NA;23.15;14.94;NA;NA;0.13;NA;NA;NA;
1;20;22.55;8.35;13.17;NA;22.84;16.65;NA;NA;10.54;NA;NA;NA;
1;21;13.19;8.08;5.61;NA;18.69;11.82;NA;NA;7.49;NA;NA;NA;
1;22;16.41;5.75;15.49;NA;6.75;8.85;NA;NA;4.63;NA;NA;NA;
1;23;6.38;5.6;12.73;NA;13.24;15.74;NA;NA;7.7;NA;NA;NA;
2;0;11.06;6.42;6.6;NA;6.46;16.12;NA;NA;18.45;NA;NA;NA;
2;1;18.12;6.94;19.96;NA;10.54;10.15;NA;NA;5.91;NA;NA;NA;
2;2;11.5;8.49;6.73;NA;11.7;16.35;NA;NA;9.13;NA;NA;NA;
2;3;9.29;11.48;9.34;NA;15.03;12.92;NA;NA;9.59;NA;NA;NA;
2;4;13.43;3.88;6.64;NA;10.11;7.16;NA;NA;3.83;NA;NA;NA;
2;5;13.47;6.2;8.01;NA;9.31;16.07;NA;NA;3.27;NA;NA;NA;
2;6;23.4;20.18;12.76;NA;27.55;18.29;NA;NA;5.27;NA;NA;NA;
2;7;33.43;19.91;25.91;NA;33.09;29.65;NA;NA;11.84;NA;NA;NA;
2;8;25.16;7.47;41.24;NA;30.29;44.57;NA;NA;11.52;NA;NA;NA;
2;9;14.95;2.61;29.04;NA;37.68;32.97;NA;NA;13.08;NA;NA;NA;
