DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;0.9;1.56;2.61;NA;0.44;3.16;ND;ND;10.2;NA;NA;NA;
1;1;2.37;ND;ND;NA;ND;ND;ND;ND;ND;NA;NA;NA;
1;2;2.63;1.38;2.9;NA;0.08;3.33;ND;ND;1.38;NA;NA;NA;
1;3;1.52;1.04;2.21;NA;0.29;2.92;ND;ND;1.99;NA;NA;NA;
1;4;1.02;0.74;1.18;NA;0.69;2.44;ND;ND;1.66;NA;NA;NA;
1;5;1.11;0.88;1.14;NA;3.18;2.16;ND;ND;1.21;NA;NA;NA;
1;6;1.69;0.97;0.84;NA;2.56;2.27;ND;ND;0.7;NA;NA;NA;
1;7;2.36;2.14;0.8;NA;2.06;2.57;ND;ND;8.94;NA;NA;NA;
1;8;1.86;2.34;1.22;NA;2.23;2.41;ND;ND;9.19;NA;NA;NA;
1;9;1.67;2.34;1.81;NA;3.03;2.19;ND;ND;46.68;NA;NA;NA;
1;10;1.38;1.99;2.26;NA;1.76;1.74;ND;ND;42.26;NA;NA;NA;
1;11;0.95;1.68;2.33;NA;2.77;1.71;ND;ND;28.35;NA;NA;NA;
1;12;0.78;1.25;2.12;NA;1.48;1.55;ND;ND;20.25;NA;NA;NA;
1;13;0.87;1.07;1.82;NA;1.19;1.53;ND;ND;3.45;NA;NA;NA;
1;14;0.64;1.02;1.89;NA;0.8;1.74;ND;ND;4.33;NA;NA;NA;
1;15;1.24;1.69;2.06;NA;0.43;2.09;ND;ND;4.77;NA;NA;NA;
1;16;1.6;1.61;2.38;NA;0.36;2.28;ND;ND;1.91;NA;NA;NA;
1;17;1.13;1.6;2.6;NA;0.57;2.27;ND;ND;4.39;NA;NA;NA;
1;18;1.35;3.03;2.17;NA;0.91;2.48;ND;ND;10.39;NA;NA;NA;
1;19;1.58;2.08;1.54;NA;1.86;2.34;ND;ND;22.56;NA;NA;NA;
1;20;1.22;1.18;1.24;NA;2.16;2.11;ND;ND;4.03;NA;NA;NA;
1;21;0.85;0.89;1.52;NA;1.03;2.25;ND;ND;21.74;NA;NA;NA;
1;22;0.66;ND;1.66;NA;0.43;2.1;ND;ND;10.62;NA;NA;NA;
1;23;0.74;ND;1.31;NA;0.44;1.87;ND;ND;3.06;NA;NA;NA;
2;0;1.01;ND;3.16;NA;0.18;2.05;ND;ND;8.46;NA;NA;NA;
2;1;ND;ND;2.03;NA;1.19;1.99;ND;ND;2.68;NA;NA;NA;
2;2;1.16;ND;2.96;NA;19.82;2.36;ND;ND;9.78;NA;NA;NA;
2;3;0.98;ND;2.37;NA;8.16;2.05;ND;ND;7.68;NA;NA;NA;
2;4;1.15;ND;1.2;NA;3.13;2.1;ND;ND;4.56;NA;NA;NA;
2;5;1.22;ND;1.26;NA;5.7;2.4;ND;ND;11;NA;NA;NA;
2;6;2.97;ND;2.71;NA;11.19;2.74;ND;ND;11.64;NA;NA;NA;
2;7;2.75;ND;3.2;NA;66.84;3.93;ND;ND;9;NA;NA;NA;
2;8;1.87;ND;5.14;NA;32.05;5.01;ND;ND;8.56;NA;NA;NA;
2;9;2.58;ND;11.47;NA;12.99;7.55;ND;ND;8.01;NA;NA;NA;
2;10;2.08;ND;6.98;NA;13.97;5.91;ND;ND;9.61;NA;NA;NA;
2;11;2.07;ND;6.64;NA;9.9;4.43;ND;ND;3.64;NA;NA;NA;
2;12;1.71;ND;4.95;NA;4.18;4.81;ND;ND;4.76;NA;NA;NA;
2;13;0.99;ND;3.51;NA;1.4;3.84;ND;ND;19.4;NA;NA;NA;
2;14;0.66;ND;2.31;NA;1.05;2.43;ND;ND;1.53;NA;NA;NA;
2;15;0.58;ND;1.75;NA;1.04;2.85;ND;0.62;14.83;NA;NA;NA;
2;16;0.71;ND;1.78;NA;0.79;3.18;ND;0.43;5.56;NA;NA;NA;
2;17;0.78;ND;1.96;NA;0.79;3.04;ND;0.49;1.42;NA;NA;NA;
2;18;0.69;ND;1.66;NA;0.89;2.59;ND;0.56;1.46;NA;NA;NA;
2;19;0.97;ND;0.84;NA;0.84;2.35;ND;0.36;2.45;NA;NA;NA;
2;20;0.98;ND;1.18;NA;0.85;2.51;ND;0.3;2.78;NA;NA;NA;
2;21;0.98;ND;0.83;NA;1.22;2.21;ND;0.29;1.34;NA;NA;NA;
2;22;0.94;ND;0.79;NA;0.71;2.09;ND;0.17;1.19;NA;NA;NA;
2;23;0.68;ND;0.8;NA;0.42;1.93;ND;0.18;5.67;NA;NA;NA;
3;0;0.9;ND;0.9;NA;0.22;1.72;ND;ND;14.79;NA;NA;NA;
3;1;0.65;ND;ND;NA;ND;ND;ND;0.09;ND;NA;NA;NA;
3;2;1.04;ND;0.79;NA;0.28;1.97;ND;0.16;1.69;NA;NA;NA;
3;3;0.68;ND;0.55;NA;0.43;1.68;ND;0.11;1.16;NA;NA;NA;
3;4;0.6;ND;0.78;NA;1.83;1.47;ND;0.1;12.34;NA;NA;NA;
3;5;0.7;ND;0.62;NA;2.17;1.52;ND;0.15;7.87;NA;NA;NA;
3;6;0.77;ND;0.85;NA;1.46;1.43;ND;0.1;3.57;NA;NA;NA;
3;7;0.85;ND;1.06;NA;1.41;1.64;ND;0.12;4.22;NA;NA;NA;
3;8;1.3;ND;0.97;NA;2.24;1.93;ND;0.41;24.84;NA;NA;NA;
3;9;1.26;ND;0.9;NA;3.73;1.95;ND;0.2;44.04;NA;NA;NA;
3;10;1.15;ND;2.05;NA;2.03;1.89;ND;0.26;84.05;NA;NA;NA;
3;11;1.4;ND;1.64;NA;2.14;1.42;ND;0.29;46.33;NA;NA;NA;
3;12;1.26;ND;2.26;NA;1.85;1.23;ND;0.31;33.82;NA;NA;NA;
3;13;1.5;ND;2.63;NA;2.15;1.01;ND;0.19;27.15;NA;NA;NA;
3;14;1.39;ND;2.34;NA;1.77;1.08;ND;0.25;18.62;NA;NA;NA;
3;15;1.11;ND;1.56;NA;2.11;1.8;ND;0.29;9.47;NA;NA;NA;
3;16;0.79;ND;2.07;NA;1.28;1.76;ND;0.1;20.96;NA;NA;NA;
3;17;0.82;ND;2.45;NA;0.96;1.51;ND;0.35;11.01;NA;NA;NA;
3;18;1.04;ND;1.03;NA;1.92;1.49;ND;0.28;2.33;NA;NA;NA;
3;19;1.73;ND;1.07;NA;1.21;1.92;ND;0.25;3.48;NA;NA;NA;
3;20;1.27;ND;1.01;NA;2.89;1.95;ND;0.17;6.4;NA;NA;NA;
3;21;1.07;ND;0.94;NA;3.2;1.71;ND;0.09;1.82;NA;NA;NA;
3;22;0.67;ND;1.17;NA;5.28;1.62;ND;0.05;16.98;NA;NA;NA;
3;23;0.9;ND;1.8;NA;6.24;1.52;ND;0.08;3.6;NA;NA;NA;
4;0;1.27;ND;1.06;NA;1.43;1.33;ND;0.02;1.19;NA;NA;NA;
4;1;ND;ND;0.83;NA;2.43;1.24;ND;0.04;1.33;NA;NA;NA;
4;2;0.85;ND;0.94;NA;1.18;1.09;ND;0.1;3.9;NA;NA;NA;
4;3;1.08;ND;1.72;NA;1.51;1.19;ND;0.06;2.19;NA;NA;NA;
4;4;0.88;ND;1;NA;3.03;1.14;ND;0.13;3.14;NA;NA;NA;
4;5;1.34;ND;2.48;NA;5.29;1.33;ND;0.22;1.72;NA;NA;NA;
4;6;1.47;ND;4.29;NA;5.71;ND;ND;0.59;3.15;NA;NA;NA;
4;7;1.74;ND;3.5;NA;6.76;5.05;ND;0.4;2.05;NA;NA;NA;
4;8;3.89;ND;4.75;NA;6.78;4.51;ND;0.22;2.68;NA;NA;NA;
4;9;3.63;ND;6.49;NA;5.71;4.24;ND;1.65;3.12;NA;NA;NA;
4;10;3.37;ND;8.71;NA;5.44;3.81;ND;1.28;22.57;NA;NA;NA;
4;11;1.02;ND;4;NA;7.63;2.86;ND;0.74;18.83;NA;NA;NA;
4;12;0.88;ND;2.49;NA;2.45;2.38;ND;0.32;11.16;NA;NA;NA;
4;13;0.68;ND;1.21;NA;1.42;2.92;ND;0.75;1.28;NA;NA;NA;
4;14;0.72;ND;1.82;NA;1.19;4.23;ND;0.44;23.72;NA;NA;NA;
4;15;0.54;ND;1.67;NA;0.93;4;ND;0.44;7.3;NA;NA;NA;
4;16;0.89;ND;4.53;NA;0.85;4.97;ND;0.45;2.85;NA;NA;NA;
4;17;1.27;ND;5.51;NA;0.9;5.18;ND;0.45;5.37;NA;NA;NA;
4;18;2.19;ND;6.1;NA;1.78;5.76;ND;0.39;7.01;NA;NA;NA;
4;19;1.56;ND;3.21;NA;1.57;5.2;ND;0.25;1.59;NA;NA;NA;
4;20;1.11;ND;3.11;NA;2.78;4.67;ND;0.25;1.29;NA;NA;NA;
4;21;1.16;ND;2.41;NA;1.06;4.21;ND;0.2;7.46;NA;NA;NA;
4;22;1.03;ND;2.29;NA;0.43;3.82;ND;0.1;7.93;NA;NA;NA;
4;23;2;ND;1.82;NA;0.61;3.66;ND;0.11;2.9;NA;NA;NA;
5;0;1.31;ND;0.98;NA;0.48;3.36;ND;ND;3.91;NA;NA;NA;
5;1;1.47;ND;ND;NA;ND;ND;ND;0.1;ND;NA;NA;NA;
5;2;2.02;ND;0.84;NA;0.34;3.65;ND;0.1;0.8;NA;NA;NA;
5;3;1.83;ND;0.84;NA;1.47;3;ND;0.01;1.08;NA;NA;NA;
5;4;1.38;ND;1.72;NA;0.93;3.02;ND;0.09;3.25;NA;NA;NA;
5;5;1.22;ND;1.93;NA;0.45;3.09;ND;0.05;0.97;NA;NA;NA;
5;6;2.01;ND;2.83;NA;2.25;3.43;ND;0.16;1.51;NA;NA;NA;
5;7;1.78;ND;2.93;NA;1.73;3.38;ND;0.36;6.61;NA;NA;NA;
5;8;3.52;ND;3.43;NA;2.19;3.47;ND;ND;15.24;NA;NA;NA;
5;9;2.29;ND;3.05;NA;2.11;3.55;ND;ND;24.71;NA;NA;NA;
5;10;2.03;ND;3.44;NA;1.6;3.08;ND;ND;13.24;NA;NA;NA;
5;11;3.68;ND;4.41;NA;3.66;2.78;ND;0.17;10.01;NA;NA;NA;
5;12;2.12;ND;5.17;NA;7.28;3.43;ND;0.4;22.55;NA;NA;NA;
5;13;ND;0.71;7.46;NA;6.98;3.58;ND;0.61;16.04;NA;NA;NA;
5;14;ND;0.79;5.95;NA;7.19;4.01;ND;0.6;12.48;NA;NA;NA;
5;15;0.59;0.11;3.48;NA;3.56;4.42;ND;0.6;20.89;NA;NA;NA;
5;16;0.31;0.02;4.21;NA;3.21;4.78;ND;0.11;5.6;NA;NA;NA;
5;17;0.76;0.08;5.24;NA;3.21;5.51;ND;0.35;7.44;NA;NA;NA;
5;18;0.63;0.35;4.11;NA;2.11;4.96;ND;0.28;7.31;NA;NA;NA;
5;19;1.88;0.22;3.25;NA;5.66;4.52;ND;0.51;8.16;NA;NA;NA;
5;20;3.11;0.38;4.01;NA;9.96;4.02;ND;0.31;5.51;NA;NA;NA;
5;21;2.17;2.07;3.53;NA;5.42;3.96;ND;0.53;10.31;NA;NA;NA;
