DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;5.97;1.32;16.13;NA;ND;7.94;14.03;2.1;0;NA;NA;NA;
1;1;3.89;7.66;0.78;NA;ND;6.28;23.41;ND;0;NA;NA;NA;
1;2;ND;5.35;1;NA;ND;ND;ND;0.33;0;NA;NA;NA;
1;3;0.91;3.05;0.46;NA;ND;0.16;10.67;0.11;0;NA;NA;NA;
1;4;1.06;1.16;0.48;NA;ND;0.1;4.61;0.1;0.13;NA;NA;NA;
1;5;1;1.31;0.67;NA;ND;0.09;1.26;0.38;0;NA;NA;NA;
1;6;3.81;3.63;4.15;NA;ND;1.89;7.67;1.44;1.51;NA;NA;NA;
1;7;14.76;11.51;13.46;NA;ND;12.07;22.45;7.87;7.07;NA;NA;NA;
1;8;31.63;27.87;31.04;NA;ND;36.56;41.89;20.49;19.34;NA;NA;NA;
1;9;43.44;46.91;41.01;NA;ND;45.44;54.58;41.57;16.92;NA;NA;NA;
1;10;61.3;54.45;42.28;NA;ND;50.19;70.03;58.8;51.94;NA;NA;NA;
1;11;67.74;68.28;61.56;NA;ND;60.31;58.58;63.66;54.79;NA;NA;NA;
1;12;69.02;72.33;74.93;NA;ND;76.08;62.44;74.09;58.06;NA;NA;NA;
1;13;63.62;68.27;71.33;NA;ND;74.31;72.69;73.66;75.45;NA;NA;NA;
1;14;61.75;63.68;63.09;NA;ND;76.93;76.83;66.4;82.99;NA;NA;NA;
1;15;54.37;65.36;56.02;NA;ND;74.11;64.47;59.67;67.67;NA;NA;NA;
1;16;47.82;57.61;43.43;NA;ND;55.69;57.37;46.27;47.38;NA;NA;NA;
1;17;36.43;51.39;32.35;NA;ND;29.15;51.67;38.05;34.42;NA;NA;NA;
1;18;24.2;36.28;21.59;NA;ND;20.2;42.54;31.35;19.3;NA;NA;NA;
1;19;16.11;34.52;18.01;NA;ND;11.31;32.68;30.24;5.27;NA;NA;NA;
1;20;12.04;27.52;18.49;NA;ND;13.38;30.39;25.07;1.93;NA;NA;NA;
1;21;7.41;21.28;16.95;NA;ND;14.16;22.29;21.15;0.4;NA;NA;NA;
1;22;12.82;21.04;7.47;NA;ND;5.66;24.11;20.7;0.1;NA;NA;NA;
1;23;15.14;13.29;0.43;NA;ND;0.55;30.82;12.34;0.01;NA;NA;NA;
2;0;16.16;16.49;1.06;NA;ND;0.02;27.32;10.99;0.11;NA;NA;NA;
2;1;9.81;18.71;1.04;NA;ND;0.04;26.27;15.18;0;NA;NA;NA;
2;2;6.87;18.19;ND;NA;ND;0.84;29.73;17.94;ND;NA;NA;NA;
2;3;10.77;14.9;11.75;NA;ND;6.36;26.67;17.71;0;NA;NA;NA;
2;4;7.79;14.81;10.69;NA;ND;9.25;13.96;12.17;0;NA;NA;NA;
2;5;5.75;14.55;8.77;NA;ND;3.35;20.35;4.78;0;NA;NA;NA;
2;6;6.68;16.23;4.09;NA;ND;1.17;11.23;1.34;0.96;NA;NA;NA;
2;7;13.11;30.97;9.05;NA;ND;3.82;19.55;4.75;5.9;NA;NA;NA;
2;8;33.3;51.29;17.96;NA;ND;17.99;39.4;5.19;9.24;NA;NA;NA;
2;9;47.69;61.66;38.41;NA;ND;33.64;44.62;19.24;10.13;NA;NA;NA;
2;10;63.28;66.39;59.05;NA;ND;49.84;37.78;44.7;22.95;NA;NA;NA;
2;11;68.75;65.93;71.34;NA;ND;71.31;48.37;66.83;33.26;NA;NA;NA;
2;12;64.83;62.6;70.07;NA;ND;78.94;63.27;80.91;57.47;NA;NA;NA;
2;13;53.66;59.92;60.03;NA;ND;70.44;70.54;70.26;58.91;NA;NA;NA;
2;14;51.38;47.38;59.07;NA;ND;58.27;65.79;54.55;55.78;NA;NA;NA;
2;15;47.96;37.49;51.59;NA;ND;39.79;37.32;39.57;45.47;NA;NA;NA;
2;16;39.6;32.31;23.35;NA;ND;19.78;17.38;28.97;34.06;NA;NA;NA;
2;17;31.06;25.15;13.64;NA;ND;15.72;17.47;27.14;17.73;NA;NA;NA;
2;18;23.48;23.03;5.21;NA;ND;17.31;36.1;5.87;32.77;NA;NA;NA;
2;19;10.13;15.67;5.02;NA;ND;12.56;32.52;16.24;14.53;NA;NA;NA;
2;20;2.45;1.49;0.96;NA;ND;1.26;31.39;8.18;5.38;NA;NA;NA;
2;21;1.31;5.78;0.53;NA;ND;1.88;24.83;3.59;6.45;NA;NA;NA;
2;22;1.94;15.77;1.27;NA;ND;14.84;23.38;3.38;3.42;NA;NA;NA;
2;23;1.49;22.27;2.23;NA;ND;12.24;33.7;1.06;2.54;NA;NA;NA;
3;0;3.23;21.68;1.16;NA;ND;0.09;15.28;0.13;0.32;NA;NA;NA;
3;1;3.36;15.02;2.51;NA;ND;0.23;1.69;ND;1.35;NA;NA;NA;
3;2;ND;7.31;5.01;NA;ND;ND;ND;0.31;0.42;NA;NA;NA;
3;3;12.18;1.45;4.62;NA;ND;5.19;5.06;0.35;0;NA;NA;NA;
3;4;8.61;0.58;0.81;NA;ND;1.66;0.96;0.19;0;NA;NA;NA;
3;5;3.78;5.96;0.7;NA;ND;0.18;3.97;0.07;0;NA;NA;NA;
3;6;7.56;22.34;5.97;NA;ND;3.5;27.06;1.28;2.11;NA;NA;NA;
3;7;21.9;34.66;17.68;NA;ND;13.38;33.12;5.07;9.06;NA;NA;NA;
3;8;31.98;44.78;28.59;NA;ND;32.08;36.72;16.43;15.07;NA;NA;NA;
3;9;44.58;50.12;34.96;NA;ND;38.86;40.1;35.65;5.09;NA;NA;NA;
3;10;52.27;60.91;37.59;NA;ND;40.62;47.29;46.6;20.3;NA;NA;NA;
3;11;61.03;59.13;51.53;NA;ND;52.59;53.68;61.7;49.34;NA;NA;NA;
3;12;53.32;54.51;69.23;NA;ND;61.98;63.54;68.27;47;NA;NA;NA;
3;13;45.84;53.17;58.94;NA;ND;63.84;54.97;60.87;64.42;NA;NA;NA;
3;14;44.27;49.41;57.76;NA;ND;56.89;50.96;54.23;62.29;NA;NA;NA;
3;15;43.92;39.05;48.23;NA;ND;45.11;49.53;47.45;43.19;NA;NA;NA;
3;16;39.47;32.88;32.37;NA;ND;33.33;30.22;34.41;35.09;NA;NA;NA;
3;17;40.92;33.17;26.84;NA;ND;22.94;22.88;29.95;15.79;NA;NA;NA;
3;18;31.85;30.15;24.73;NA;ND;13.72;22.92;29.67;17.79;NA;NA;NA;
3;19;21.6;29.38;7.15;NA;ND;12.59;22.55;29.6;22.55;NA;NA;NA;
3;20;18.67;30.41;9.77;NA;ND;11.08;23.26;34.48;25.97;NA;NA;NA;
3;21;16.82;30.61;7.43;NA;ND;5.43;31.22;33.46;32.33;NA;NA;NA;
3;22;11.47;38.07;8.98;NA;ND;7.78;16.15;31.09;23.79;NA;NA;NA;
3;23;26.67;29.31;19.45;NA;ND;15.24;6.66;31.99;20.2;NA;NA;NA;
4;0;40.99;25.12;23.86;NA;ND;24.51;15.4;24.48;7.37;NA;NA;NA;
4;1;28.63;ND;17.13;NA;ND;18.04;21.42;16.4;20.7;NA;NA;NA;
4;2;19;12.98;ND;NA;ND;8.9;20.61;8.3;ND;NA;NA;NA;
4;3;10.74;9.04;14.14;NA;ND;10.72;18.4;4.93;4.62;NA;NA;NA;
4;4;3.56;14.27;6;NA;ND;7.72;6.2;3.31;0.52;NA;NA;NA;
4;5;2.43;5.39;0.95;NA;ND;0.14;11.4;0.65;0.08;NA;NA;NA;
4;6;3.06;8.91;2.96;NA;ND;1.04;9.9;3.05;0.61;NA;NA;NA;
4;7;7.5;19.68;5.73;NA;ND;5.9;19.48;11.37;4.78;NA;NA;NA;
4;8;16.98;31.84;11;NA;ND;14.13;27.23;16.75;11.57;NA;NA;NA;
4;9;ND;44.37;21.02;NA;ND;21.15;32.15;28.05;15.02;NA;NA;NA;
