DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;2.82;1.4;6.28;NA;ND;5.49;0.31;0.8;5.5;NA;NA;NA;
1;1;2.9;ND;ND;NA;ND;2.19;0.14;1.64;ND;NA;NA;NA;
1;2;4.38;1.64;5;NA;ND;2.83;0.06;4.16;3.79;NA;NA;NA;
1;3;3.37;1.42;3.46;NA;ND;4.16;0.15;2.75;7.31;NA;NA;NA;
1;4;3.16;1.46;2.31;NA;ND;2.16;0.84;2.76;5.3;NA;NA;NA;
1;5;3.84;1.52;1.88;NA;ND;1.56;0.99;5.73;3.22;NA;NA;NA;
1;6;7.33;2.67;4.16;NA;ND;2.33;1.45;6.22;6.95;NA;NA;NA;
1;7;3.68;1.26;4.77;NA;ND;8.89;0.66;3.96;13.36;NA;NA;NA;
1;8;2.09;1.38;2.06;NA;ND;3.21;0.59;0.55;5.03;NA;NA;NA;
1;9;1.54;1.14;1.41;NA;ND;1.65;0.48;0.45;1.19;NA;NA;NA;
1;10;1.33;0.88;1.28;NA;ND;0.99;0.29;0.69;0.74;NA;NA;NA;
1;11;1.2;0.89;1.4;NA;ND;1.22;0.29;0.61;1.16;NA;NA;NA;
1;12;1.32;0.95;1.24;NA;ND;1.24;0.11;0.77;0.97;NA;NA;NA;
1;13;0.95;0.94;1.32;NA;ND;0.92;0.13;0.72;1.18;NA;NA;NA;
1;14;1.25;0.68;1.07;NA;ND;0.84;0.23;0.8;1.1;NA;NA;NA;
1;15;ND;0.98;1.22;NA;ND;2.78;0.14;0.53;0.99;NA;NA;NA;
1;16;ND;2.29;1.23;NA;ND;4.55;0.21;0.49;1.05;NA;NA;NA;
1;17;1.78;3.26;1.41;NA;ND;1.35;0.57;0.27;1.07;NA;NA;NA;
1;18;2.55;3.55;1.41;NA;ND;0.67;0.62;0.17;1.47;NA;NA;NA;
1;19;2.4;4.02;2.19;NA;ND;2.52;0.05;0.07;1.49;NA;NA;NA;
1;20;2.55;1.83;2.28;NA;ND;2.04;0.09;0.2;1.18;NA;NA;NA;
1;21;1.46;5.33;2.79;NA;ND;3.63;0.11;0.13;1.46;NA;NA;NA;
1;22;1.3;6.19;2.03;NA;ND;2.83;0.14;3.81;13.29;NA;NA;NA;
1;23;2.05;4.9;1.53;NA;ND;1.36;0.1;0.27;11.74;NA;NA;NA;
