DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;0.29;0.1;0.78;NA;0.79;2.38;0.36;ND;2.52;NA;NA;NA;
1;1;ND;0.26;0.91;NA;0.05;ND;ND;2.26;1.89;NA;NA;NA;
1;2;0.12;0.31;0.44;NA;0;2.14;0.15;2.06;1.7;NA;NA;NA;
1;3;0.35;0;0.55;NA;1.18;1.74;0.24;1.3;1.84;NA;NA;NA;
1;4;0.77;1.07;0.92;NA;0.73;2.05;0.15;1.65;2.09;NA;NA;NA;
1;5;0.83;1.6;0.5;NA;5.04;2.5;0.13;1.79;2.91;NA;NA;NA;
1;6;1.4;3.82;1.15;NA;8.01;2.77;0.09;2.5;2.97;NA;NA;NA;
1;7;1.06;3.32;0.96;NA;4.28;3.59;0.35;3.67;5.11;NA;NA;NA;
1;8;0.7;2.09;1.6;NA;1.94;2.63;0.65;3.95;1.92;NA;NA;NA;
1;9;1.34;0.72;1.17;NA;2.38;1.79;0.37;1.92;1.32;NA;NA;NA;
1;10;1.11;0.16;1.37;NA;0.81;1.2;0.36;1.14;1.12;NA;NA;NA;
1;11;0.86;0.21;1.2;NA;0.85;0.72;0.35;0.67;1.04;NA;NA;NA;
1;12;0.38;1.43;0.99;NA;0.97;0.66;0.5;0.59;0.93;NA;NA;NA;
1;13;1.02;0.39;0.64;NA;0.95;0.63;0.48;0.64;0.58;NA;NA;NA;
1;14;0.68;0.39;0.8;NA;0.95;0.87;0.23;0.55;0.91;NA;NA;NA;
1;15;1.67;1.31;1.39;NA;2.15;1.35;2.33;1.14;0.92;NA;NA;NA;
1;16;7.25;4.93;3.58;NA;3.64;2.29;4.68;1.12;0.74;NA;NA;NA;
1;17;12.38;8.17;10.9;NA;6.69;4.44;1.48;5.32;1.1;NA;NA;NA;
1;18;7.89;6.51;9.51;NA;9.44;6.78;2.14;5.29;1.69;NA;NA;NA;
1;19;7.57;6.2;6.41;NA;8.15;5.41;0.97;0.95;1.71;NA;NA;NA;
1;20;11.2;12.93;7.86;NA;5.68;4.11;0.65;1;2.4;NA;NA;NA;
1;21;9.79;29.07;4.8;NA;4.02;3.3;0.67;1.54;2.82;NA;NA;NA;
1;22;4.51;25.28;3.71;NA;3.08;1.54;0.29;9.88;4.38;NA;NA;NA;
1;23;8.86;23.22;3.72;NA;2.56;1.83;0.27;4.15;5.96;NA;NA;NA;
2;0;22.21;30.1;4.86;NA;8.03;2.43;0.44;3.89;5.32;NA;NA;NA;
2;1;29.84;ND;ND;NA;7.95;2.42;0.52;4.15;ND;NA;NA;NA;
2;2;30.91;24.9;4.75;NA;11.76;2.36;0.7;4.04;5.73;NA;NA;NA;
2;3;25.71;22.98;17.05;NA;13.67;5.8;0.83;2.86;4.61;NA;NA;NA;
2;4;22.29;20.3;11.62;NA;13.3;7.65;0.62;2.79;2.99;NA;NA;NA;
2;5;18.76;24.29;16.51;NA;18.17;8.26;0.85;3.53;3.88;NA;NA;NA;
2;6;24.76;21.11;11.46;NA;19.38;4.79;0.75;4.53;6.09;NA;NA;NA;
2;7;28.39;20.33;5.87;NA;19.06;3.9;0.6;5.82;14.79;NA;NA;NA;
2;8;14.2;12.23;4.64;NA;7.82;4.01;0.66;7.81;6.38;NA;NA;NA;
2;9;3.65;4.45;2.68;NA;2.39;2.05;0.95;5.68;2.78;NA;NA;NA;
2;10;2.53;5.35;2.24;NA;2.1;1.6;0.53;3.74;2.61;NA;NA;NA;
2;11;1.81;1.96;2.03;NA;3.73;2.31;0.7;2.02;1.46;NA;NA;NA;
2;12;2.57;5.25;1.47;NA;2.14;1.36;0.58;1.32;1.04;NA;NA;NA;
2;13;20.67;31.55;2.19;NA;0.9;0.73;1.45;0.71;1;NA;NA;NA;
2;14;24.07;29.07;13.82;NA;0.96;2.01;2.28;2.09;0.81;NA;NA;NA;
2;15;5.98;3.03;22.58;NA;1.27;5.18;0.95;10.14;0.97;NA;NA;NA;
2;16;4.15;1.69;11.47;NA;2.67;7.94;1.35;4.42;11.64;NA;NA;NA;
2;17;2.49;1.18;7.97;NA;2.98;3.73;1.96;2.85;8.5;NA;NA;NA;
2;18;2.12;1.72;4.62;NA;2.34;3.07;1.87;2.02;2.97;NA;NA;NA;
2;19;3.82;1.98;5.95;NA;3.87;3.11;1.8;2.13;4.01;NA;NA;NA;
2;20;4.42;1.53;5.59;NA;5.94;4.63;4.61;1.83;2.49;NA;NA;NA;
2;21;4.22;1.79;7.25;NA;5.8;3.94;3.35;1.45;3.13;NA;NA;NA;
2;22;7.58;1.8;5.63;NA;11.9;4.59;2.62;0.98;17.85;NA;NA;NA;
2;23;5.76;2.91;6.64;NA;20.85;8.28;1.55;1.16;12.02;NA;NA;NA;
3;0;5.75;1.54;11.25;NA;9.59;7.08;2.31;ND;3.16;NA;NA;NA;
3;1;ND;4.96;ND;NA;ND;ND;ND;1.88;11.76;NA;NA;NA;
3;2;4.94;5.69;6.45;NA;6.64;4.99;3.97;2.93;37.51;NA;NA;NA;
3;3;3.42;3.01;6.01;NA;7.58;5.09;6.59;2.79;13.57;NA;NA;NA;
3;4;3.23;3.15;6.19;NA;5.96;5.14;5.39;2.2;8.3;NA;NA;NA;
