DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;15.35;21.94;17.18;NA;ND;11.47;23.27;31.72;10.64;NA;NA;NA;
1;1;10.77;21.73;16.94;NA;ND;14.88;3.85;ND;21.92;NA;NA;NA;
1;2;13.49;27.15;21.71;NA;ND;23.44;ND;30.19;ND;NA;NA;NA;
1;3;8.44;24.4;19.27;NA;ND;19.81;0;30.73;32.68;NA;NA;NA;
1;4;4.16;21.44;6.57;NA;ND;16.05;0;16.74;24.2;NA;NA;NA;
1;5;0.7;7.88;10.9;NA;ND;5.01;2.69;4.94;5.23;NA;NA;NA;
1;6;2.84;2.21;1.42;NA;ND;0.22;1.31;0.42;0.88;NA;NA;NA;
1;7;2.36;7.6;2.2;NA;ND;0.7;14.7;1.96;1.88;NA;NA;NA;
1;8;5.48;14.2;3.09;NA;ND;1.74;23.26;7.78;4.51;NA;NA;NA;
1;9;8.78;15.92;5.37;NA;ND;7.01;34.84;16.99;11.82;NA;NA;NA;
1;10;32.29;41.1;12.92;NA;ND;31.9;49.12;34.78;29.56;NA;NA;NA;
1;11;53.26;53.72;38.43;NA;ND;41.71;62.72;53.07;29.73;NA;NA;NA;
1;12;49.81;50.87;38.45;NA;ND;41.86;46.35;61.29;43.96;NA;NA;NA;
1;13;38.88;43.36;35.39;NA;ND;50.27;63.58;52.61;60.41;NA;NA;NA;
1;14;ND;55.77;42.59;NA;ND;50.15;61.55;57.85;56.38;NA;NA;NA;
1;15;54.01;57.46;53.41;NA;ND;51.66;64.24;62.99;51.21;NA;NA;NA;
1;16;46.69;50.87;45.11;NA;ND;46.55;72;58.44;49.03;NA;NA;NA;
1;17;42.49;44.23;30.73;NA;ND;26.06;47.97;44.05;30.87;NA;NA;NA;
1;18;31.05;29.83;7.8;NA;ND;6.01;14.64;32.02;13.1;NA;NA;NA;
1;19;22.4;26.82;1.85;NA;ND;0.58;2.58;27.38;8.54;NA;NA;NA;
1;20;15.91;22.93;7.29;NA;ND;1.6;8.41;28.69;21.9;NA;NA;NA;
1;21;4.45;18.34;3.14;NA;ND;0.07;5.02;27.46;7.46;NA;NA;NA;
1;22;4.48;26.44;0.9;NA;ND;0.18;6.49;28.51;12.82;NA;NA;NA;
1;23;1.23;23.89;3.61;NA;ND;2.35;0.71;27.89;15.97;NA;NA;NA;
2;0;4.49;24.41;0.42;NA;ND;0.56;0.63;22.89;12.62;NA;NA;NA;
2;1;1.93;16.17;1.29;NA;ND;8.81;0.03;22.19;18.09;NA;NA;NA;
2;2;ND;ND;ND;NA;ND;ND;ND;21.15;18.81;NA;NA;NA;
2;3;5.38;22.49;2.72;NA;ND;1.99;0.42;21.85;17.94;NA;NA;NA;
2;4;4.3;18.51;3.14;NA;ND;0.14;1.56;17.65;17.33;NA;NA;NA;
2;5;1.62;7.89;4.74;NA;ND;5.88;1.09;14.63;10.9;NA;NA;NA;
2;6;2.37;5.64;2.11;NA;ND;1.03;4.6;18.73;4.5;NA;NA;NA;
2;7;8.59;11.36;3.41;NA;ND;5.6;16.7;20.87;7.25;NA;NA;NA;
2;8;32;29.37;20.21;NA;ND;12.27;42.62;26.14;5.64;NA;NA;NA;
2;9;43.68;45.02;34.34;NA;ND;37.87;55.68;43.7;6.87;NA;NA;NA;
2;10;53.6;58.29;39.41;NA;ND;50.47;66.63;56.65;27.02;NA;NA;NA;
2;11;59;62.12;54.35;NA;ND;55.56;70.94;64.16;45.06;NA;NA;NA;
2;12;53.55;55.26;45.81;NA;ND;47.85;65.63;55.41;59.87;NA;NA;NA;
2;13;54.88;55.67;26.37;NA;ND;27.65;57.98;44.87;33;NA;NA;NA;
2;14;47.96;51.6;40.18;NA;ND;45.97;59.99;59.05;56.03;NA;NA;NA;
2;15;38.43;42.93;37.56;NA;ND;39.12;51.64;47.05;40.93;NA;NA;NA;
2;16;40.65;42.72;40.17;NA;ND;37.7;39.1;49.67;44.91;NA;NA;NA;
2;17;35.48;38.91;29.64;NA;ND;37.75;36.72;41.37;35.88;NA;NA;NA;
2;18;26.36;30.25;14.15;NA;ND;10.3;21.69;26.16;16.76;NA;NA;NA;
2;19;12.96;16.01;19.14;NA;ND;15.46;22.74;18.27;18.04;NA;NA;NA;
2;20;2.55;14.49;2.73;NA;ND;1.44;22.01;22.15;10.28;NA;NA;NA;
2;21;2.79;11.89;0.84;NA;ND;0.1;5.05;20.86;14.06;NA;NA;NA;
2;22;0.83;10.53;0.93;NA;ND;0;5.84;23;10.27;NA;NA;NA;
2;23;5.7;5.32;3.39;NA;ND;0;0.86;18.77;3.55;NA;NA;NA;
3;0;5.01;5.44;1.14;NA;ND;0;20.18;10.5;0.28;NA;NA;NA;
3;1;5.26;5.68;0.54;NA;ND;0;29.61;ND;0.25;NA;NA;NA;
3;2;3.22;8.09;0.83;NA;ND;0;23.99;2.26;ND;NA;NA;NA;
3;3;0.46;6.08;0.5;NA;ND;0.16;20.71;4.57;0.17;NA;NA;NA;
3;4;3.11;7.62;0.34;NA;ND;0;21.52;12.42;0;NA;NA;NA;
3;5;0.84;5;0.5;NA;ND;0;4.61;8.3;0.08;NA;NA;NA;
3;6;1.87;1.76;1.17;NA;ND;0.09;2.96;6.92;1.29;NA;NA;NA;
3;7;8.93;9;5.62;NA;ND;3.68;27.37;14.05;5.12;NA;NA;NA;
3;8;18.96;17.7;10.41;NA;ND;12.57;38.09;15.08;12.49;NA;NA;NA;
3;9;32.78;33.92;24.5;NA;ND;38.1;44.14;26.46;24.47;NA;NA;NA;
3;10;51.03;56.52;37.84;NA;ND;44.41;48.33;45.53;46.88;NA;NA;NA;
3;11;47.65;60.86;41.17;NA;ND;46.3;54.79;59.93;64.18;NA;NA;NA;
3;12;51.08;66.51;45.46;NA;ND;51.72;54.1;44.7;66.51;NA;NA;NA;
3;13;53.35;60.86;44.09;NA;ND;43.18;56.82;52.72;49.49;NA;NA;NA;
3;14;49.25;59.15;47.34;NA;ND;49.21;55.43;55.18;42.46;NA;NA;NA;
3;15;51.44;52.95;45.71;NA;ND;48.99;46.1;52.82;55.79;NA;NA;NA;
3;16;47.63;50.48;38.69;NA;ND;37.56;33.42;49.76;52.18;NA;NA;NA;
