DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;17.26;12.59;1.78;NA;ND;0.52;37.59;8.61;0.29;NA;NA;NA;
1;1;2.52;4.89;3.12;NA;ND;8.41;36.18;1.43;0.11;NA;NA;NA;
1;2;ND;15.65;1.21;NA;ND;24.62;37.13;0.12;ND;NA;NA;NA;
1;3;13.08;1.96;1.18;NA;ND;21.03;35.67;0.68;0.26;NA;NA;NA;
1;4;4.16;1.16;6.78;NA;ND;17.71;34.78;0.76;0.12;NA;NA;NA;
1;5;0.27;2.03;14.71;NA;ND;10.94;29.1;0.83;0.23;NA;NA;NA;
1;6;2.46;4.28;3.84;NA;ND;8.19;25.71;0.97;1.48;NA;NA;NA;
1;7;9.25;20.48;14.13;NA;ND;16.61;31.21;2.26;5.13;NA;NA;NA;
1;8;21.87;32.97;26.24;NA;ND;29.28;39.91;4.95;5.33;NA;NA;NA;
1;9;25.57;47.41;31.66;NA;ND;32.26;42.35;23.02;3.87;NA;NA;NA;
1;10;34;54.15;37.54;NA;ND;34.74;43.33;ND;11.04;NA;NA;NA;
1;11;45.66;50.65;41.57;NA;ND;37.37;49.28;ND;21.88;NA;NA;NA;
1;12;34.63;46.88;33.4;NA;ND;36.5;39.7;42.53;38.29;NA;NA;NA;
1;13;26.89;43.54;33.85;NA;ND;33.36;44.34;44.62;39.01;NA;NA;NA;
1;14;29.9;42.4;36.94;NA;ND;26.9;43.45;46.34;35;NA;NA;NA;
1;15;27.99;39.08;34.22;NA;ND;27.75;42.1;45.68;38.78;NA;NA;NA;
1;16;25.61;33.81;26.92;NA;ND;20.2;37.98;37.09;34.09;NA;NA;NA;
1;17;15.7;19.86;21.91;NA;ND;14.27;31.91;34.27;21.01;NA;NA;NA;
1;18;13.15;22.6;23.99;NA;ND;8.06;11.9;25.82;15.53;NA;NA;NA;
1;19;15.1;29.33;19.22;NA;ND;10.46;9.01;14.34;11.78;NA;NA;NA;
1;20;15.24;26.66;14.52;NA;ND;12.6;12.91;18.62;10.98;NA;NA;NA;
1;21;16.05;32.34;14.34;NA;ND;10.07;14.17;13.34;6.58;NA;NA;NA;
1;22;20.51;35.85;35.84;NA;ND;27.82;18.48;12.96;11.97;NA;NA;NA;
1;23;26.87;29.67;35.28;NA;ND;26.11;10.44;7.4;17.43;NA;NA;NA;
2;0;28.37;32.67;29.57;NA;ND;21.61;16.92;3.07;12.52;NA;NA;NA;
2;1;19.82;32.13;26.59;NA;ND;19.84;13.61;4.24;10.65;NA;NA;NA;
2;2;22.19;25.66;24.71;NA;ND;14.51;17.5;0.97;0.77;NA;NA;NA;
2;3;18.25;15.21;23.48;NA;ND;9.28;29.83;0.58;1.32;NA;NA;NA;
2;4;9.53;19.92;31.55;NA;ND;12.06;34.82;1.11;1.21;NA;NA;NA;
2;5;3.68;8.46;21.35;NA;ND;4.15;35.9;1.17;0.3;NA;NA;NA;
