DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;12.89;23.03;17.67;NA;ND;14.45;NA;NA;6.6;NA;NA;NA;
1;1;18.3;13.63;13.57;NA;ND;15.73;NA;NA;30.44;NA;NA;NA;
1;2;10.19;33.21;12.35;NA;ND;20.33;NA;NA;5.34;NA;NA;NA;
1;3;13.82;39.88;8.99;NA;ND;18.2;NA;NA;64.78;NA;NA;NA;
1;4;10.14;32.55;7.63;NA;ND;19.45;NA;NA;45.06;NA;NA;NA;
1;5;15.44;30.71;20.69;NA;ND;15.8;NA;NA;10.82;NA;NA;NA;
1;6;15.37;31.29;17.38;NA;ND;22.06;NA;NA;47.33;NA;NA;NA;
1;7;22.75;21.75;19.02;NA;ND;23.61;NA;NA;36.4;NA;NA;NA;
1;8;18.4;5.26;27.06;NA;ND;24.29;NA;NA;21.08;NA;NA;NA;
1;9;29.58;9.88;19.16;NA;ND;12.51;NA;NA;33.11;NA;NA;NA;
1;10;4.8;1.22;21.94;NA;ND;18.48;NA;NA;17.44;NA;NA;NA;
1;11;7.64;2.33;4.69;NA;ND;6.1;NA;NA;2.83;NA;NA;NA;
1;12;9.76;12.86;3.46;NA;ND;6.72;NA;NA;20.93;NA;NA;NA;
1;13;4.26;1.76;7.32;NA;ND;4.38;NA;NA;14.17;NA;NA;NA;
1;14;4.01;10.03;6.55;NA;ND;5.65;NA;NA;6.59;NA;NA;NA;
1;15;7.79;7.43;1.66;NA;ND;4.41;NA;NA;2.23;NA;NA;NA;
1;16;6.96;13.03;9.63;NA;ND;7.79;NA;NA;32.91;NA;NA;NA;
1;17;5.78;29.81;7.06;NA;ND;5.91;NA;NA;12.6;NA;NA;NA;
1;18;7.3;17.8;10.57;NA;ND;7.52;NA;NA;5.65;NA;NA;NA;
1;19;8.35;13.86;12.36;NA;ND;4.78;NA;NA;0.35;NA;NA;NA;
1;20;7.68;10.34;6.87;NA;ND;11.9;NA;NA;5.69;NA;NA;NA;
1;21;5.13;10.61;8.9;NA;ND;8.69;NA;NA;17.92;NA;NA;NA;
1;22;4.45;4.91;8.84;NA;ND;6.55;NA;NA;17.84;NA;NA;NA;
1;23;2.91;2.55;5.89;NA;ND;9.1;NA;NA;21.3;NA;NA;NA;
2;0;10.41;6.43;8.27;NA;ND;8.95;NA;NA;7.39;NA;NA;NA;
2;1;10.56;1.91;7.52;NA;ND;6.61;NA;NA;19.18;NA;NA;NA;
2;2;9.84;4.32;4.5;NA;ND;6.26;NA;NA;2.14;NA;NA;NA;
2;3;2.08;6.11;14.35;NA;ND;7.31;NA;NA;29.85;NA;NA;NA;
2;4;13.2;10.42;10.12;NA;ND;3.88;NA;NA;23.33;NA;NA;NA;
2;5;2.85;12.74;8.26;NA;ND;6.6;NA;NA;28.64;NA;NA;NA;
2;6;27.99;45.55;10.69;NA;ND;19.93;NA;NA;16.63;NA;NA;NA;
2;7;37.18;30.69;11.31;NA;ND;34.63;NA;NA;13.23;NA;NA;NA;
2;8;24.35;6.61;33.29;NA;ND;36.9;NA;NA;42.15;NA;NA;NA;
2;9;17.41;6.98;26.68;NA;ND;1.34;NA;NA;22.48;NA;NA;NA;
2;10;13.1;5.3;6.99;NA;ND;10.59;NA;NA;39.63;NA;NA;NA;
2;11;12.98;5.7;10.25;NA;ND;2.05;NA;NA;5.92;NA;NA;NA;
2;12;6.52;11.18;4.51;NA;ND;8.1;NA;NA;5.68;NA;NA;NA;
2;13;10.26;23.6;2.18;NA;ND;3.25;NA;NA;18.08;NA;NA;NA;
2;14;8.53;18.05;10.45;NA;ND;9.01;NA;NA;0.96;NA;NA;NA;
2;15;5.46;12.24;2.97;NA;ND;6.5;NA;NA;3.09;NA;NA;NA;
2;16;13.57;13.87;8.51;NA;ND;7.08;NA;NA;27.07;NA;NA;NA;
2;17;5.85;24.8;11.32;NA;ND;4.17;NA;NA;7.61;NA;NA;NA;
2;18;13.94;20.8;17.05;NA;ND;12.32;NA;NA;2.2;NA;NA;NA;
2;19;9.96;25.3;11.73;NA;ND;9.54;NA;NA;15.25;NA;NA;NA;
2;20;9.42;10.4;12.1;NA;ND;7.41;NA;NA;8.43;NA;NA;NA;
2;21;5.19;6.87;8.9;NA;ND;11.24;NA;NA;11.24;NA;NA;NA;
2;22;5.86;11.79;10.4;NA;ND;10.77;NA;NA;11.83;NA;NA;NA;
2;23;6.02;5.21;8.92;NA;ND;11.94;NA;NA;13.98;NA;NA;NA;
3;0;2.05;9.96;6.5;NA;ND;12.62;NA;NA;15.92;NA;NA;NA;
3;1;10.09;6.27;9.31;NA;ND;6.73;NA;NA;20.98;NA;NA;NA;
3;2;9.61;3.15;4.33;NA;ND;9.35;NA;NA;14.48;NA;NA;NA;
3;3;9.12;8.32;2.54;NA;ND;2.77;NA;NA;1.44;NA;NA;NA;
3;4;3.24;8.97;3.95;NA;ND;5.73;NA;NA;28.83;NA;NA;NA;
3;5;9.55;21.06;5.28;NA;ND;6.21;NA;NA;6.36;NA;NA;NA;
3;6;19.88;52.53;12.54;NA;ND;7.46;NA;NA;34.33;NA;NA;NA;
3;7;33.94;86.21;17.28;NA;ND;8.74;NA;NA;25.33;NA;NA;NA;
