DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;12.17;1.98;14.95;NA;ND;17.44;13.71;0.19;0.21;NA;NA;NA;
1;1;13.24;6.32;14.31;NA;ND;8.05;16.62;ND;0.24;NA;NA;NA;
1;2;ND;11.78;15.68;NA;ND;ND;ND;0.11;0.05;NA;NA;NA;
1;3;18.65;18.2;19.67;NA;ND;1.93;10.19;0.19;0.16;NA;NA;NA;
1;4;4.79;7.34;6.93;NA;ND;2.74;11.43;0.13;0.17;NA;NA;NA;
1;5;5.78;0.98;2.46;NA;ND;0.78;0.73;0.26;0.46;NA;NA;NA;
1;6;4.47;2.17;2.82;NA;ND;0.81;3.78;0.84;1.2;NA;NA;NA;
1;7;5.99;10;5.15;NA;ND;3.25;17.19;2.78;3.4;NA;NA;NA;
1;8;15.82;20.09;15.31;NA;ND;17.89;23.61;10.65;9.86;NA;NA;NA;
1;9;26.14;24.26;24.83;NA;ND;29.65;28.67;25.06;9.21;NA;NA;NA;
1;10;32.08;31.04;29.28;NA;ND;34.04;30.03;29.98;23.48;NA;NA;NA;
1;11;33;30.37;34.21;NA;ND;36.79;31.17;31.58;26.96;NA;NA;NA;
1;12;27.84;24.2;28.56;NA;ND;32.59;29.35;29.87;28.64;NA;NA;NA;
1;13;26.69;23.32;26.91;NA;ND;27.49;27.93;ND;27.16;NA;NA;NA;
1;14;26.28;24.33;26.6;NA;ND;27.89;ND;ND;27.75;NA;NA;NA;
1;15;27.92;27.54;24.32;NA;ND;29.2;32.04;27.33;29.58;NA;NA;NA;
1;16;29.13;26.84;23.93;NA;ND;29.45;29.86;29.09;28.11;NA;NA;NA;
1;17;21.63;22.43;17.56;NA;ND;27.69;26.24;26.97;25.57;NA;NA;NA;
1;18;9.85;12.69;7.03;NA;ND;20.67;16.47;14.7;14.79;NA;NA;NA;
1;19;3.39;10.52;6.66;NA;ND;1.61;15.45;15.72;5.79;NA;NA;NA;
1;20;2.84;8.65;8.1;NA;ND;3.32;17.75;25.18;4.6;NA;NA;NA;
1;21;3.11;2.76;9.04;NA;ND;6.64;20.24;24.7;1.95;NA;NA;NA;
1;22;1.32;8.06;24.6;NA;ND;11.66;22.15;4.83;1.82;NA;NA;NA;
1;23;0.97;6.77;23.67;NA;ND;14.1;28.35;1.42;0.85;NA;NA;NA;
2;0;2.15;9.9;21.11;NA;ND;12.16;27.92;0.02;1.05;NA;NA;NA;
