DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;2.61;1.73;5.07;NA;ND;2.12;3.42;ND;5.98;NA;NA;NA;
1;1;ND;2.03;6.1;NA;ND;ND;ND;1.68;6.35;NA;NA;NA;
1;2;2.22;1.81;7.66;NA;ND;3.1;3.97;4.37;4.12;NA;NA;NA;
1;3;1.85;1.36;4.26;NA;ND;4.46;2.05;3.85;9.76;NA;NA;NA;
1;4;1.81;1.37;4.12;NA;ND;3.5;2.38;2.51;6.08;NA;NA;NA;
1;5;2.16;2.06;6.38;NA;ND;3.8;3.15;3.7;4.66;NA;NA;NA;
1;6;3.54;5.77;6.72;NA;ND;5.69;2.37;3.22;5.82;NA;NA;NA;
1;7;6.64;4.53;7.68;NA;ND;10.5;1.85;3.79;9.04;NA;NA;NA;
1;8;4.62;3.47;3.42;NA;ND;3.88;1.63;5.76;10.94;NA;NA;NA;
1;9;1.7;3.31;1.88;NA;ND;1.81;1.13;3.83;127.25;NA;NA;NA;
1;10;1.55;2.1;2.21;NA;ND;1.55;4.53;1.45;10.64;NA;NA;NA;
1;11;1.32;1.58;1.69;NA;ND;1.13;1.27;1.2;0.75;NA;NA;NA;
1;12;0.8;1.33;1.27;NA;ND;1.74;1.1;1.11;0.88;NA;NA;NA;
1;13;1.08;1.19;1.29;NA;ND;3.98;ND;1.17;0.71;NA;NA;NA;
1;14;1.75;1.06;0.97;NA;ND;2.98;ND;0.49;0.46;NA;NA;NA;
1;15;1.36;0.94;1.25;NA;ND;1.74;0.82;0.71;0.58;NA;NA;NA;
1;16;1.14;1.12;1.29;NA;ND;1.26;0.6;0.61;0.86;NA;NA;NA;
1;17;1.46;1.18;1.49;NA;ND;0.99;0.78;1.17;0.55;NA;NA;NA;
1;18;2.93;1.85;2.72;NA;ND;1.04;1.11;1.16;1.35;NA;NA;NA;
1;19;3.41;1.43;2.35;NA;ND;9.33;2.04;0.92;2.02;NA;NA;NA;
1;20;4.37;1.61;2.82;NA;ND;10.62;1.15;0.79;5.93;NA;NA;NA;
1;21;3.37;2.31;7.82;NA;ND;6.38;1.19;1.01;8.83;NA;NA;NA;
1;22;3.64;2.36;3.53;NA;ND;4.73;1.15;2.44;4.45;NA;NA;NA;
1;23;4.63;2.21;2.54;NA;ND;1.79;0.74;2.57;5.27;NA;NA;NA;
2;0;3.61;1.47;5.8;NA;ND;3.58;0.82;ND;9.79;NA;NA;NA;
2;1;5.45;ND;3.84;NA;ND;3.14;ND;9.91;ND;NA;NA;NA;
2;2;5.3;1.92;3.1;NA;ND;6.14;0.83;4.81;6.42;NA;NA;NA;
2;3;4.63;1.4;3.25;NA;ND;5.13;0.84;2.96;6.86;NA;NA;NA;
2;4;6.12;1.64;2.37;NA;ND;5.47;0.83;3.46;4.59;NA;NA;NA;
2;5;6.46;3.24;1.42;NA;ND;5.26;0.94;4.15;4.89;NA;NA;NA;
2;6;7.76;7.82;2.03;NA;ND;6.01;1.2;4.21;6.14;NA;NA;NA;
2;7;7.39;7.56;2.26;NA;ND;5.01;0.91;7.08;10.71;NA;NA;NA;
2;8;2.04;3.6;1.75;NA;ND;1.65;0.88;13.48;15.74;NA;NA;NA;
2;9;2.95;3.18;3.95;NA;ND;3.91;1.16;6.84;8.28;NA;NA;NA;
2;10;3.28;3.39;4.04;NA;ND;8.74;1.18;2.55;9.26;NA;NA;NA;
2;11;1.47;2.63;2.07;NA;ND;1.7;0.79;3.25;0.82;NA;NA;NA;
