DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;1.32;14.43;1.78;NA;ND;1.86;2.7;26;24.71;NA;NA;NA;
1;1;5.74;9.46;1.88;NA;ND;0.38;13.05;22.89;18.7;NA;NA;NA;
1;2;8.62;ND;ND;NA;ND;0.87;16.95;21.97;ND;NA;NA;NA;
1;3;11.48;33.3;8.07;NA;ND;4.21;8.09;28.88;20.32;NA;NA;NA;
1;4;3.14;31.35;5.81;NA;ND;5.59;8.72;26.61;21.33;NA;NA;NA;
1;5;0.15;9.23;5.88;NA;ND;0.81;5.88;19.81;17.22;NA;NA;NA;
1;6;1.17;2.95;2.96;NA;ND;0.86;6.28;17.11;17.15;NA;NA;NA;
1;7;2.55;11.22;6.15;NA;ND;3.47;10.7;16.73;17.02;NA;NA;NA;
1;8;8.93;19.46;10.57;NA;ND;9.58;20.06;16.99;11.44;NA;NA;NA;
1;9;14.46;22.88;13.33;NA;ND;17.21;25.7;21.12;18.35;NA;NA;NA;
1;10;29.4;36.59;29.99;NA;ND;29.48;35.9;33.68;27.51;NA;NA;NA;
1;11;42.64;41.86;35.78;NA;ND;34.08;48.61;39.96;21.54;NA;NA;NA;
1;12;44.97;47.73;52.5;NA;ND;46.51;51.37;53.18;36.84;NA;NA;NA;
1;13;47.46;45.81;59.54;NA;ND;61.15;74.19;59.13;57.32;NA;NA;NA;
1;14;51.07;50.34;47.78;NA;ND;48.46;70.11;51.13;56.26;NA;NA;NA;
1;15;46.29;49.27;43.64;NA;ND;43.63;57.71;47.48;32.05;NA;NA;NA;
1;16;40.4;43.74;45.31;NA;ND;37.87;57.36;42.05;30.32;NA;NA;NA;
1;17;35.03;41.7;36.76;NA;ND;29.36;49.48;36.36;20.56;NA;NA;NA;
1;18;15.6;28.77;15.53;NA;ND;12.64;18.6;9.28;14.77;NA;NA;NA;
1;19;5.8;15.98;7.38;NA;ND;1.77;16.4;12.04;3.26;NA;NA;NA;
1;20;11.07;14.82;11.69;NA;ND;0.91;10.48;5.65;4.54;NA;NA;NA;
1;21;4.31;12.96;4.91;NA;ND;0.62;5.68;3.39;2.07;NA;NA;NA;
1;22;2.15;4.36;1.39;NA;ND;0.45;8.85;0.06;0.99;NA;NA;NA;
1;23;1.03;2.38;0.81;NA;ND;0.45;8.01;3.71;1.76;NA;NA;NA;
2;0;0.99;1.12;0.86;NA;ND;0.35;10.99;7.11;1.58;NA;NA;NA;
2;1;0.65;0.45;0.99;NA;ND;0.17;11.99;ND;6.58;NA;NA;NA;
2;2;ND;1.86;1.21;NA;ND;ND;ND;0;2.03;NA;NA;NA;
2;3;0.85;0.59;1.13;NA;ND;2.25;29.22;0;0.28;NA;NA;NA;
2;4;0.76;0.91;0.76;NA;ND;0.37;28.5;0.19;0.57;NA;NA;NA;
2;5;0.51;0.99;0.91;NA;ND;0.31;12.24;0.06;0.31;NA;NA;NA;
2;6;2.17;3.17;1.6;NA;ND;0.89;9.97;0.79;1.06;NA;NA;NA;
2;7;7.7;6.67;7.56;NA;ND;3.86;16.81;4.53;5.25;NA;NA;NA;
2;8;20.11;14.91;18.36;NA;ND;17.48;29.4;12.86;14.84;NA;NA;NA;
2;9;36.04;26.3;33.09;NA;ND;56.2;39.86;29.16;34.64;NA;NA;NA;
2;10;46.77;49.2;49.65;NA;ND;56.5;57.93;49;48.58;NA;NA;NA;
2;11;59.69;67.48;73.08;NA;ND;67.33;76.4;61.66;46.49;NA;NA;NA;
2;12;68.26;66.17;85.04;NA;ND;75.74;82.09;55.59;62.05;NA;NA;NA;
2;13;50.6;60.76;74.49;NA;ND;79.14;77.52;67.61;62.57;NA;NA;NA;
2;14;41.53;55.07;61.65;NA;ND;61.17;62.26;62.89;62.89;NA;NA;NA;
2;15;41.7;53.42;60.65;NA;ND;48.88;55.56;53.56;59.23;NA;NA;NA;
2;16;35.2;46.49;45.48;NA;ND;26.69;23.45;44.65;38.81;NA;NA;NA;
2;17;30.68;35.75;20.65;NA;ND;27.81;12.93;38.77;22.11;NA;NA;NA;
2;18;26.37;30.5;17.4;NA;ND;15.28;11.3;31.55;19.83;NA;NA;NA;
2;19;24.21;28.84;10.37;NA;ND;15.28;11.96;28.88;21.78;NA;NA;NA;
2;20;19.27;31.23;13.97;NA;ND;14.59;13.89;25.73;17.43;NA;NA;NA;
2;21;15.51;31.22;12.24;NA;ND;11.77;24.21;27.14;19.61;NA;NA;NA;
2;22;9.76;21.44;11.35;NA;ND;10.11;22.53;31.25;27.57;NA;NA;NA;
2;23;19.69;26.03;20.46;NA;ND;20.78;23.17;31.62;29.26;NA;NA;NA;
3;0;8.34;27.58;13.21;NA;ND;21.36;28.54;25.34;19.44;NA;NA;NA;
3;1;4.37;30.68;20.9;NA;ND;20.41;24.38;22.63;17.25;NA;NA;NA;
3;2;14.92;ND;ND;NA;ND;21.56;26.53;12.54;ND;NA;NA;NA;
3;3;13.12;18.79;12.2;NA;ND;3.63;25.71;6.51;4.64;NA;NA;NA;
3;4;9.95;24.26;7.1;NA;ND;12.17;19.74;7.87;10.71;NA;NA;NA;
3;5;12.28;24.58;16.35;NA;ND;10.74;12.02;1.72;8;NA;NA;NA;
3;6;16.39;23.71;11.59;NA;ND;5.56;11.3;0.79;5.16;NA;NA;NA;
3;7;11.33;18.68;14.46;NA;ND;11.17;21.73;9.5;9.28;NA;NA;NA;
3;8;19.68;29.03;23.31;NA;ND;22.36;33.51;20.41;22.7;NA;NA;NA;
3;9;35.22;40.23;33.61;NA;ND;40.34;43.29;28.8;22.01;NA;NA;NA;
3;10;49.81;57.1;48.06;NA;ND;51.11;54.68;42.74;15.72;NA;NA;NA;
3;11;51.95;55.14;61.03;NA;ND;63;59.2;61.18;24.77;NA;NA;NA;
3;12;45.21;49;61.15;NA;ND;65.11;43.46;61.6;62.04;NA;NA;NA;
3;13;41.37;46.24;46.42;NA;ND;31.67;33.25;43.84;34.36;NA;NA;NA;
3;14;37.92;41.1;28.86;NA;ND;30.18;30.41;24.86;24.12;NA;NA;NA;
3;15;25.36;31.17;12.48;NA;ND;24.7;22.39;22.03;20.01;NA;NA;NA;
3;16;13.04;14.79;10.68;NA;ND;15.72;18.5;21.41;24.66;NA;NA;NA;
3;17;10.72;16.69;5.81;NA;ND;12.35;13.3;17.8;11.04;NA;NA;NA;
3;18;19.09;24.36;3.22;NA;ND;2.14;8.75;16.42;0.27;NA;NA;NA;
3;19;18.56;25.57;5.25;NA;ND;0.13;8.89;10.31;0.34;NA;NA;NA;
3;20;6.26;10.32;2.26;NA;ND;0.84;6.71;3.71;1.96;NA;NA;NA;
3;21;4.86;10.37;4.88;NA;ND;0.17;4.59;0.25;0.73;NA;NA;NA;
