DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;31.31;20.17;20.76;NA;ND;34.07;NA;NA;36.57;NA;NA;NA;
1;1;27.2;26.63;31.03;NA;ND;33.57;NA;NA;29.02;NA;NA;NA;
1;2;18.42;17.2;26.49;NA;ND;24.72;NA;NA;15.38;NA;NA;NA;
1;3;19.07;16.21;18.66;NA;ND;25.68;NA;NA;24.88;NA;NA;NA;
1;4;19.48;21.32;30.09;NA;ND;26.32;NA;NA;20.66;NA;NA;NA;
1;5;28.71;32.59;33.45;NA;ND;24.76;NA;NA;18.42;NA;NA;NA;
1;6;30.77;51.45;36.53;NA;ND;42.65;NA;NA;26.75;NA;NA;NA;
1;7;32.67;39.19;39.94;NA;ND;37.68;NA;NA;31.61;NA;NA;NA;
1;8;47.44;46.62;52.71;NA;ND;45.11;NA;NA;79.77;NA;NA;NA;
1;9;42.06;32.38;42.05;NA;ND;44.29;NA;NA;34.91;NA;NA;NA;
1;10;48.72;44.98;41.93;NA;ND;34.94;NA;NA;18.58;NA;NA;NA;
1;11;34.93;33.79;41.82;NA;ND;43;NA;NA;28.99;NA;NA;NA;
1;12;40.89;53.42;30.48;NA;ND;34.64;NA;NA;38.14;NA;NA;NA;
1;13;29.8;48.66;21.21;NA;ND;24.31;NA;NA;55.28;NA;NA;NA;
1;14;18.33;29.18;26.41;NA;ND;25.04;NA;NA;28.46;NA;NA;NA;
1;15;20.68;38.11;34.43;NA;ND;16.97;NA;NA;44.64;NA;NA;NA;
1;16;25.17;58.95;31.37;NA;ND;33.18;NA;NA;44.21;NA;NA;NA;
1;17;26.03;35.33;39.31;NA;ND;38.72;NA;NA;39.37;NA;NA;NA;
1;18;33.66;25.65;42.4;NA;ND;42.54;NA;NA;33.89;NA;NA;NA;
1;19;26.5;29.17;38.66;NA;ND;30.62;NA;NA;31.14;NA;NA;NA;
1;20;25.72;40.78;24.24;NA;ND;24.95;NA;NA;28.08;NA;NA;NA;
1;21;23.37;38.48;25.91;NA;ND;22.66;NA;NA;22.29;NA;NA;NA;
1;22;21.79;35.55;23.52;NA;ND;18.29;NA;NA;30.06;NA;NA;NA;
1;23;30.19;28.35;34.65;NA;ND;22.05;NA;NA;ND;NA;NA;NA;
2;0;53.39;36.3;35.65;NA;ND;32.88;NA;NA;45.18;NA;NA;NA;
2;1;40.85;30.28;36.42;NA;ND;28.75;NA;NA;39.28;NA;NA;NA;
2;2;33.57;30.53;25.94;NA;ND;35.68;NA;NA;31.46;NA;NA;NA;
2;3;36.63;37.49;29.06;NA;ND;36.39;NA;NA;28.88;NA;NA;NA;
2;4;40.26;42.72;34;NA;ND;30.07;NA;NA;33.17;NA;NA;NA;
2;5;34.7;44.44;37.31;NA;ND;30.96;NA;NA;31.49;NA;NA;NA;
2;6;51.44;66.94;22.85;NA;ND;29.23;NA;NA;43.86;NA;NA;NA;
2;7;61.63;80.16;50.35;NA;ND;55.96;NA;NA;36.96;NA;NA;NA;
2;8;60.23;51.97;67.43;NA;ND;52.19;NA;NA;37.38;NA;NA;NA;
2;9;64.96;35.4;53.24;NA;ND;27.61;NA;NA;30.26;NA;NA;NA;
2;10;67.83;26.28;33.51;NA;ND;21.81;NA;NA;22.45;NA;NA;NA;
2;11;44.77;27.61;28.48;NA;ND;18.81;NA;NA;20.52;NA;NA;NA;
