DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;ND;16.07;1.6;NA;ND;1.5;NA;NA;27.26;NA;NA;NA;
1;1;7.51;13.57;10.37;NA;ND;13.04;NA;NA;14.72;NA;NA;NA;
1;2;10.54;13.21;5.03;NA;ND;9.21;NA;NA;14.17;NA;NA;NA;
1;3;10.02;7.83;9.75;NA;ND;8.21;NA;NA;7.31;NA;NA;NA;
1;4;6.31;16.62;10.96;NA;ND;7.82;NA;NA;14.89;NA;NA;NA;
1;5;12.88;28.2;12.6;NA;ND;52.28;NA;NA;13.68;NA;NA;NA;
1;6;20.25;27.75;14.51;NA;ND;18.99;NA;NA;11.19;NA;NA;NA;
1;7;17.94;31.26;19.58;NA;ND;28.09;NA;NA;17.66;NA;NA;NA;
1;8;12.85;4.3;10.42;NA;ND;24.24;NA;NA;17.69;NA;NA;NA;
1;9;12.53;15.87;10.61;NA;ND;0.44;NA;NA;8.59;NA;NA;NA;
1;10;7.48;10.77;4.37;NA;ND;1.57;NA;NA;3.88;NA;NA;NA;
1;11;9.53;14.2;4.05;NA;ND;2.31;NA;NA;5.31;NA;NA;NA;
1;12;2.18;13.09;3.53;NA;ND;0.28;NA;NA;9.38;NA;NA;NA;
1;13;6.04;7.28;4.35;NA;ND;3.53;NA;NA;0.83;NA;NA;NA;
1;14;6.65;9.7;8.6;NA;ND;9.22;NA;NA;0.67;NA;NA;NA;
1;15;14.15;19.1;4.59;NA;ND;5.81;NA;NA;6.8;NA;NA;NA;
1;16;12.43;24.06;8.98;NA;ND;4.6;NA;NA;2.76;NA;NA;NA;
1;17;15.42;17.15;19.89;NA;ND;15.33;NA;NA;6.28;NA;NA;NA;
1;18;13.52;19.05;16.53;NA;ND;13.53;NA;NA;11.21;NA;NA;NA;
1;19;19.63;25;15.92;NA;ND;10.61;NA;NA;4.64;NA;NA;NA;
1;20;11.89;14.72;8.66;NA;ND;13.64;NA;NA;17.82;NA;NA;NA;
1;21;17.72;15.4;10.14;NA;ND;5.91;NA;NA;15.52;NA;NA;NA;
1;22;5.94;13.75;10.59;NA;ND;7.44;NA;NA;13.67;NA;NA;NA;
1;23;2.99;6.08;4.79;NA;ND;5.42;NA;NA;ND;NA;NA;NA;
2;0;ND;18.55;8.26;NA;ND;17.71;NA;NA;20.42;NA;NA;NA;
2;1;9.41;17.45;8.34;NA;ND;10.06;NA;NA;14.4;NA;NA;NA;
2;2;9.65;4.63;9.05;NA;ND;11.62;NA;NA;18.1;NA;NA;NA;
2;3;8.9;12.12;6.85;NA;ND;9.99;NA;NA;5.87;NA;NA;NA;
2;4;7.47;11.88;6.67;NA;ND;7.27;NA;NA;16.56;NA;NA;NA;
2;5;14.57;20.42;7.54;NA;ND;4.63;NA;NA;18.73;NA;NA;NA;
2;6;22.87;35.84;10.1;NA;ND;9.94;NA;NA;26;NA;NA;NA;
2;7;20.94;15.65;8.48;NA;ND;10.58;NA;NA;29.16;NA;NA;NA;
2;8;21.31;24.39;14.79;NA;ND;8.52;NA;NA;15.23;NA;NA;NA;
2;9;16.23;15.92;8.59;NA;ND;1.58;NA;NA;7.12;NA;NA;NA;
2;10;7.48;25.29;7.17;NA;ND;3.61;NA;NA;5.53;NA;NA;NA;
2;11;6.29;18.44;8.64;NA;ND;1.01;NA;NA;3.17;NA;NA;NA;
2;12;5.78;21.68;9.78;NA;ND;4.27;NA;NA;5;NA;NA;NA;
2;13;7.41;13.02;3.96;NA;ND;7.33;NA;NA;10.06;NA;NA;NA;
2;14;7.46;10.47;16.01;NA;ND;0.91;NA;NA;1.58;NA;NA;NA;
2;15;10.13;20.35;9.03;NA;ND;7.43;NA;NA;3.29;NA;NA;NA;
2;16;22.75;10;7.81;NA;ND;5.35;NA;NA;8.65;NA;NA;NA;
2;17;20.73;12.33;13.58;NA;ND;12.71;NA;NA;12.83;NA;NA;NA;
2;18;8.69;23.19;13.2;NA;ND;12.87;NA;NA;10.72;NA;NA;NA;
2;19;14.51;25.39;14.09;NA;ND;15.21;NA;NA;11.25;NA;NA;NA;
2;20;8.18;24.3;13.14;NA;ND;24.47;NA;NA;6.81;NA;NA;NA;
2;21;3.31;13.17;12.47;NA;ND;12.24;NA;NA;14.68;NA;NA;NA;
2;22;8.7;18.98;7.04;NA;ND;11.79;NA;NA;10.1;NA;NA;NA;
2;23;8.36;23.53;5.95;NA;ND;8.87;NA;NA;ND;NA;NA;NA;
3;0;ND;18.14;17.64;NA;ND;13.4;NA;NA;19.38;NA;NA;NA;
3;1;14.55;19.15;1.81;NA;ND;10.81;NA;NA;15.53;NA;NA;NA;
3;2;8.41;23.16;7.46;NA;ND;8.41;NA;NA;14.26;NA;NA;NA;
3;3;11.47;18.79;5.07;NA;ND;5.45;NA;NA;20.01;NA;NA;NA;
3;4;15.21;21.84;5.72;NA;ND;4.23;NA;NA;15.18;NA;NA;NA;
3;5;12.53;24.67;5.03;NA;ND;8.1;NA;NA;15.81;NA;NA;NA;
3;6;23.11;38.33;3.51;NA;ND;10.18;NA;NA;14.39;NA;NA;NA;
3;7;12.46;27.65;7.19;NA;ND;5.84;NA;NA;27.24;NA;NA;NA;
3;8;16.64;24.49;7.32;NA;ND;6.01;NA;NA;89.09;NA;NA;NA;
3;9;8.92;28.86;9.78;NA;ND;2.37;NA;NA;20.58;NA;NA;NA;
3;10;11.17;10.46;9.26;NA;ND;0.72;NA;NA;7.41;NA;NA;NA;
3;11;8.35;4.48;5.25;NA;ND;5.75;NA;NA;4.88;NA;NA;NA;
3;12;7.41;14.71;5.23;NA;ND;5.99;NA;NA;6.28;NA;NA;NA;
3;13;9.96;11.1;3.12;NA;ND;5.19;NA;NA;2.36;NA;NA;NA;
3;14;5.74;7.85;4.97;NA;ND;8.85;NA;NA;5.67;NA;NA;NA;
3;15;10.99;16.08;10.3;NA;ND;4.16;NA;NA;5.84;NA;NA;NA;
3;16;17.72;17.27;10.22;NA;ND;9.12;NA;NA;16.73;NA;NA;NA;
3;17;4.11;18.96;10.75;NA;ND;11.56;NA;NA;26.35;NA;NA;NA;
3;18;13.21;20.8;10.97;NA;ND;10.02;NA;NA;12.55;NA;NA;NA;
3;19;24.9;19.01;13.32;NA;ND;9.75;NA;NA;17.51;NA;NA;NA;
3;20;12.87;23.28;11.28;NA;ND;7.5;NA;NA;11.37;NA;NA;NA;
3;21;21.36;25.65;16.35;NA;ND;12.66;NA;NA;29.23;NA;NA;NA;
3;22;22.98;21.63;13.07;NA;ND;9.69;NA;NA;25.97;NA;NA;NA;
3;23;20.24;13.81;14.15;NA;ND;16.29;NA;NA;ND;NA;NA;NA;
4;0;12.35;6.97;16.09;NA;ND;22.43;NA;NA;59.82;NA;NA;NA;
4;1;38.58;13.83;5.98;NA;ND;13.06;NA;NA;27.53;NA;NA;NA;
4;2;84.23;15.52;3.97;NA;ND;9.09;NA;NA;20.12;NA;NA;NA;
4;3;22.04;15.65;3.83;NA;ND;6.51;NA;NA;15.71;NA;NA;NA;
4;4;30.89;21.1;8.43;NA;ND;7.93;NA;NA;18.79;NA;NA;NA;
4;5;14.46;29.54;3.57;NA;ND;5.65;NA;NA;24.29;NA;NA;NA;
4;6;39.61;86.43;11.14;NA;ND;15.26;NA;NA;31.71;NA;NA;NA;
4;7;27.07;64.77;7.07;NA;ND;10.48;NA;NA;21.1;NA;NA;NA;
4;8;10.54;15.59;10.11;NA;ND;3.32;NA;NA;13.52;NA;NA;NA;
4;9;13.16;14.87;6.64;NA;ND;1.85;NA;NA;5.72;NA;NA;NA;
4;10;14.4;11.59;7.92;NA;ND;8.21;NA;NA;8.03;NA;NA;NA;
4;11;11.88;7.32;4.6;NA;ND;2.62;NA;NA;1.16;NA;NA;NA;
4;12;6.2;12.89;5.59;NA;ND;7.08;NA;NA;15.65;NA;NA;NA;
4;13;11.75;17.12;4.79;NA;ND;7.7;NA;NA;26.39;NA;NA;NA;
4;14;3.18;14.07;11.14;NA;ND;8.02;NA;NA;14.23;NA;NA;NA;
4;15;13.25;18.26;3.88;NA;ND;4.09;NA;NA;5.29;NA;NA;NA;
4;16;10.03;16.8;14.05;NA;ND;8.86;NA;NA;15.68;NA;NA;NA;
4;17;8.01;15.71;15.85;NA;ND;8.82;NA;NA;4.05;NA;NA;NA;
4;18;13.07;26.95;13.49;NA;ND;11.38;NA;NA;19.59;NA;NA;NA;
4;19;18.14;27.21;12.78;NA;ND;20.52;NA;NA;12.48;NA;NA;NA;
4;20;24.41;28.17;17.82;NA;ND;22.88;NA;NA;31.64;NA;NA;NA;
4;21;28.38;21.39;16.78;NA;ND;22.46;NA;NA;48.25;NA;NA;NA;
4;22;25.11;25.16;19.49;NA;ND;17.24;NA;NA;58.01;NA;NA;NA;
4;23;21.62;18.76;6.92;NA;ND;6.9;NA;NA;ND;NA;NA;NA;
5;0;27.48;17.89;7.09;NA;ND;7.36;NA;NA;29.47;NA;NA;NA;
5;1;23.34;19.74;5.97;NA;ND;13.53;NA;NA;35.9;NA;NA;NA;
5;2;19.9;14.88;5.08;NA;ND;3.18;NA;NA;17.61;NA;NA;NA;
5;3;15.09;18;3.99;NA;ND;10.1;NA;NA;35.34;NA;NA;NA;
5;4;13.77;23.67;9.57;NA;ND;7.17;NA;NA;21.54;NA;NA;NA;
5;5;33.76;33.09;2.48;NA;ND;9.81;NA;NA;18.1;NA;NA;NA;
5;6;26.56;41.02;12.54;NA;ND;10.83;NA;NA;22.26;NA;NA;NA;
5;7;19.93;20.39;1.41;NA;ND;6.81;NA;NA;21.19;NA;NA;NA;
5;8;10.21;16.56;17.11;NA;ND;14.17;NA;NA;10.14;NA;NA;NA;
5;9;9.46;10.1;14.43;NA;ND;12.75;NA;NA;12.72;NA;NA;NA;
5;10;9.74;14.23;4.53;NA;ND;0.15;NA;NA;6.57;NA;NA;NA;
5;11;10.03;8.87;3.16;NA;ND;4.71;NA;NA;19.19;NA;NA;NA;
5;12;5.82;17.94;5.69;NA;ND;4.9;NA;NA;12.9;NA;NA;NA;
5;13;7.96;16.32;6.78;NA;ND;4.08;NA;NA;3.73;NA;NA;NA;
5;14;9.22;10.94;2.07;NA;ND;4.04;NA;NA;0.49;NA;NA;NA;
5;15;17.62;27.5;10.3;NA;ND;9.08;NA;NA;1.81;NA;NA;NA;
5;16;19.9;34.98;13.94;NA;ND;14.14;NA;NA;10.32;NA;NA;NA;
5;17;11.39;19.21;18.1;NA;ND;17.75;NA;NA;12.95;NA;NA;NA;
